﻿"Title","SiteUrl","LastActivityOn","TemplateTitle","StorageUsed","StorageQuota","IsGroupConnected","TimeCreated","NumOfFiles","FileViewedOrEdited","PageViews","PrimaryAdmin"
BI & Aktuariat,"https://lbforsikring.sharepoint.com/sites/BIAktuariat","11-06-2018 17:00:00","Kommunikationswebsted","1980994","27487790694400","False","27-02-2018 03:13:24","12","2","6","Nicolai Danielsen"
HR,"https://lbforsikring.sharepoint.com/sites/HR","14-06-2018 17:00:00","Kommunikationswebsted","468871222","27487790694400","False","27-02-2018 03:14:12","1117","745","767","Nicolai Danielsen"
IT,"https://lbforsikring.sharepoint.com/sites/IT","12-06-2018 17:00:00","Kommunikationswebsted","13038050","27487790694400","False","27-02-2018 03:12:06","91","26","12","Nicolai Danielsen"
KMCSR,"https://lbforsikring.sharepoint.com/sites/KMCSR","14-06-2018 17:00:00","Kommunikationswebsted","1476599455","27487790694400","False","05-02-2018 01:56:35","299","86","115","Nicolai Danielsen (Admin bruger)"
LB Forsikrings intranet,"https://lbforsikring.sharepoint.com/sites/Intra","14-06-2018 17:00:00","Kommunikationswebsted","221207968","27487790694400","False","23-03-2018 03:09:58","408","459","1414","Nicolai Danielsen (Admin bruger)"
Medvind,"https://lbforsikring.sharepoint.com/sites/Medvind",,"Kommunikationswebsted","1751311","27487790694400","False","12-06-2018 00:25:21","2","0","0","Nicolai Danielsen (Admin bruger)"
Risk & Compliance,"https://lbforsikring.sharepoint.com/sites/RiskCompliance","11-06-2018 17:00:00","Kommunikationswebsted","29692658","27487790694400","False","27-02-2018 03:20:32","58","3","8","Nicolai Danielsen"
Salg & Rådgivning,"https://lbforsikring.sharepoint.com/sites/SR","14-06-2018 17:00:00","Kommunikationswebsted","1167188092","27487790694400","False","27-02-2018 03:09:18","847","465","540","Nicolai Danielsen"
Service,"https://lbforsikring.sharepoint.com/sites/Service","14-06-2018 17:00:00","Kommunikationswebsted","384419855","27487790694400","False","01-02-2018 23:06:55","270","295","588","Nicolai Danielsen (Admin bruger)"
SFU,"https://lbforsikring.sharepoint.com/sites/SFU","12-06-2018 17:00:00","Kommunikationswebsted","2007979","27487790694400","False","27-02-2018 03:21:23","13","3","5","Nicolai Danielsen"
Skade,"https://lbforsikring.sharepoint.com/sites/Skade","14-06-2018 17:00:00","Kommunikationswebsted","3377744014","27487790694400","False","20-02-2018 23:31:28","2992","4200","833","Nicolai Danielsen (Admin bruger)"
Økonomi,"https://lbforsikring.sharepoint.com/sites/okonomi","14-06-2018 17:00:00","Kommunikationswebsted","82421016","27487790694400","False","27-02-2018 03:10:50","122","114","104","Nicolai Danielsen"
