Overskrift;Content;Gruppe;Undergruppe;Endpage
Ulykke;"Antagelse
Klausuler";Ulykke;;
Antagelsesregler for Ulykkesforsikring;"Du kan tilbyde forsikringen til medlem og dennes samlever samt deres børn, herunder adoptiv- og plejebørn. 
Du kan ikke tilbyde forsikringen til aflastningsbørn.

Hvis barnet er mellem 18-21 år, skal forsikringen oprettes i barnets eget navn. 

Du kan lave invaliditetssum mellem 500.000-3.000.000 kr.
Ønsker medlemmet en højere sum, skal den forelægges for den risikoansvarlige eller lederteamet. 
Summen kan ikke overstige 4.000.000 kr. 
Sumbegræsningen betyder også, at hver sikrede maksimalt kan tilbydes én ulykkesforsikring. 

Dødsfaldsummen kan ikke overstige invaliditetssummen. 
Bemærk, dødsfaldssummen på børneulykken er fast på 50.000 kr.";Ulykke;Antagelse;
Fareklassetabel;"Vi har for en lang række konkrete erhverv vurderet arbejdets indhold og risiko, og indplacere ud fra én af 6 fareklasser.

Stillingsbetegnelse for medlems erhverv er så vidt muligt indplaceret, sådan som den fx vil fremgå af lønseddel, ansættelseskontrakt, visitkort eller lignende. 
 
Det er kun stillingsbetegnelser, som vi mener giver et retvisende billede af erhvervsrisikoen der er indplaceret. 
Af samme grund har vi ikke indplaceret alle stillingsbetegnelser.

Hvis ikke den præcise stillingsbetegnelse kan findes, kan et forsøg på søgning efter lignedede stilling give resultat. 
Fx administrationsmedarbejder kan sidestilles med kontorfunktionær.

Skulle en stililngsbetegnelse mangle, kan SR Kompetence Fag kontaktes. ";Ulykke;Antagelse;
Bierhverv;"Hvis medlem har et bierhverv på 10+ timer ugentligt, skal fareklassen på en heltidsforsikring tariferes efter det erhverv der har den højeste fareklasse. Det gælder også for pensionister og studerende. 
Har medlem flere bierhverv, skal der kigges på hvert erhverv som stod det alene. 

Oplyser medlem at have et bierhverv, skal du lave et notat om, hvilket erhverv og hvor mange timer. Uanset om det er over eller under 10 timer. 
Hvis medlems bierhverv har den højeste fareklasse, så skal du lave notat om medlems hovederhverv. 

Ved opgørelse af timetal anlægges en gennemsnitsbetragtning set over et år. Det svarer til 450 timer årligt.";Ulykke;Antagelse;
Fareklasser;"Fareklasse 1
Kriteriet for at blive placeret i fareklasse 1 er, at risikoen for at komme til skade på arbejdet generelt er lavere end risikoen for at komme til skade i fritiden.
Der er således tale om, at det pågældende erhverv positivt vurderes som værende mindre risikabelt end selv almindelige fritidsaktiviteter, hvorved forstås de aktiviteter, der knytter sig til en privat husholdning såsom indkøb, madlavning, børnepasning, rengøring og aktiviteter udenfor hjemmet i form af udøvelse af sædvanlig sportsudøvelse, andre fritidsaktiviteter og afholdelse af ferie.
Det er kendetegnende, at der under arbejdet ikke fysisk er kontakt/berøring med andre mennesker, og at arbejdet udføres fra en bestemt adresse, så der så godt som ingen trafikrisiko er.
Omfatter f.eks. kontorarbejde, administrativt arbejde, teoretisk forskning og undervisning, samt arbejde i sådanne butikker, hvor varerne er så små og lette, at de kan leveres hen over disk.
Typiske stillingsbetegnelser kan være:
Administrerende direktør, Advokat, Apoteker, Arkitekt uden tilsyn, Arkivar, Assistent, Bankassistent, Bibliotekar, Borgmester, Civiløkonom, Chef, Ingeniør uden tilsyn, Lærer, Psykolog, Sekretær, Skolekonsulent, Tale/høre/musikpædagog.

Fareklasse 2
Kriteriet for at blive placeret i fareklasse 2, er at risikoniveauet er sammenligneligt med fritidsrisikoen, sådan som det er defineret under fareklasse 1.
Det kan være kendetegnet ved, at der er en vis fysisk kontakt/berøring med andre mennesker, enten som omsorgspersonale eller som behandler.
Jobbet må ikke indeholde tunge løft.
Arbejdet kan indebære en vis mindre mobilitet, så arbejdet ind i mellem udføres fra forskellige adresser, f.eks. på grund af hjemmebesøg.
Omfatter f.eks. musikere, pædagoger, børnepasning, omsorgspersonale, plejepersonale og andet sundhedspersonale, som ikke er belastet af tunge løft.
Arbejde i butikker, hvor varerne er så store og tunge, at de ikke kan leveres over disk.
Typiske stillingsbetegnelser kan være:
Cellist, Cykelhandler uden reparation, Dagplejeassistent, Damefrisør, Ergoterapeut, Fysioterapeut, Klinikassistent, Kunstmaler, Laborant, Læge, Pedel, Pædagog, Provst, tandlæge, Økonoma.

Fareklasse 3
Kriteriet for at blive placeret i fareklasse 3 er, at risikoniveauet ligger højere end ved almindelige fritidsaktiviteter. Præmien er så høj, at vi accepterer kørsel på motorcykel, flyvning i svævefly og sportsdykning.
Når der er tegnet forsikring i fareklasse 3 accepteres det, at arbejdet kan indebære en høj mobilitet, dvs. at der køres så godt som hver dag, eller der skiftes arbejdssted hyppigt.
Arbejdet kan indeholde tunge løft.
Arbejdet kan være lettere håndværkspræget.
Typiske stillingsbetegnelser kan være:
Assurandør, Betjente, Billedhugger, Butiksslagter, Cykelhandler med reparation, Handicaphjælper, Faglærer, Forsvaret, Køkkenpersonale, Oldfrue, Politi, Portører, Postbud, Sadelmager, Sygeplejerske, Stampersonel ved forsvaret, Taksator, Faglærer på tekniske skoler  herunder murer/-tømrer-  og snedkerlærer.


Fareklasse 4
Kriteriet for at blive placeret i fareklasse 4 er eller kan være:
o Alle erhverv, hvor kørsel er fuldtidsbeskæftigelsen såsom: chauffører, cykelbud, lokofører, pilot, taxa og kørelærer.
o Beskæftigelsen indeholder landbrug, gartneri, fisker og nogle erhverv, der har  kontakt med dyr.
o Beskæftigelsen indenfor hotel- og restaurationsbranchen.
o Elektriker - svagstrøm.
o Typiske stillingsbetegnelser kan være:
Bager, Caféejer, Chauffør, Gartner, Maler, Minkavler, Sømand.
o Brandinspektør - ikke brandmand ( se f.kl. 6)


Fareklasse 5 og 6
Omfatter hvad der normalt opfattes som mere farefulde erhverv, og herunder erhverv som dog også kan være endog meget farlige.
Generelt drejer det sig om beskæftigelse indenfor industri, byggeri og anlægsvirksomhed, alle former for mekanikere, al omgang med elektricitet/stærkstrøm. Der er erhverv indenfor fareklasse 6, som vi ikke ønsker at forsikre. Alle erhverv indenfor fareklasse 6 kan derfor kun antages efter individuel godkendelse fra HK, de erhverv der er godkendt/afvist fremgår af tilbudssystemet. Hvis der i tilbudssystemet står 6 ud for erhverv, tegner vi erhvervet. Står den som blank, skal du spørge en fagperson eller fagleder. Eks. på ""Fareklasse 5+6/erhverv"" kan ses nedenfor.

Typiske stillingsbetegnelser kan være:
Fareklasse 5
Metalarbejder, Murermester, Skovfoged, Smed, Svejser, Jord- og betonarbejder, Maskinarbejder, Kranfører, Flymekaniker, Finmekaniker.

Fareklasse 6
Asfaltarbejder, Artist, Boreplatform (vær opmærksom på, at ""offshorearbejder, kontor"" er i fareklasse 3), Brandmand, Brøndgraver, Bådbygger, Havnearbejder, Savværk, Snedker, Skovarbejder, Tømrer, Vinduespudser, Skorstensfejer, Udrykningsleder, Alu-Montør (monterer udestuer, glasfacader - også i store højder) og Entreprenør med mere end 10 ansatte.

Fareklasse 7 og 8
Tegnes ikke. 
Erhvervsdykker, Handel med skydevåben, Entreprenør med mindre end 10 ansatte, Sprængningsekspert, Stilladsarbejder og Tagdækker.";;;X
Klausuler på Ulykke;"Automatisk klausul
Klausul 111 – Se her
Klausul 214 – Se her
Selvstændige forsikringer til hjemmeboende børn – Se her
StudieEkstra – Se her

Personlig / Special klausul
Au Pair – Se her
Begunstigelse – Dobbelt Krydsdækning eller hvis policen omfatter flere sikrede – Se her
Flere begunstiget – Se her
Heltidsulykkesforsikring til studerende – Se her
Klausul 111 – med flere sikrede – Se her
Kvartårlig/Månedlig betaling – Se her
Studieforsikring – Medlem bor hos forældre – Se her
Studieforsikring – Ulykke heltid – Se her
Studieforsikring Ekstra – Andet erhverv i det ekstra rabat år – Se her";Ulykke;Klausul;
Begunstigelse - Overgang til nye regler;"Overgang til nye regler
Alle policer med en klausul pålydende ""Arveregler (111)"" er omfattet af de gamle begunstigelsesregler. Indsætter medlemmet en
begunstiget overgår policen automatisk til de nye regler, og du skal fjerne klausulen.
 
Medlemmer, der har en police oprettet før 1.1.2008 kan vælge at overgå til den nye lovgivning uden
samtidig indsættelse af begunstiget – Her skal udfylde en erklæring, se her.
 
VIGTIGT: Er der flere sikrede på policen skal ALLE myndige sikrede underskrive erklæringen.
(Forældre kan underskrive på vegne af deres børn.) Er de sikrede ikke enige kan policen ikke
overføres til nye begunstigelsesregler. I stedet må man begunstige sin samlever ved
begunstigelseserklæring som hidtil efter reglerne om begunstigelse på policer med flere sikrede.
 
Rådgivning
Det kan være en god ide, hvis man allerede har været i sit papirløse forhold i 2 år
(eller har fået børn sammen), da man bliver stillet på lige fod med ægtefæller.
Det betyder i praksis, at man ikke skal tænke på at ændre begunstigelsen, hvis samlivet ophæves.";;;X
Klausul 214;"På ulykkesforsikringer på børn som inden ulykkessplit var forsikret på en police med vilkår 21-4, påsættes der ved splittet til selvstændige policer klausul 214.

Klausulen påføres automatisk de berørte police:
Forsikring er udvidet med dækning for:
- Direkte følger af meningokok-meningitis (meningitis meningococcica epidemica)
- Total blindhed, uanset årsag

Bemærk at, klausulen ikke kan/må påføres nytegnede policer, heller ikke selvom medlems øvrige børn har klausulen.";;;X
Au Pair;"Oplyser medlem at have fået en Au Pair, kan du tilbyde en ulykkesforsikring efter vores normale antagelsesregler. 

Vi anbefaler medlem at tegne minimumssummerne: 500.000 kr. ved invaliditet og 0 kr. ved dødsfald. 

Er summerne højere, vil Au Pair blive beskattet af præmien, på baggrund af 'Lov om Syge- og Ulykkesforsikring oprettet med arbejdsgiver som ejer', hvor der står, at forsikringer med summer over 500.000 kr. har skattepligtig præmie for den sikrede. 
Ligningsloven §16 - C.A.10.4.3.17, TfS 1985, 233 DEP.

Du skal indsætte følgende klausul ved udstedelse:
Ved forsikringens tegning er det oplyst, at sikrede er 
medlem af husstanden hos XXX. 
Forsikringsdækningen ophører når sikrede fraflytter 
adressen og senest 2 år efter ikrafttræden.

Oplyser medlem at have fået ny Au Pair, skal du oprette ny forsikring. ";;;X
Bil;"Antagelse
Klausuler";Bil;;
