"Filnavn";"Gruppe";"Undergruppe";"Branche";"Status"
"Påkørselskort.aspx";"Ordbog";"";"Gerningsmand";"Success"
"Dom for handling, dom for krav og underskrevet forlig.aspx";"Forældelsesfrister";"";"Gerningsmand";"Success"
"Diverse frister.aspx";"Frister i databasen";"";"Gerningsmand";"Success"
"GerningsmandStartside.aspx";"";"";"Gerningsmand";"Success"
"Anklagemyndigheden.aspx";"Hvem, hvad og hvornår";"";"Gerningsmand";"Success"
"Politiet.aspx";"Hvem, hvad og hvornår";"";"Gerningsmand";"Success"
"Retten.aspx";"Hvem, hvad og hvornår";"";"Gerningsmand";"Success"
"CPR.aspx";"Diverse hjemmesider";"";"Gerningsmand";"Success"
"Domstol.aspx";"Diverse hjemmesider";"";"Gerningsmand";"Success"
"RKI.aspx";"Diverse hjemmesider";"";"Gerningsmand";"Success"
"Renteberegning.aspx";"Diverse hjemmesider";"";"Gerningsmand";"Success"
"Psykisk syg.aspx";"Hvilke sager";"";"Gerningsmand";"Success"
"Borgerservice.aspx";"Hvem, hvad og hvornår";"";"Gerningsmand";"Success"
"Kriminalforsorgen.aspx";"Hvem, hvad og hvornår";"";"Gerningsmand";"Success"
"GerningsmandSikker post.aspx";"Forretningsgange";"";"Gerningsmand";"Success"
"Kontooplysninger.aspx";"Praktisk";"";"Gerningsmand";"Success"
"Skema.aspx";"Fogedmøder";"";"Gerningsmand";"Success"
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
"GerningsmandSådan bruges dette bibliotek.aspx";"";"";"Gerningsmand";"Success"
