"Filnavn";"Gruppe";"Undergruppe";"Branche";"Status"
"HundSkade forvoldt af ukendte og uforsikrede hunde.aspx";"Forretningsgang";"";"Hund";"Success"
"Forebyggende behandling - kronisk sygdomsbrev.aspx";"Forretningsgang ";"";"Hund";"Success"
"Allergivacciner.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Behandlingsperiode på 120 dage.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Behandling i det nye forsikringsår.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Alternative behandlinger - akupunktur mv.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Selvrisiko og maksimumdækninger.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Dækning på færøerne.aspx";"Forretningsgang";"";"Hund";"Success"
"Kejsersnit.aspx";"Sygdom";"";"Hund";"Success"
"Kikkertundersøgelse er det en undersøgelsesudgift eller en behandlingsudgift.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Karenstid.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Behandling af anmeldelser på hundesygedækningen.aspx";"Forretningsgang";"";"Hund";"Success"
"Tjenestehunde.aspx";"Forretningsgang ";"";"Hund";"Success"
"Mælkekirtler, mammatumores og andre knuder.aspx";"Sygdom";"";"Hund";"Success"
"Maksdækning og fradrag af selvrisiko.aspx";"Forretningsgang";"";"Hund";"Success"
"Laboratorieprøver.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Dyrlæger i udlandet.aspx";"Forretningsgang";"";"Hund";"Success"
"HundStartside.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Dysplasi.aspx";"Sygdom";"";"Hund";"Success"
"Brystkræft - Sterilisation - Fjernelse af livmoder.aspx";"Sygdom";"";"Hund";"Success"
"Røntgenoptagelser.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Betaling af regninger fra Søren Karstensen for konsulentbistand.aspx";"Forretningsgang";"";"Hund";"Success"
"Dyrlægekonsulent Søren Karstensen.aspx";"Forretningsgang";"";"Hund";"Success"
"Dominansproblemer.aspx";"Sygdom";"";"Hund";"Success"
"Kastration.aspx";"Sygdom";"";"Hund";"Success"
"Ankenævnskendelse vedrørende sygdom opstået før forsikringen trådte i kraft.aspx";"Ankenævnskendelser ";"";"Hund";"Success"
"Skadedato.aspx";"Forretningsgang";"";"Hund";"Success"
"HundRegres.aspx";"Forretningsgang";"";"Hund";"Success"
"Aflivning.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Tandskade.aspx";"Tilskadekomst";"";"Hund";"Success"
"Sterilisation.aspx";"Sygdom";"";"Hund";"Success"
"Hundesygeforsikringens varighed.aspx";"Forretningsgang";"";"Hund";"Success"
"Guldimplantater.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Anmeldelse af sygdomme og tilskadekomster hos hunden.aspx";"Forretningsgang";"";"Hund";"Success"
"Hvornår beder vi om supplerende oplysninger.aspx";"Forretningsgang";"";"Hund";"Success"
"Registrering af hyposensibilisering - allergivaccinationer.aspx";"Forretningsgang";"";"Hund";"Success"
"Forbehold på policen ved kronisk sygdom.aspx";"Forretningsgang";"";"Hund";"Success"
"Definition af forsikringsår.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Hund ikke vaccineret.aspx";"Sygdom";"";"Hund";"Success"
"Diagnoser - Latinske ord oversat til dansk.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Ankenævnskendelse vedrørende sterilisation.aspx";"Ankenævnskendelser";"";"Hund";"Success"
"Tegning af hundesygedækning.aspx";"Forretningsgang";"";"Hund";"Success"
"Hundeansvar mellem 2 medlemmer.aspx";"Forretningsgang";"";"Hund";"Success"
"Kryptorkisme.aspx";"Sygdom";"";"Hund";"Success"
"HundMedarbejdersager.aspx";"Forretningsgang";"";"Hund";"Success"
"Digital billedarkivering.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Skab.aspx";"Sygdom";"";"Hund";"Success"
"Recepter og ekspeditionsgebyr.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Sårspray.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Halskrave.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Medicinske betegnelser for udleveret medicin.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Forbindingsmateriale.aspx";"Erstatningsopgørelse";"";"Hund";"Success"
"Hund sluger genstand.aspx";"Tilskadekomst";"";"Hund";"Success"
