"Filnavn";"Gruppe";"Undergruppe";"Branche";"Status"
"Forretningsgang for behandling af modtaget fil fra BUPL.aspx";"Forretningsgang";"Forretningsgang for modtaget BUPL fil";"Lønsikring kollektiv";"Success"
"Indberetning.aspx";"SKAT";"Indberetning";"Lønsikring kollektiv";"Success"
"Karens frem til 01.01.2018.aspx";"Lønsikring Ekstra";"Karens frem til 01.01.2018";"Lønsikring kollektiv";"Success"
"Lønsikring EKSTRA.aspx";"Lønsikring Ekstra";"Overordnet om forsikringen";"Lønsikring kollektiv";"Success"
"Kontrol af skadebehandling.aspx";"Generel info";"Kontrol af skadebehandling";"Lønsikring kollektiv";"Success"
"Anciennitet og kvalifikation.aspx";"Generel info";"Anciennitet og kvalifikationsperiode";"Lønsikring kollektiv";"Success"
"Lønsikring kollektivManuel oprettelse.aspx";"Nødprocedure/manuel oprettelse";"Manuel oprettelse";"Lønsikring kollektiv";"Success"
;;;;
"Modtagelse af fil fra BUPL.aspx";"Generel info";"Fil fra BUPL";"Lønsikring kollektiv";"Success"
"Vilkår - Kollektiv.aspx";"Generel info";"Vilkår - Kollektiv";"Lønsikring kollektiv";"Success"
"Specielle regler – overgangsperioden.aspx";"Specielle regler – overgangsperioden";"Specielle regler for dækning i overgangsperioden";"Lønsikring kollektiv";"Success"
"Karantæne.aspx";"Manuelle rettelser";"Karantæne";"Lønsikring kollektiv";"Success"
"Grænsegængere.aspx";"Generel info";"Grænsegængere";"Lønsikring kollektiv";"Success"
"Ændret indplaceringsdato.aspx";"Generel info";"Ændret indplaceringsdato";"Lønsikring kollektiv";"Success"
"Skadebehandling.aspx";"Generel info";"Skadebehandling";"Lønsikring kollektiv";"Success"
"Skadeanmeldelse.aspx";"Generel info";"Skadeanmeldelse";"Lønsikring kollektiv";"Success"
"Overordnet om forsikringen.aspx";"Generel info";"Overordnet om forsikringen";"Lønsikring kollektiv";"Success"
"Korregering.aspx";"SKAT";"Korregering";"Lønsikring kollektiv";"Success"
"Ny ledighed med samme indplaceringsdato.aspx";"Manuelle rettelser";"Ny ledighed med samme indplaceringsdato";"Lønsikring kollektiv";"Success"
"Regulering og korrektioner.aspx";"Manuelle rettelser";"Regulering/korrektioner";"Lønsikring kollektiv";"Success"
