"Filnavn";"Gruppe";"Undergruppe";"Branche";"Status"
"Afdækning - Bygning og indbo.aspx";"Redning og bevaring";"";"StormManual";"Success"
"Afskrivning - Bygning.aspx";"Erstatning";"";"StormManual";"Success"
"Areal - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Arkivering af billeder - Bygning og Indbo.aspx";"Systemet";"";"StormManual";"Success"
"StormManualBeredskabsplan.aspx";"Praktik";"";"StormManual";"Success"
"Betaling af regninger - Bygning.aspx";"Erstatning";"";"StormManual";"Success"
"Brochure - Bygning.aspx";"Praktik";"";"StormManual";"Success"
"Byggefejl, fejlkonstruktion, fejlmontering, underdimensionering mv - Bygning.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Bygningsskadehåndbogen om storm - Bygning.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Carporte - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Drivhuse - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Eget arbejde - Bygning og Indbo.aspx";"Erstatning";"";"StormManual";"Success"
"Falck Bolighjælp - Bygning.aspx";"Praktik";"";"StormManual";"Success"
"Flagstænger - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Fygesne - Bygning og indbo.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Genhusning - Bygning.aspx";"Følgeudgifter";"";"StormManual";"Success"
"Grov uagtsomhed - Bygning.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Gyngestativer - Bygning og indbo.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Haveanlæg - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Havelamper - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Hegn og stakitter - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Husplus afsnit 14 - Bygning.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Indbogenstande - Indbo.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Indboskadehåndbogen om storm - Indbo.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Klager - Bygning og indbo.aspx";"Praktik";"";"StormManual";"Success"
"Knækkede grene - Bygning.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Kontanterstatning - Bygning og indbo.aspx";"Erstatning";"";"StormManual";"Success"
"Legehuse - Bygning og indbo.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Manglende vedligeholdelse - Bygning.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Muret eller støbt sokkel eller sokkelsten - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Ombygning-tilbygning - Bygning.aspx";"Er skaden dækket";"";"StormManual";"Success"
;;;;
"Personrelaterede sager - Bygning og indbo.aspx";"Praktik";"";"StormManual";"Success"
"Policeinformation - Bygning og indbo.aspx";"Systemet";"";"StormManual";"Success"
"Postkasser - Bygning og indbo.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Priser på bygningsdele - Bygning.aspx";"Erstatning";"";"StormManual";"Success"
"Radioamatørantenner - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Regninger - Bygning og Indbo.aspx";"Erstatning";"";"StormManual";"Success"
"Reklamation - Bygning og indbo.aspx";"Udbedring";"";"StormManual";"Success"
"Renoveringsordning-tilskudsordninger - Bygning.aspx";"Erstatning";"";"StormManual";"Success"
"Renter - Bygning og indbo.aspx";"Erstatning";"";"StormManual";"Success"
"Reparation - Bygning.aspx";"Udbedring";"";"StormManual";"Success"
"Reparationsoverslag - Bygning og Indbo.aspx";"Udbedring";"";"StormManual";"Success"
"Reserver - Bygning og Indbo.aspx";"Systemet";"";"StormManual";"Success"
"Sanering - Bygning og indbo.aspx";"Praktik";"";"StormManual";"Success"
"Selvrisiko - Bygning og indbo.aspx";"Erstatning";"";"StormManual";"Success"
"Skade på indbo når nedbør eller smeltevand trænger gennem utætheder i bygningen - Indbo.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Skadebegrænsning - Bygning og indbo.aspx";"Redning og bevaring";"";"StormManual";"Success"
"Skader forvoldt af håndværkere - Bygning og indbo.aspx";"Udbedring";"";"StormManual";"Success"
"Skader over 1 million - Bygning og indbo.aspx";"Praktik";"";"StormManual";"Success"
"Skadeservicefirmaer - Bygning og indbo.aspx";"Redning og bevaring";"";"StormManual";"Success"
"SP-håndværkere - Bygning og indbo.aspx";"Udbedring";"";"StormManual";"Success"
;;;;
"Statistikkoder - Bygning og Indbo.aspx";"Systemet";"";"StormManual";"Success"
"Stormdatoer - Bygning og indbo.aspx";"Er skaden dækket";"";"StormManual";"Success"
"Træer - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Træterrasser-verandaer - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Udendørs køkken - Bygning og indbo.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Udendørs spabad - Bygning og indbo.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Udhuse og redskabsskure - Bygning.aspx";"Forsikrede genstande";"";"StormManual";"Success"
"Vandskade på bygning som følge af storm - Bygning.aspx";"Er skaden dækket";"";"StormManual";"Success"
