OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Information på hjemmeside og Intranet.aspx;Information på hjemmeside og Intranet.aspx;;;Beredskab;False;Success
Startside.aspx;BeredskabStartside.aspx;;;Beredskab;True;Success
Forretningsgang for mindre skybrudsskader.aspx;Forretningsgang for mindre skybrudsskader.aspx;;;Beredskab;False;Success
Nedsættelse af følgegruppe til det videre forløb.aspx;Nedsættelse af følgegruppe til det videre forløb.aspx;;;Beredskab;False;Success
Beskrivelse af Job 2.aspx;Beskrivelse af Job 2.aspx;;;Beredskab;False;Success
Statistik.aspx;Statistik.aspx;;;Beredskab;False;Success
Reassurance.aspx;Reassurance.aspx;;;Beredskab;False;Success
Taksatorkorps og skadeservice.aspx;Taksatorkorps og skadeservice.aspx;;;Beredskab;False;Success
Tilretning og klargøring af telefonsystem.aspx;Tilretning og klargøring af telefonsystem.aspx;;;Beredskab;False;Success
Følgende medarbejdere aktiveres til Job 2.aspx;Følgende medarbejdere aktiveres til Job 2.aspx;;;Beredskab;False;Success
Detaljerede instrukser til skadebehandlere.aspx;Detaljerede instrukser til skadebehandlere.aspx;;;Beredskab;False;Success
Kontaktoplysninger på ledere i Skadesektionen.aspx;Kontaktoplysninger på ledere i Skadesektionen.aspx;;;Beredskab;False;Success
Andet til følgegruppens overvejelse og det videre forløb.aspx;Andet til følgegruppens overvejelse og det videre forløb.aspx;;;Beredskab;False;Success
Beslutning om indsatsgruppe til færdiggørelse af skaderne.aspx;Beslutning om indsatsgruppe til færdiggørelse af skaderne.aspx;;;Beredskab;False;Success
SP håndværkere ved skybrud og storm.aspx;SP håndværkere ved skybrud og storm.aspx;;;Beredskab;False;Success
Forhåndsaccept.aspx;Forhåndsaccept.aspx;;;Beredskab;False;Success
Beslutning om aktivering af beredskabet.aspx;Beslutning om aktivering af beredskabet.aspx;;;Beredskab;False;Success
Information til eller indkaldelse af medarbejdere.aspx;Information til eller indkaldelse af medarbejdere.aspx;;;Beredskab;False;Success
