OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Søgning på Autotaks systemet.aspx;Søgning på Autotaks systemet.aspx;Systemet;;Bil;False;Success
Taksering af modparts bil.aspx;Taksering af modparts bil.aspx;Taksering;;Bil;False;Success
Moms.aspx;Moms.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil;False;Success
Indsamling af oplysninger GDPR.aspx;Indsamling af oplysninger GDPR.aspx;Skadepolitikker;;Bil;False;Success
Veteran.aspx;Veteran.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil;False;Success
Behandling og dækning af stormflodsskader i Bilskade.aspx;Behandling og dækning af stormflodsskader i Bilskade.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil;False;Success
Kontakt til Økonomi.aspx;Kontakt til Økonomi.aspx;Adresser og praktisk info;;Bil;False;Success
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Forretningsgange;;Bil;False;Success
Elektronisk faktura.aspx;Elektronisk faktura.aspx;Adresser og praktisk info;;Bil;False;Success
Taksatorrapport til forkert selskab.aspx;Taksatorrapport til forkert selskab.aspx;Taksering;;Bil;False;Success
DFIM og afmelding af køretøjer.aspx;DFIM og afmelding af køretøjer.aspx;Forretningsgange;;Bil;False;Success
Udbetaling til reparatører.aspx;Udbetaling til reparatører.aspx;Forretningsgange;;Bil;False;Success
Uanmeldte skader.aspx;Uanmeldte skader.aspx;Forretningsgange;;Bil;False;Success
Søgning på motorregister CRM og DMR.aspx;Søgning på motorregister CRM og DMR.aspx;Forretningsgange;;Bil;False;Success
Regres og rykkere til modpart og andre.aspx;Regres og rykkere til modpart og andre.aspx;Forretningsgange;;Bil;False;Success
Prioriteringsrækkefølge af arbejdsopgaver i Bilskade.aspx;Prioriteringsrækkefølge af arbejdsopgaver i Bilskade.aspx;Forretningsgange;;Bil;False;Success
Forretningsgang til fagvejlederne på gennemgang af div. lister i Bilskade.aspx;Forretningsgang til fagvejlederne på gennemgang af div. lister i Bilskade.aspx;Forretningsgange;;Bil;False;Success
EDI vedr. IDL Forsikring og Alpha Insurance.aspx;EDI vedr. IDL Forsikring og Alpha Insurance.aspx;Forretningsgange;;Bil;False;Success
Dobbelt clearinger og betalinger.aspx;Dobbelt clearinger og betalinger.aspx;Forretningsgange;;Bil;False;Success
Dagbøger i Bilskade.aspx;Dagbøger i Bilskade.aspx;Forretningsgange;;Bil;False;Success
Stenslagsaftalen.aspx;Stenslagsaftalen.aspx;Aftaler;;Bil;False;Success
Vidner.aspx;Vidner.aspx;Aftaler;;Bil;False;Success
SKAFOR-aftaler.aspx;SKAFOR-aftaler.aspx;Aftaler;;Bil;False;Success
Én skade én selvrisiko.aspx;Én skade én selvrisiko.aspx;Husaftaler;;Bil;False;Success
