OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Startside.aspx;BygningStartside.aspx;;;Bygning;True;Error
Hvem er sikret.aspx;Hvem er sikret.aspx;Afsnit 1.B: Hvem er sikret;Hvem er sikret;Bygning;False;Error
Hvor dækker forsikringen.aspx;Hvor dækker forsikringen.aspx;Afsnit 1.C: Hvor dækkes;Hvor dækker forsikringen;Bygning;False;Error
Udhuse, redskabsskure, drivhuse mm - antal m2.aspx;Udhuse, redskabsskure, drivhuse mm - antal m2.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
Drivhuse - Sokler.aspx;Drivhuse - Sokler.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
Nedgravede svømmebasssiner.aspx;Nedgravede svømmebasssiner.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
Nedstøbte hegn og stakitter.aspx;Nedstøbte hegn og stakitter.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
træterrasse - veranda.aspx;træterrasse - veranda.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
Legehuse.aspx;Legehuse.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
Legetårne.aspx;Legetårne.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
Glaspavillon, havehus, lysthus, orangeri.aspx;Glaspavillon, havehus, lysthus, orangeri.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
Overdækninger på terrasser, til brænde, havemøbler, barnevogne mm.aspx;Overdækninger på terrasser, til brænde, havemøbler, barnevogne mm.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning;False;Error
Spabad.aspx;BygningSpabad.aspx;Afsnit 1.G.b: Glas og Sanitet;Forsikrede genstande;Bygning;True;Error
Vask i køkken, bryggers mm.aspx;BygningVask i køkken, bryggers mm.aspx;Afsnit 1.G.b: Glas og Sanitet ;Forsikrede genstande;Bygning;True;Error
El ledninger.aspx;El ledninger.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning;False;Error
Fjernvarmerør.aspx;Fjernvarmerør.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning;False;Error
Telefon- og antennekabler.aspx;Telefon- og antennekabler.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning;False;Error
Jordvarmeanlæg.aspx;Jordvarmeanlæg.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning;False;Error
