OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Båd 2309 Brev.aspx;Båd 2309 Brev.aspx;Skadebehandling;Skadebehandling;Båd;False;Success
NY obligatorisk ansvarsforsikring.aspx;NY obligatorisk ansvarsforsikring.aspx;Ansvar;Ansvar;Båd;False;Success
Selvrisiko.aspx;BådSelvrisiko.aspx;Skadebehandling;Skadebehandling;Båd;True;Success
Hvem er sikret.aspx;BådHvem er sikret.aspx;Hvem er sikret?;alle;Båd;True;Success
Bjærgning.aspx;Bjærgning.aspx;Kasko;Bjærgning samt redning og bevaring;Båd;False;Success
Startside.aspx;BådStartside.aspx;;;Båd;True;Success
Ved telefoniske henvendelser.aspx;Ved telefoniske henvendelser.aspx;Skadebehandling;;Båd;False;Success
Efteranvisning.aspx;BådEfteranvisning.aspx;Skadebehandling;Skadebehandling;Båd;True;Success
Forretningsgang.aspx;Forretningsgang.aspx;Ulykkesforsikring;Forretningsgang;Båd;False;Success
Ansvarskrav ifm bjærgning.aspx;Ansvarskrav ifm bjærgning.aspx;Ansvar;;Båd;False;Success
Ansvar ved bugsering,slæb,bjærgning.aspx;Ansvar ved bugsering,slæb,bjærgning.aspx;Ansvar;;Båd;False;Success
Erstatning.aspx;Erstatning.aspx;Kasko;Erstatning;Båd;False;Success
Mekanisk skade.aspx;BådMekanisk skade.aspx;Kasko;;Båd;True;Success
Hvad dækker forsikringen.aspx;BådHvad dækker forsikringen.aspx;Skadebehandling;Hvad dækker forsikringen;Båd;True;Success
klagesager.aspx;klagesager.aspx;Klagesager;Klagersager;Båd;False;Success
Ulykkelig hændelse og pludselig skade.aspx;Ulykkelig hændelse og pludselig skade.aspx;Kasko;Ulykkelig hændelse;Båd;False;Success
Hvor og hvornår dækkes'.aspx;Hvor og hvornår dækkes'.aspx;Kasko;Hvor og hvornår dækkes?;Båd;False;Success
Tyveri.aspx;BådTyveri.aspx;Kasko;Tyveri;Båd;True;Success
Taksator.aspx;Taksator.aspx;Kasko;Taksator;Båd;False;Success
Havari.aspx;Havari.aspx;Kasko;Havari;Båd;False;Success
Hærværk.aspx;BådHærværk.aspx;Kasko;Hærværk;Båd;True;Success
Skadekonsulent.aspx;Skadekonsulent.aspx;Kasko;Skadekonsulent;Båd;False;Success
Brand, eksplosion og lyn.aspx;Brand, eksplosion og lyn.aspx;Kasko;Brand, eksplosion og direkte lynnedslag;Båd;False;Success
Grov uagtsomhed.aspx;Grov uagtsomhed.aspx;Kasko;Grov uagtsomhed;Båd;False;Success
Regresaftalen.aspx;Regresaftalen.aspx;Ansvar;Regresaftalen;Båd;False;Success
Hvor og hvornår dækkes.aspx;Hvor og hvornår dækkes.aspx;Ansvar;Hvor og hvornår dækkes?;Båd;False;Success
Antagelseregler.aspx;Antagelseregler.aspx;Hvem er sikret?;Antagelsesregler;Båd;False;Success
Transport.aspx;Transport.aspx;Kasko;Transport;Båd;False;Success
Væltning.aspx;Væltning.aspx;Kasko;;Båd;False;Success
Skade på mast.aspx;Skade på mast.aspx;Kasko;Hændelser under sejlads;Båd;False;Success
Sødygtighed.aspx;Sødygtighed.aspx;Kasko;;Båd;False;Success
Bådudtryk.aspx;Bådudtryk.aspx;Skadebehandling;;Båd;False;Success
Påsejling.aspx;Påsejling.aspx;Ansvar;;Båd;False;Success
Forsikringstiden.aspx;Forsikringstiden.aspx;Hvem er sikret?;;Båd;False;Success
Tab af påhængsmotor.aspx;Tab af påhængsmotor.aspx;Kasko;Hændelser under sejlads;Båd;False;Success
Medarbejdersager.aspx;BådMedarbejdersager.aspx;Skadebehandling;Medarbejdersager;Båd;True;Success
Dækningsskema.aspx;Dækningsskema.aspx;Kasko;Dækningsskema;Båd;False;Success
Links.aspx;Links.aspx;Links;Links;Båd;False;Success
Statistikkoder.aspx;BådStatistikkoder.aspx;Skadebehandling;Statistikkoder;Båd;True;Success
