OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Hvem er sikret.aspx;EjerskifteHvem er sikret.aspx;Alle skader;Afsnit 1 i vilkårene - Hvem er sikret;Ejerskifte;True;Success
ophør, forlængelse, ejerskifte.aspx;ophør, forlængelse, ejerskifte.aspx;Alle skader;Afsnit 10 i vilkårene - Forsikringens varighed;Ejerskifte;False;Success
Præmien.aspx;Præmien.aspx;Alle skader;Afsnit 11 i vilkårene - Præmien;Ejerskifte;False;Success
Uenighed.aspx;Uenighed.aspx;Alle skader;Afsnit 12 i vilkårene - Uenighed;Ejerskifte;False;Success
Fortrydelsesret.aspx;Fortrydelsesret.aspx;Alle skader;Afsnit 13 i vilkårene - Fortrydelse;Ejerskifte;False;Success
Lov om behandling af personoplysninger.aspx;Lov om behandling af personoplysninger.aspx;Alle skader;Afsnit 14 i vilkårene - Lov om behandling af personoplysninger;Ejerskifte;False;Success
Hvad omfatter forsikringen.aspx;Hvad omfatter forsikringen.aspx;Alle skader;Afsnit 2 i vilkårene - Hvad omfatter forsikringen;Ejerskifte;False;Success
Hvad dækker forsikringen.aspx;EjerskifteHvad dækker forsikringen.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;True;Success
Skadebegrebet.aspx;Skadebegrebet.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
Gulve under tæpper.aspx;Gulve under tæpper.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
Nærliggende risiko for skade.aspx;Nærliggende risiko for skade.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
Manglende bygningsdele.aspx;Manglende bygningsdele.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
Skimmelsvamp.aspx;EjerskifteSkimmelsvamp.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;True;Success
Udvidet el- og vvs-dækning.aspx;Udvidet el- og vvs-dækning.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
Dræn.aspx;Dræn.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
Udvidet dækning for ulovlige bygninger.aspx;Udvidet dækning for ulovlige bygninger.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
El-skader.aspx;El-skader.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
Sætningsskader.aspx;Sætningsskader.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen;Ejerskifte;False;Success
Rådskader.aspx;Rådskader.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen ;Ejerskifte;False;Success
Rørskader.aspx;Rørskader.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen ;Ejerskifte;False;Success
Fugtige kældre.aspx;Fugtige kældre.aspx;Alle skader;Afsnit 3 i vilkårene - Hvad dækker forsikringen ;Ejerskifte;False;Success
Udløb af levetid.aspx;Udløb af levetid.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Startside.aspx;EjerskifteStartside.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;True;Success
Nævnt i tilstandsrapporten.aspx;Nævnt i tilstandsrapporten.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Garanti eller dækket af en anden forsikring.aspx;Garanti eller dækket af en anden forsikring.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Skader opstået efter at en tilsvarende skade er dækket.aspx;Skader opstået efter at en tilsvarende skade er dækket.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Bagatelagtige forhold, der er umiddelbart synlige for en ikke- sagkyndig køber.aspx;Bagatelagtige forhold, der er umiddelbart synlige for en ikke- sagkyndig køber.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Kendskab.aspx;Kendskab.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Sædvanligt slid og manglende vedligeholdelse.aspx;Sædvanligt slid og manglende vedligeholdelse.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Gjort utilgængelige.aspx;Gjort utilgængelige.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Bygningens funktionsforhold, lovlighed mv.aspx;Bygningens funktionsforhold, lovlighed mv.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Følgeskader af forhold nævnt i tilstandsrapporten.aspx;Følgeskader af forhold nævnt i tilstandsrapporten.aspx;Alle skader;Afsnit 4 i vilkårene - Undtagelser fra dækningen;Ejerskifte;False;Success
Selvrisiko.aspx;EjerskifteSelvrisiko.aspx;Alle skader;Afsnit 5 i vilkårene - Selvrisiko;Ejerskifte;True;Success
Afrensning af skimmesvamp.aspx;Afrensning af skimmesvamp.aspx;Alle skader;Afsnit 6 i vilkårene - Redning og bevaring;Ejerskifte;False;Success
Afrensning af skimmelsvamp på indbogenstande.aspx;Afrensning af skimmelsvamp på indbogenstande.aspx;Alle skader;Afsnit 6 i vilkårene - Redning og bevaring;Ejerskifte;False;Success
Redning og bevaring.aspx;EjerskifteRedning og bevaring.aspx;Alle skader;Afsnit 6 i vilkårene - Redning og bevaring;Ejerskifte;True;Success
Tab af husleje og udgifter til flytning.aspx;Tab af husleje og udgifter til flytning.aspx;Alle skader;Afsnit 7 i vilkårene - Flytning og huslejetab;Ejerskifte;False;Success
Hvordan erstatter vi.aspx;Hvordan erstatter vi.aspx;Alle skader;Afsnit 8 i vilkårene - Erstatningen;Ejerskifte;False;Success
Advokatsalær.aspx;Advokatsalær.aspx;Alle skader;Afsnit 8 i vilkårene - Erstatningen;Ejerskifte;False;Success
Transport af erstatningen.aspx;Transport af erstatningen.aspx;Alle skader;Afsnit 8 i vilkårene - Erstatningen;Ejerskifte;False;Success
Panthavere.aspx;Panthavere.aspx;Alle skader;Afsnit 8 i vilkårene - Erstatningen;Ejerskifte;False;Success
Lovliggørelse - nye krav i BR2010.aspx;Lovliggørelse - nye krav i BR2010.aspx;Alle skader;Afsnit 8 i vilkårene - Erstatningen;Ejerskifte;False;Success
Undersøgelsesudgifter.aspx;EjerskifteUndersøgelsesudgifter.aspx;Alle skader;Afsnit 8 i vilkårene - Erstatningen;Ejerskifte;True;Success
Når skaden sker.aspx;Når skaden sker.aspx;Alle skader;Afsnit 9 i vilkårene - Hvis skaden sker;Ejerskifte;False;Success
Links.aspx;EjerskifteLinks.aspx;Alle skader;Gode links;Ejerskifte;True;Success
Bevissikringsaftale ejerskifte.aspx;Bevissikringsaftale ejerskifte.aspx;Alle skader;Regres;Ejerskifte;False;Success
Byggeskadeforsikring.aspx;EjerskifteByggeskadeforsikring.aspx;Alle skader;Regres;Ejerskifte;True;Success
Regres.aspx;EjerskifteRegres.aspx;Alle skader;Skadebehandling og processer;Ejerskifte;True;Success
Rykkerbreve.aspx;Rykkerbreve.aspx;Alle skader;Skadebehandling og processer;Ejerskifte;False;Success
Skadekonsulentsager.aspx;Skadekonsulentsager.aspx;Alle skader;Skadebehandling og processer;Ejerskifte;False;Success
Spørgsmål ved telefonisk anmeldelse.aspx;Spørgsmål ved telefonisk anmeldelse.aspx;Alle skader;Skadebehandling og processer;Ejerskifte;False;Success
Bevisbyrde.aspx;Bevisbyrde.aspx;Alle skader;Skadebehandling og processer;Ejerskifte;False;Success
Kvitteringsbreve.aspx;Kvitteringsbreve.aspx;Alle skader;Skadebehandling og processer;Ejerskifte;False;Success
Reservefastsættelse.aspx;Reservefastsættelse.aspx;Alle skader;Skadebehandling og processer;Ejerskifte;False;Success
Hvilke dokumenter skal vi bruge.aspx;Hvilke dokumenter skal vi bruge.aspx;Alle skader;Skadebehandling og processer;Ejerskifte;False;Success
