OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Klagevejledning.aspx;Klagevejledning.aspx;forretningsgange;;Erhverv;False;Success
Udstillingsforsikring.aspx;Udstillingsforsikring.aspx;Andre forsikringer;Udstillingsforsikring;Erhverv;False;Success
Selvrisici branche 8.aspx;Selvrisici branche 8.aspx;Selvrisiko;Selvrisiko branche 8;Erhverv;False;Success
Vilkår 87-2 Forældelse.aspx;Vilkår 87-2 Forældelse.aspx;Løsøre;Forældelse Vilkår 87-2;Erhverv;False;Success
Forældelse Svamp og Insekt.aspx;Forældelse Svamp og Insekt.aspx;Bygning;Vilkår 83-3  forældelse Svamp og insekt;Erhverv;False;Success
Svamp og insekt.aspx;Svamp og insekt.aspx;Bygning;Svamp og insekt;Erhverv;False;Success
Startside.aspx;ErhvervStartside.aspx;;;Erhverv;True;Success
Indekserede summer.aspx;Indekserede summer.aspx;Løsøre;Erstatningsopgørelse;Erhverv;False;Success
Påkørsel.aspx;Påkørsel.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv;False;Success
Klausuler på løsøre.aspx;Klausuler på løsøre.aspx;Løsøre;Forretningsgange;Erhverv;False;Success
Sagsbehandling løsøre.aspx;Sagsbehandling løsøre.aspx;Løsøre;Forretningsgange;Erhverv;False;Success
Rede penge.aspx;Rede penge.aspx;Løsøre;Forsikrede Genstande;Erhverv;False;Success
Driftstab.aspx;Driftstab.aspx;Løsøre;Driftstab;Erhverv;False;Success
Transportskade.aspx;Transportskade.aspx;Løsøre;Transportskade;Erhverv;False;Success
Stormskade.aspx;Stormskade.aspx;Løsøre;Storm;Erhverv;False;Success
Varegruppe og sikringsniveau.aspx;Varegruppe og sikringsniveau.aspx;Løsøre;Tyveri;Erhverv;False;Success
Tyveri.aspx;ErhvervTyveri.aspx;Løsøre;Tyveri;Erhverv;True;Success
Sagsbehandling bygning.aspx;Sagsbehandling bygning.aspx;Bygning;Forretningsgange;Erhverv;False;Success
Genopførelse kan ikke ske.aspx;Genopførelse kan ikke ske.aspx;Bygning;Erstatningsopgørelse;Erhverv;False;Success
Haveanlæg.aspx;Haveanlæg.aspx;Bygning;Forsikrede Genstande;Erhverv;False;Success
Tilbehør til bygningen.aspx;Tilbehør til bygningen.aspx;Bygning;Forsikrede Genstande;Erhverv;False;Success
Faste elinstallationer.aspx;Faste elinstallationer.aspx;Bygning;Forsikrede Genstande;Erhverv;False;Success
Udvidet rørskade.aspx;Udvidet rørskade.aspx;Bygning;Udvidet rør;Erhverv;False;Success
Kumme.aspx;Kumme.aspx;Bygning;Glas og kumme;Erhverv;False;Success
Glas.aspx;Glas.aspx;Bygning;Glas og kumme;Erhverv;False;Success
Skybrud bygning.aspx;Skybrud bygning.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv;False;Success
Frostsprængning bygning.aspx;Frostsprængning bygning.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv;False;Success
Udsivning.aspx;Udsivning.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv;False;Success
Tilfældig udstrømning.aspx;Tilfældig udstrømning.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv;False;Success
Tyveri og hærværk.aspx;Tyveri og hærværk.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv;False;Success
Slukning og bortkomst.aspx;Slukning og bortkomst.aspx;Bygning;Brand;Erhverv;False;Success
Tørkogning.aspx;Tørkogning.aspx;Bygning;Brand;Erhverv;False;Success
