OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Administrationsskader.aspx;Administrationsskader.aspx;;;Generel Skadepolitik;False;Success
Annullering-af-skade.aspx;Annullering-af-skade.aspx;;;Generel Skadepolitik;False;Success
default.aspx;default.aspx;;;Generel Skadepolitik;False;Success
Konto-,-momsnumre-etc-i-LB-Forsikring.aspx;Konto-,-momsnumre-etc-i-LB-Forsikring.aspx;;;Generel Skadepolitik;False;Success
Oversættelser.aspx;Oversættelser.aspx;;;Generel Skadepolitik;False;Success
Reserve.aspx;Generel SkadepolitikReserve.aspx;;;Generel Skadepolitik;True;Success
Reserveindberetning.aspx;Reserveindberetning.aspx;;;Generel Skadepolitik;False;Success
Rettelse-af-kontonumre-(SKCM).aspx;Rettelse-af-kontonumre-(SKCM).aspx;;;Generel Skadepolitik;False;Success
Rettelse-af-skadeår.aspx;Rettelse-af-skadeår.aspx;;;Generel Skadepolitik;False;Success
Risikoindberetning-og-risikomedarbejdere.aspx;Risikoindberetning-og-risikomedarbejdere.aspx;;;Generel Skadepolitik;False;Success
Sagerhvoransatteerinvolveret.aspx;Sagerhvoransatteerinvolveret.aspx;;;Generel Skadepolitik;False;Success
Skadedebitorer.docx;Skadedebitorer.docx;;;Generel Skadepolitik;False;Success
Skader-omtalt-i-pressen-.aspx;Skader-omtalt-i-pressen-.aspx;;;Generel Skadepolitik;False;Success
Stat.koder.aspx;Stat.koder.aspx;;;Generel Skadepolitik;False;Success
Tildelingafanvisningskompetence.aspx;Tildelingafanvisningskompetence.aspx;;;Generel Skadepolitik;False;Success
Vilkår.aspx;Generel SkadepolitikVilkår.aspx;;;Generel Skadepolitik;True;Success
