OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Skade forvoldt af ukendte og uforsikrede hunde.aspx;HundSkade forvoldt af ukendte og uforsikrede hunde.aspx;Forretningsgang;;Hund;True;Success
Forebyggende behandling - kronisk sygdomsbrev.aspx;Forebyggende behandling - kronisk sygdomsbrev.aspx;Forretningsgang ;;Hund;False;Success
Allergivacciner.aspx;Allergivacciner.aspx;Erstatningsopgørelse;;Hund;False;Success
Behandlingsperiode på 120 dage.aspx;Behandlingsperiode på 120 dage.aspx;Erstatningsopgørelse;;Hund;False;Success
Behandling i det nye forsikringsår.aspx;Behandling i det nye forsikringsår.aspx;Erstatningsopgørelse;;Hund;False;Success
Alternative behandlinger - akupunktur mv.aspx;Alternative behandlinger - akupunktur mv.aspx;Erstatningsopgørelse;;Hund;False;Success
Selvrisiko og maksimumdækninger.aspx;Selvrisiko og maksimumdækninger.aspx;Erstatningsopgørelse;;Hund;False;Success
Dækning på færøerne.aspx;Dækning på færøerne.aspx;Forretningsgang;;Hund;False;Success
Kejsersnit.aspx;Kejsersnit.aspx;Sygdom;;Hund;False;Success
Kikkertundersøgelse er det en undersøgelsesudgift eller en behandlingsudgift.aspx;Kikkertundersøgelse er det en undersøgelsesudgift eller en behandlingsudgift.aspx;Erstatningsopgørelse;;Hund;False;Success
Karenstid.aspx;Karenstid.aspx;Erstatningsopgørelse;;Hund;False;Success
Behandling af anmeldelser på hundesygedækningen.aspx;Behandling af anmeldelser på hundesygedækningen.aspx;Forretningsgang;;Hund;False;Success
Tjenestehunde.aspx;Tjenestehunde.aspx;Forretningsgang ;;Hund;False;Success
Mælkekirtler, mammatumores og andre knuder.aspx;Mælkekirtler, mammatumores og andre knuder.aspx;Sygdom;;Hund;False;Success
Maksdækning og fradrag af selvrisiko.aspx;Maksdækning og fradrag af selvrisiko.aspx;Forretningsgang;;Hund;False;Success
Laboratorieprøver.aspx;Laboratorieprøver.aspx;Erstatningsopgørelse;;Hund;False;Success
