OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
(a) Grundlaget for Den Gode Indboskadebehandler - Den Gode Indbotaksator.aspx;(a) Grundlaget for Den Gode Indboskadebehandler - Den Gode Indbotaksator.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;Indbo;False;Success
(a) Medlem til sagsbehandler.aspx;(a) Medlem til sagsbehandler.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;Hvilke oplysninger skal noteres på f2;Indbo;False;Success
(a) Sagsbehandler til sagsbehandler.aspx;(a) Sagsbehandler til sagsbehandler.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;Skadeårsag er dækket - Done-in-one;Indbo;False;Success
(b) Sagsbehandler til sagsbehandler.aspx;(b) Sagsbehandler til sagsbehandler.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;Skadeårsag er dækket - Erstatning opgøres delvist. Vi mangler oplysninger om enkelte eller flere genstande for at tage stilling til dækning eller erstatningens størrelse ;Indbo;False;Success
(c) Sagsbehandler til sagsbehandler.aspx;(c) Sagsbehandler til sagsbehandler.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;Skadeårsag er dækket - Vi mangler oplysninger om de skaderamte genstande for at tage stilling til dækning eller erstatningens størrelse;Indbo;False;Success
(d) Sagsbehandler til sagsbehandler.aspx;(d) Sagsbehandler til sagsbehandler.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;Vi ved ikke om skadeårsag er dækket;Indbo;False;Success
(e) Sagsbehandler til sagsbehandler.aspx;(e) Sagsbehandler til sagsbehandler.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;Er medlem orienteret om;Indbo;False;Success
(f) Sagsbehandler til sagsbehandler.aspx;(f) Sagsbehandler til sagsbehandler.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;Tag altid stilling til og noter på F2 hvis relevant;Indbo;False;Success
(g) Sagsbehandler til sagsbehandler.aspx;(g) Sagsbehandler til sagsbehandler.aspx;Den Gode Indboskadebehandler - Den Gode Indbotaksator;Skadeårsag er ikke dækket;Indbo;False;Success
A conto-betaling.aspx;A conto-betaling.aspx;Erstatningsopgørelse;;Indbo;False;Success
Advokatomkostninger.aspx;Advokatomkostninger.aspx;Erstatningsopgørelse;;Indbo;False;Success
Afdragsordninger.aspx;Afdragsordninger.aspx;Forretningsgang ;;Indbo;False;Success
Aflastningsbørn.aspx;Aflastningsbørn.aspx;Vilkårenes afsnit 1.B. Hvem dækker forsikringen ;;Indbo;False;Success
Aflåst cykel glemt i tog.aspx;Aflåst cykel glemt i tog.aspx;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;Indbo;False;Success
Afskrivning - briller og solbriller.aspx;Afskrivning - briller og solbriller.aspx;Erstatningsopgørelse;;Indbo;False;Success
Afskrivning - kamera.aspx;Afskrivning - kamera.aspx;Erstatningsopgørelse;;Indbo;False;Success
