OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Anerkendelse.aspx;Anerkendelse.aspx;Standardmails;Anerkendelse;Individuel lønsikring;False;Success
SKAT.aspx;SKAT.aspx;SKAT;SKAT;Individuel lønsikring;False;Success
Hvordan beregnes en månedsløn.aspx;Hvordan beregnes en månedsløn.aspx;Hvordan beregnes en månedsløn;Hvordan beregnes en månedsløn;Individuel lønsikring;False;Success
Tvunget nedsat tid.aspx;Tvunget nedsat tid.aspx;Tvunget nedsat tid;Tvunget nedsat tid;Individuel lønsikring;False;Success
Beregning af lønsikring ved sygedagpenge.aspx;Beregning af lønsikring ved sygedagpenge.aspx;Midlertidig uarbejdsdygtig;Beregning af lønsikring ved sygedagpenge;Individuel lønsikring;False;Success
Udbetaling - uden SKAT.aspx;Udbetaling - uden SKAT.aspx;Standardmails;Udbetaling;Individuel lønsikring;False;Success
Udbetaling - med SKAT.aspx;Udbetaling - med SKAT.aspx;Standardmails;Udbetaling;Individuel lønsikring;False;Success
Karensdag - uden SKAT.aspx;Karensdag - uden SKAT.aspx;Standardmails;Karensdag;Individuel lønsikring;False;Success
Karensdag - med SKAT.aspx;Karensdag - med SKAT.aspx;Standardmails;Karensdag;Individuel lønsikring;False;Success
Ferie og arbejde - uden SKAT.aspx;Ferie og arbejde - uden SKAT.aspx;Standardmails;Ferie;Individuel lønsikring;False;Success
Ferie og arbejde - med SKAT.aspx;Ferie og arbejde - med SKAT.aspx;Standardmails;Ferie;Individuel lønsikring;False;Success
Ferie - med SKAT.aspx;Ferie - med SKAT.aspx;Standardmails;Ferie;Individuel lønsikring;False;Success
Arbejde og ferie - uden SKAT.aspx;Arbejde og ferie - uden SKAT.aspx;Standardmails;Arbejde;Individuel lønsikring;False;Success
Arbejde og ferie - med SKAT.aspx;Arbejde og ferie - med SKAT.aspx;Standardmails;Arbejde;Individuel lønsikring;False;Success
Arbejde - uden SKAT.aspx;Arbejde - uden SKAT.aspx;Standardmails;Arbejde;Individuel lønsikring;False;Success
Arbejde - med SKAT.aspx;Arbejde - med SKAT.aspx;Standardmails;Arbejde;Individuel lønsikring;False;Success
80 procent- med SKAT.aspx;80 procent- med SKAT.aspx;Standardmails;80 procent;Individuel lønsikring;False;Success
80 procent - uden SKAT.aspx;80 procent - uden SKAT.aspx;Standardmails;80 procent;Individuel lønsikring;False;Success
Ferie - uden SKAT.aspx;Ferie - uden SKAT.aspx;Standardmails;Ferie;Individuel lønsikring;False;Success
Sygemeldt - kun lærernes.aspx;Sygemeldt - kun lærernes.aspx;Standardmails;Sygemeldt - kun lærernes;Individuel lønsikring;False;Success
Kvalifikation - ikke overholdt.aspx;Kvalifikation - ikke overholdt.aspx;Standardmails;Kvalifikation;Individuel lønsikring;False;Success
Karens - afvisning.aspx;Karens - afvisning.aspx;Standardmails;Karens - afvisning;Individuel lønsikring;False;Success
Beregning og modregning af ferie og arbejde.aspx;Beregning og modregning af ferie og arbejde.aspx;Ferie og arbejde;Beregning og modregning af ferie og arbejde;Individuel lønsikring;False;Success
Vikariat når vi er i dækning for ledighed.aspx;Vikariat når vi er i dækning for ledighed.aspx;Vikariat;Vikariat når vi er i dækning for ledighed;Individuel lønsikring;False;Success
Supplerende dagpenge (dagpenge + løn).aspx;Supplerende dagpenge (dagpenge + løn).aspx;Supplerende dagpenge;Supplerende dagpenge (dagpenge + løn);Individuel lønsikring;False;Success
Selvrisiko.aspx;Individuel lønsikringSelvrisiko.aspx;Selvrisiko;Selvrisiko;Individuel lønsikring;True;Success
Sætte lønsikring på pause pga. nyt job , 3 måneders.aspx;Sætte lønsikring på pause pga. nyt job , 3 måneders.aspx;Pause imellem udbetalingerne;Sætte lønsikring på pause pga. nyt job , 3 måneders;Individuel lønsikring;False;Success
Klippekort.aspx;Klippekort.aspx;Pause imellem udbetalingerne;Klippekort;Individuel lønsikring;False;Success
Midlertidig uarbejdsdygtighed - DSA.aspx;Midlertidig uarbejdsdygtighed - DSA.aspx;Midlertidig uarbejdsdygtig;Midlertidig uarbejdsdygtighed - DSA;Individuel lønsikring;False;Success
Midlertidig uarbejdsdygtig – Lærernes.aspx;Midlertidig uarbejdsdygtig – Lærernes.aspx;Midlertidig uarbejdsdygtig;Midlertidig uarbejdsdygtig – Lærernes;Individuel lønsikring;False;Success
Løntilskud.aspx;Løntilskud.aspx;Løntilskud;Løntilskud;Individuel lønsikring;False;Success
Kvalifikationsperiode af vikariat + faststilling.aspx;Kvalifikationsperiode af vikariat + faststilling.aspx;Kvalifikation;Kvalifikationsperiode af vikariat + faststilling;Individuel lønsikring;False;Success
Kvalifikation – vikariat og tidsbegrænset stilling.aspx;Kvalifikation – vikariat og tidsbegrænset stilling.aspx;Kvalifikation;Kvalifikation – vikariat og tidsbegrænset stilling;Individuel lønsikring;False;Success
Kvalifikation.aspx;Kvalifikation.aspx;Kvalifikation;Kvalifikation;Individuel lønsikring;False;Success
Karensdag fratrukket dagpenge.aspx;Karensdag fratrukket dagpenge.aspx;Karens;Karensdag fratrukket dagpenge;Individuel lønsikring;False;Success
Karens.aspx;Karens.aspx;Karens;Karens;Individuel lønsikring;False;Success
Forlængelse af periode (afholdt ferie + arbejde).aspx;Forlængelse af periode (afholdt ferie + arbejde).aspx;Ferie og arbejde;Forlængelse af periode (afholdt ferie + arbejde);Individuel lønsikring;False;Success
80 procent reglen overordnet.aspx;80 procent reglen overordnet.aspx;80 procent reglen;80 procent reglen overordnet;Individuel lønsikring;False;Success
80 procent med ferie.aspx;80 procent med ferie.aspx;80 procent reglen;80 procent med ferie;Individuel lønsikring;False;Success
Hvis medlem kommer fra vikariat, men har haft faststilling før vikariatet.aspx;Hvis medlem kommer fra vikariat, men har haft faststilling før vikariatet.aspx;Kvalifikation;Hvis medlem kommer fra vikariat, men har haft faststilling før vikariatet;Individuel lønsikring;False;Success
Tidligere håndbog, gældende til 19.12.2017.aspx;Tidligere håndbog, gældende til 19.12.2017.aspx;Tidligere håndbog;Tidligere håndbog, gældende til 19.12.2017;Individuel lønsikring;False;Success
Beregningsskema.aspx;Beregningsskema.aspx;Beregningsskema;Beregningsskema;Individuel lønsikring;False;Success
Anmeldelse.aspx;Individuel lønsikringAnmeldelse.aspx;Forretningsgange ;Anmeldelse;Individuel lønsikring;True;Success
Startside.aspx;Individuel lønsikringStartside.aspx;;;Individuel lønsikring;True;Success
Behandling af klager.aspx;Behandling af klager.aspx;Forretningsgange ;Klager;Individuel lønsikring;False;Success
Kontaktperson i Medlemsjura.aspx;Kontaktperson i Medlemsjura.aspx;Forretningsgange;Kontaktperson i Medlemsjura;Individuel lønsikring;False;Success
Generel klagepolitik.aspx;Generel klagepolitik.aspx;Forretningsgange;Klager;Individuel lønsikring;False;Success
Ankenævnet for Forsikring - hjemmeside.aspx;Ankenævnet for Forsikring - hjemmeside.aspx;Forretningsgange;Ankenævnet;Individuel lønsikring;False;Success
Ankenævnskendelser.aspx;Ankenævnskendelser.aspx;Forretningsgange;Ankenævnet;Individuel lønsikring;False;Success
Vilkår - DLF (Lærerstanden).aspx;Vilkår - DLF (Lærerstanden).aspx;Vilkår;Vilkår;Individuel lønsikring;False;Success
Vilkår - DSA (Bauta).aspx;Vilkår - DSA (Bauta).aspx;Vilkår;Vilkår;Individuel lønsikring;False;Success
