OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Forretningsgang for behandling af modtaget fil fra BUPL.aspx;Forretningsgang for behandling af modtaget fil fra BUPL.aspx;Forretningsgang;Forretningsgang for modtaget BUPL fil;Lønsikring kollektiv;False;Success
Indberetning.aspx;Indberetning.aspx;SKAT;Indberetning;Lønsikring kollektiv;False;Success
Karens frem til 01.01.2018.aspx;Karens frem til 01.01.2018.aspx;Lønsikring Ekstra;Karens frem til 01.01.2018;Lønsikring kollektiv;False;Success
Lønsikring EKSTRA.aspx;Lønsikring EKSTRA.aspx;Lønsikring Ekstra;Overordnet om forsikringen;Lønsikring kollektiv;False;Success
Kontrol af skadebehandling.aspx;Kontrol af skadebehandling.aspx;Generel info;Kontrol af skadebehandling;Lønsikring kollektiv;False;Success
Anciennitet og kvalifikation.aspx;Anciennitet og kvalifikation.aspx;Generel info;Anciennitet og kvalifikationsperiode;Lønsikring kollektiv;False;Success
Manuel oprettelse.aspx;Lønsikring kollektivManuel oprettelse.aspx;Nødprocedure/manuel oprettelse;Manuel oprettelse;Lønsikring kollektiv;True;Success
Vilkår - EKSTRA.aspx;Vilkår - EKSTRA.aspx;Lønsikring Ekstra;Vilkår - EKSTRA;Lønsikring kollektiv;False;Success
Modtagelse af fil fra BUPL.aspx;Modtagelse af fil fra BUPL.aspx;Generel info;Fil fra BUPL;Lønsikring kollektiv;False;Success
Vilkår - Kollektiv.aspx;Vilkår - Kollektiv.aspx;Generel info;Vilkår - Kollektiv;Lønsikring kollektiv;False;Success
Specielle regler – overgangsperioden.aspx;Specielle regler – overgangsperioden.aspx;Specielle regler – overgangsperioden;Specielle regler for dækning i overgangsperioden;Lønsikring kollektiv;False;Success
Karantæne.aspx;Karantæne.aspx;Manuelle rettelser;Karantæne;Lønsikring kollektiv;False;Success
Grænsegængere.aspx;Grænsegængere.aspx;Generel info;Grænsegængere;Lønsikring kollektiv;False;Success
Ændret indplaceringsdato.aspx;Ændret indplaceringsdato.aspx;Generel info;Ændret indplaceringsdato;Lønsikring kollektiv;False;Success
Skadebehandling.aspx;Skadebehandling.aspx;Generel info;Skadebehandling;Lønsikring kollektiv;False;Success
Skadeanmeldelse.aspx;Skadeanmeldelse.aspx;Generel info;Skadeanmeldelse;Lønsikring kollektiv;False;Success
Overordnet om forsikringen.aspx;Overordnet om forsikringen.aspx;Generel info;Overordnet om forsikringen;Lønsikring kollektiv;False;Success
Korregering.aspx;Korregering.aspx;SKAT;Korregering;Lønsikring kollektiv;False;Success
Ny ledighed med samme indplaceringsdato.aspx;Ny ledighed med samme indplaceringsdato.aspx;Manuelle rettelser;Ny ledighed med samme indplaceringsdato;Lønsikring kollektiv;False;Success
Regulering og korrektioner.aspx;Regulering og korrektioner.aspx;Manuelle rettelser;Regulering/korrektioner;Lønsikring kollektiv;False;Success
