OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Brosymptomer.aspx;Brosymptomer.aspx;Årsagssammenhæng;Årsagssammenhæng;Personskade;False;Success
Anvisningskompetence (efteranvisning og reservefastsættelse).aspx;Anvisningskompetence (efteranvisning og reservefastsættelse).aspx;Forretningsgange;Afregning i sagerne;Personskade;False;Success
Aftale om deling af udgifter - tilsluttede selskaber.aspx;Aftale om deling af udgifter - tilsluttede selskaber.aspx;Forretningsgange;Forsikring & Pension ;Personskade;False;Error
AES gebyr, sygedagpengesatser, kørsel mv.aspx;AES gebyr, sygedagpengesatser, kørsel mv.aspx;Forretningsgange;Summer, honorar, satser og gebyrer;Personskade;False;Success
Sikker post.aspx;PersonskadeSikker post.aspx;Forretningsgange;Vores behandling af oplysninger;Personskade;True;Success
Hvornår og hvordan fastsættes reserven i praksis, herunder brugen af reserveindberetningsskema.aspx;Hvornår og hvordan fastsættes reserven i praksis, herunder brugen af reserveindberetningsskema.aspx;Forretningsgange;Hvordan fastsætter vi reserve;Personskade;False;Success
Færdselslovens § 101.aspx;Færdselslovens § 101.aspx;Diverse faglige spørgsmål;Færdselsloven;Personskade;False;Success
Sikre emailadresser.aspx;Sikre emailadresser.aspx;Forretningsgange;Forsikring & Pension;Personskade;False;Error
Konkurrerende lidelser - tilkomne.aspx;Konkurrerende lidelser - tilkomne.aspx;Årsagssammenhæng;Konkurrerende lidelser;Personskade;False;Success
Regres for sygedagpenge - adresser til brug for indberetning.aspx;Regres for sygedagpenge - adresser til brug for indberetning.aspx;EAL - de enkelte bestemmelser;(S) EAL § 17;Personskade;False;Success
Pligt til at orientere kommunen - sygedagpengelovens § 78 stk. 2.aspx;Pligt til at orientere kommunen - sygedagpengelovens § 78 stk. 2.aspx;EAL - de enkelte bestemmelser;(S) EAL § 17;Personskade;False;Success
EET-udvalg.aspx;EET-udvalg.aspx;Forretningsgange;Sagsforløbet i en personskadesag;Personskade;False;Success
Oversigt over nye domsafgørelser.aspx;Oversigt over nye domsafgørelser.aspx;Oversigt over nye domsafgørelser;Oversigt over nye domsafgørelser ;Personskade;False;Success
Forsikringsaftalelovens § 29, stk. 5.aspx;Forsikringsaftalelovens § 29, stk. 5.aspx;Forældelse;B Verserende sager ;Personskade;False;Success
