OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
c. Strømafbrydelser.aspx;c. Strømafbrydelser.aspx;Hyppige skadeårsager – 5. Regres mod elforsyningsselskaber (stærkstrøm);;Regres;False;Success
c. Sælger af fast ejendom.aspx;c. Sælger af fast ejendom.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);;Regres;False;Success
Startside.aspx;RegresStartside.aspx;Forløbet af en regressag;;Regres;True;Success
i. Lovfortegnelse med forkortelser.aspx;i. Lovfortegnelse med forkortelser.aspx;Overordnet om regres;;Regres;False;Success
b. Hvordan forberedes regreskravet.aspx;b. Hvordan forberedes regreskravet.aspx;Forløbet af en regressag;;Regres;False;Success
g. Forældelse.aspx;g. Forældelse.aspx;Overordnet om regres;;Regres;False;Success
e. Hvem skal jeg spørge, hvis jeg er i tvivl om regressen.aspx;e. Hvem skal jeg spørge, hvis jeg er i tvivl om regressen.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres;False;Success
d. Hvad er Medlemsjuras opgaver i relation til regres - Hvordan overdrages sager til Medlemsjura.aspx;d. Hvad er Medlemsjuras opgaver i relation til regres - Hvordan overdrages sager til Medlemsjura.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres;False;Success
c. Hvad er Regresgruppens opgaver i relation til regres - Hvordan overdrages sager til Regresgruppen.aspx;c. Hvad er Regresgruppens opgaver i relation til regres - Hvordan overdrages sager til Regresgruppen.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres;False;Success
b. Hvad er taksators opgaver i relation til regres.aspx;b. Hvad er taksators opgaver i relation til regres.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres;False;Success
a. Hvad er skadebehandlerens opgaver i relation til regres.aspx;a. Hvad er skadebehandlerens opgaver i relation til regres.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres;False;Success
b. Hvem udarbejder dagsværdiopgørelse.aspx;b. Hvem udarbejder dagsværdiopgørelse.aspx;Erstatningskravet;;Regres;False;Success
a. Nyværdi eller dagsværdi.aspx;a. Nyværdi eller dagsværdi.aspx;Erstatningskravet;;Regres;False;Success
c. Hvad sker der, når sagen overdrages til Medlemsjura.aspx;c. Hvad sker der, når sagen overdrages til Medlemsjura.aspx;Regressager, hvor modpart ikke svarer (inkassosager);;Regres;False;Success
b. Rykkerprocedure og overdragelse til Medlemsjura.aspx;b. Rykkerprocedure og overdragelse til Medlemsjura.aspx;Regressager, hvor modpart ikke svarer (inkassosager);;Regres;False;Success
a. Hvad er en inkassosag.aspx;a. Hvad er en inkassosag.aspx;Regressager, hvor modpart ikke svarer (inkassosager);;Regres;False;Success
f. Arbejdsfordelingen – c. Medlemsjuras rolle.aspx;f. Arbejdsfordelingen – c. Medlemsjuras rolle.aspx;Gerningsmandssager;;Regres;False;Success
f. Arbejdsfordelingen – b. Skadestabs rolle.aspx;f. Arbejdsfordelingen – b. Skadestabs rolle.aspx;Gerningsmandssager;;Regres;False;Success
f. Arbejdsfordelingen – a. Skadebehandler og taksators rolle.aspx;f. Arbejdsfordelingen – a. Skadebehandler og taksators rolle.aspx;Gerningsmandssager;;Regres;False;Success
e. Hvad betyder det at ”få dom for kravet”.aspx;e. Hvad betyder det at ”få dom for kravet”.aspx;Gerningsmandssager;;Regres;False;Success
d. Skal vores krav medtages under staffesagen, eller skal vi anlægge civilt søgsmål.aspx;d. Skal vores krav medtages under staffesagen, eller skal vi anlægge civilt søgsmål.aspx;Gerningsmandssager;;Regres;False;Success
c. Hvad er forskellen på en civil sag og en straffesag.aspx;c. Hvad er forskellen på en civil sag og en straffesag.aspx;Gerningsmandssager;;Regres;False;Success
b. Gør vi regres i gerningsmandssager.aspx;b. Gør vi regres i gerningsmandssager.aspx;Gerningsmandssager;;Regres;False;Success
a. Hvad er en gerningsmandssag.aspx;a. Hvad er en gerningsmandssag.aspx;Gerningsmandssager;;Regres;False;Success
Regres ved forureningsskader.aspx;Regres ved forureningsskader.aspx;Hyppige skadeårsager – 12. Regres ved forureningsskader;;Regres;False;Success
Regres ved skade forvoldt af dyr.aspx;Regres ved skade forvoldt af dyr.aspx;Hyppige skadeårsager – 11. Regres ved skade forvoldt af dyr;;Regres;False;Success
Regres mod flyselskaber (beskadiget og bortkommen bagage).aspx;Regres mod flyselskaber (beskadiget og bortkommen bagage).aspx;Hyppige skadeårsager – 10. Regres mod flyselskaber (beskadiget og bortkommen bagage);;Regres;False;Success
Regres i tilfælde af stormskader.aspx;Regres i tilfælde af stormskader.aspx;Hyppige skadeårsager – 9. Regres i tilfælde af stormskader;;Regres;False;Success
c. Manglende eller mangelfuld glatførebekæmpelse.aspx;c. Manglende eller mangelfuld glatførebekæmpelse.aspx;Hyppige skadeårsager – 8. Regres mod offentlige myndigheder;;Regres;False;Success
b. Huller i vej.aspx;b. Huller i vej.aspx;Hyppige skadeårsager – 8. Regres mod offentlige myndigheder;;Regres;False;Success
