OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
1 Forsikringen dækker - Hvornår er en skade i medlemmets hjem væsentlig.aspx;1 Forsikringen dækker - Hvornår er en skade i medlemmets hjem væsentlig.aspx;5. Hjemkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Afbestilling grundet død eller sygdom hos tidligere ægtefælle.aspx;1. Forsikringen dækker - Afbestilling grundet død eller sygdom hos tidligere ægtefælle.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Afbestilling når alle rejseledsagere afbestiller.aspx;1. Forsikringen dækker - Afbestilling når alle rejseledsagere afbestiller.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Afbestilling når nærmeste familiemedlem ikke bor i Danmark.aspx;1. Forsikringen dækker - Afbestilling når nærmeste familiemedlem ikke bor i Danmark.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Afbestilling ved militærtjeneste.aspx;1. Forsikringen dækker - Afbestilling ved militærtjeneste.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Afbestilling ved misbrug.aspx;1. Forsikringen dækker - Afbestilling ved misbrug.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Autocamper.aspx;1. Forsikringen dækker - Autocamper.aspx;18. Erstatningsbil eller motorcykel;;Rejse;False;Success
1. Forsikringen dækker - Bagage der ikke er indskrevet med medlemmet.aspx;1. Forsikringen dækker - Bagage der ikke er indskrevet med medlemmet.aspx;17. Forsinket bagage;;Rejse;False;Success
1. Forsikringen dækker - Bagageforsinkelse ved mellemlanding.aspx;1. Forsikringen dækker - Bagageforsinkelse ved mellemlanding.aspx;17. Forsinket bagage;;Rejse;False;Success
1. Forsikringen dækker - Bilrejser (Rødt Kort).aspx;1. Forsikringen dækker - Bilrejser (Rødt Kort).aspx;15. Forsinket fremmøde;;Rejse;False;Success
1. Forsikringen dækker - Båd, RV (mobilhome), ATV og scooter.aspx;1. Forsikringen dækker - Båd, RV (mobilhome), ATV og scooter.aspx;19. Selvrisiko på lejebil mv.;;Rejse;False;Success
1. Forsikringen dækker - Denne dækning vs. Rødt Kort.aspx;1. Forsikringen dækker - Denne dækning vs. Rødt Kort.aspx;11. Hjemtransport af bil;;Rejse;False;Success
1. Forsikringen dækker - Dækning når det kun er nærmeste familie til den ene sikrede.aspx;1. Forsikringen dækker - Dækning når det kun er nærmeste familie til den ene sikrede.aspx;5. Hjemkaldelse;;Rejse;False;Success
1. Forsikringen dækker - ekstraudgifter til fx parkering og hundepension.aspx;1. Forsikringen dækker - ekstraudgifter til fx parkering og hundepension.aspx;4. Ekstraudgifter i forbindelse med sygdom eller tilskadekomst ;;Rejse;False;Success
1. Forsikringen dækker - FGA hjemtransport i skisæsonen.aspx;1. Forsikringen dækker - FGA hjemtransport i skisæsonen.aspx;3. Syge- og hjemtransport;;Rejse;False;Success
1. Forsikringen dækker - Forsinket fremmøde til andre transportmidler.aspx;1. Forsikringen dækker - Forsinket fremmøde til andre transportmidler.aspx;15. Forsinket fremmøde;;Rejse;False;Success
1. Forsikringen dækker - Forsinket udstyr.aspx;1. Forsikringen dækker - Forsinket udstyr.aspx;17. Forsinket bagage;;Rejse;False;Success
1. Forsikringen dækker - Genstande der forsvinder i forbindelse med ulykker.aspx;1. Forsikringen dækker - Genstande der forsvinder i forbindelse med ulykker.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
1. Forsikringen dækker - Graviditet og fertilitetsbehandling.aspx;1. Forsikringen dækker - Graviditet og fertilitetsbehandling.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Hjemkald når børnepasser bliver syg.aspx;1. Forsikringen dækker - Hjemkald når børnepasser bliver syg.aspx;5. Hjemkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Hjemkald til nærmeste familie som bor uden for Danmark.aspx;1. Forsikringen dækker - Hjemkald til nærmeste familie som bor uden for Danmark.aspx;5. Hjemkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Hjemkald til tidligere ægtefælle.aspx;1. Forsikringen dækker - Hjemkald til tidligere ægtefælle.aspx;5. Hjemkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Hospitalsindlæggelse.aspx;1. Forsikringen dækker - Hospitalsindlæggelse.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Hvad anses som en skade på ferieboligen.aspx;1. Forsikringen dækker - Hvad anses som en skade på ferieboligen.aspx;20. Skade på feriebolig;;Rejse;False;Success
1. Forsikringen dækker - Hvad er forveksling.aspx;1. Forsikringen dækker - Hvad er forveksling.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
1. Forsikringen dækker - Hvem anses som sikret.aspx;1. Forsikringen dækker - Hvem anses som sikret.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Hvem er dækket.aspx;1. Forsikringen dækker - Hvem er dækket.aspx;15. Forsinket fremmøde;;Rejse;False;Success
1. Forsikringen dækker - Hvilke boliger anses som feriebolig.aspx;1. Forsikringen dækker - Hvilke boliger anses som feriebolig.aspx;20. Skade på feriebolig;;Rejse;False;Success
1. Forsikringen dækker - Hvilke skader dækkes.aspx;1. Forsikringen dækker - Hvilke skader dækkes.aspx;19. Selvrisiko på lejebil mv.;;Rejse;False;Success
1. Forsikringen dækker - Hvis myndigheder ikke har anbefalet evakuering.aspx;1. Forsikringen dækker - Hvis myndigheder ikke har anbefalet evakuering.aspx;14. Evakuering og tilbageholdelse;;Rejse;False;Success
1. Forsikringen dækker - Hvor mange kan komme på tilkald.aspx;1. Forsikringen dækker - Hvor mange kan komme på tilkald.aspx;7. Tilkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Hvordan fortolkes 'efter afrejse'.aspx;1. Forsikringen dækker - Hvordan fortolkes 'efter afrejse'.aspx;15. Forsinket fremmøde;;Rejse;False;Success
1. Forsikringen dækker - Hvornår er almentilstanden sådan at det er urimeligt at rejse.aspx;1. Forsikringen dækker - Hvornår er almentilstanden sådan at det er urimeligt at rejse.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Hvornår er der tale om sygeledsagelse.aspx;1. Forsikringen dækker - Hvornår er der tale om sygeledsagelse.aspx;6. Sygeledsagelse;;Rejse;False;Success
1. Forsikringen dækker - Hvornår er det uforskyldt og uforudseeligt.aspx;1. Forsikringen dækker - Hvornår er det uforskyldt og uforudseeligt.aspx;15. Forsinket fremmøde;;Rejse;False;Success
1. Forsikringen dækker - Inden feriens start.aspx;1. Forsikringen dækker - Inden feriens start.aspx;18. Erstatningsbil eller motorcykel;;Rejse;False;Success
1. Forsikringen dækker - iPhones, iPads og iPods.aspx;1. Forsikringen dækker - iPhones, iPads og iPods.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
1. Forsikringen dækker - Kontakt til vores alarmcentral.aspx;1. Forsikringen dækker - Kontakt til vores alarmcentral.aspx;4. Ekstraudgifter i forbindelse med sygdom eller tilskadekomst;;Rejse;False;Success
1. Forsikringen dækker - Krig, terror, naturkatastrofer mm.aspx;1. Forsikringen dækker - Krig, terror, naturkatastrofer mm.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Medicin i kufferten.aspx;1. Forsikringen dækker - Medicin i kufferten.aspx;17. Forsinket bagage;;Rejse;False;Success
1. Forsikringen dækker - Medrejsende kæledyr.aspx;1. Forsikringen dækker - Medrejsende kæledyr.aspx;3. Syge- og hjemtransport;;Rejse;False;Success
1. Forsikringen dækker - Mistet pas.aspx;1. Forsikringen dækker - Mistet pas.aspx;15. Forsinket fremmøde;;Rejse;False;Success
1. Forsikringen dækker - Motorcykel.aspx;1. Forsikringen dækker - Motorcykel.aspx;11. Hjemtransport af bil;;Rejse;False;Success
1. Forsikringen dækker - Når indrejse frarådes af UM.aspx;1. Forsikringen dækker - Når indrejse frarådes af UM.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Overenskomststridig arbejdsnedlæggelse.aspx;1. Forsikringen dækker - Overenskomststridig arbejdsnedlæggelse.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Overnatning i eller ved lufthavnen.aspx;1. Forsikringen dækker - Overnatning i eller ved lufthavnen.aspx;17. Forsinket bagage;;Rejse;False;Success
1. Forsikringen dækker - Pårørende der var syg ved medlems afrejse.aspx;1. Forsikringen dækker - Pårørende der var syg ved medlems afrejse.aspx;5. Hjemkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Rejsegods der befinder sig i udlandet uden medlemmet.aspx;1. Forsikringen dækker - Rejsegods der befinder sig i udlandet uden medlemmet.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
1. Forsikringen dækker - Rejser af mere end 60 dages varighed.aspx;1. Forsikringen dækker - Rejser af mere end 60 dages varighed.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Returrejse.aspx;1. Forsikringen dækker - Returrejse.aspx;3. Syge- og hjemtransport;;Rejse;False;Success
1. Forsikringen dækker - Rundrejser.aspx;1. Forsikringen dækker - Rundrejser.aspx;15. Forsinket fremmøde;;Rejse;False;Success
1. Forsikringen dækker - Skilsmisse, separation eller samlivsophør.aspx;1. Forsikringen dækker - Skilsmisse, separation eller samlivsophør.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Stormskade i medlemmet hjem.aspx;1. Forsikringen dækker - Stormskade i medlemmet hjem.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Stormskade i medlemmets hjem.aspx;1. Forsikringen dækker - Stormskade i medlemmets hjem.aspx;5. Hjemkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Sygdom opstået efter medlem forlader sin bopæl.aspx;1. Forsikringen dækker - Sygdom opstået efter medlem forlader sin bopæl.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Telefonudgifter.aspx;1. Forsikringen dækker - Telefonudgifter.aspx;17. Forsinket bagage;;Rejse;False;Success
1. Forsikringen dækker - Tilkald af personer som ikke opholder sig i Danmark.aspx;1. Forsikringen dækker - Tilkald af personer som ikke opholder sig i Danmark.aspx;7. Tilkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Tilkald til sikret der ikke er alvorligt syg.aspx;1. Forsikringen dækker - Tilkald til sikret der ikke er alvorligt syg.aspx;7. Tilkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Transportudgifter.aspx;1. Forsikringen dækker - Transportudgifter.aspx;17. Forsinket bagage;;Rejse;False;Success
1. Forsikringen dækker - Tyveri af ferieboligen.aspx;1. Forsikringen dækker - Tyveri af ferieboligen.aspx;20. Skade på feriebolig;;Rejse;False;Success
1. Forsikringen dækker - Tyveri af køretøjet.aspx;1. Forsikringen dækker - Tyveri af køretøjet.aspx;19. Selvrisiko på lejebil mv.;;Rejse;False;Success
1. Forsikringen dækker - Udgifter til andet transportmiddel end bil.aspx;1. Forsikringen dækker - Udgifter til andet transportmiddel end bil.aspx;18. Erstatningsbil eller motorcykel ;;Rejse;False;Success
1. Forsikringen dækker - Udlejningsbil.aspx;1. Forsikringen dækker - Udlejningsbil.aspx;11. Hjemtransport af bil;;Rejse;False;Success
1. Forsikringen dækker - Underforsikring.aspx;1. Forsikringen dækker - Underforsikring.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
1. Forsikringen dækker - Vaccination.aspx;1. Forsikringen dækker - Vaccination.aspx;24. Afbestilling;;Rejse;False;Success
1. Forsikringen dækker - Vurdering skal så vidt muligt foretages af LGA.aspx;1. Forsikringen dækker - Vurdering skal så vidt muligt foretages af LGA.aspx;5. Hjemkaldelse;;Rejse;False;Success
1. Forsikringen dækker - Væggelus i bagagen.aspx;1. Forsikringen dækker - Væggelus i bagagen.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
1. Forsikringen dækker - Ødelagte feridage ved sygeledsagelse.aspx;1. Forsikringen dækker - Ødelagte feridage ved sygeledsagelse.aspx;9. Ødelagte feriedage på grund af akut sygdom eller tilskadekomst og rejseafbrydelse;;Rejse;False;Success
1. Forsikringen dækker - Ødelagte feriedage ved dødsfald.aspx;1. Forsikringen dækker - Ødelagte feriedage ved dødsfald.aspx;9. Ødelagte feriedage på grund af akut sygdom eller tilskadekomst og rejseafbrydelse;;Rejse;False;Success
1. Forsikringen dækker - Ødelagte feriedage ved eneste rejseledsagers sygdom.aspx;1. Forsikringen dækker - Ødelagte feriedage ved eneste rejseledsagers sygdom.aspx;9. Ødelagte feriedage på grund af akut sygdom eller tilskadekomst og rejseafbrydelse ;;Rejse;False;Success
1. Forsikringen dækker - Ødelagte feriedage ved hjemkaldelse.aspx;1. Forsikringen dækker - Ødelagte feriedage ved hjemkaldelse.aspx;9. Ødelagte feriedage på grund af akut sygdom eller tilskadekomst og rejseafbrydelse;;Rejse;False;Success
1. Forsikringen dækker - Ødelagte feriedage ved hjemtransport.aspx;1. Forsikringen dækker - Ødelagte feriedage ved hjemtransport.aspx;9. Ødelagte feriedage på grund af akut sygdom eller tilskadekomst og rejseafbrydelse;;Rejse;False;Success
2. Forsikringen dækker ikke - Afslag ved rejseledsagers sygdom som var til stede ved bestilling.aspx;2. Forsikringen dækker ikke - Afslag ved rejseledsagers sygdom som var til stede ved bestilling.aspx;24. Afbestilling;;Rejse;False;Success
2. Forsikringen dækker ikke - Dårlig emballage eller udflyden af medbragte væsker.aspx;2. Forsikringen dækker ikke - Dårlig emballage eller udflyden af medbragte væsker.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
2. Forsikringen dækker ikke - Forhold man kender til ved køb af forsikringen.aspx;2. Forsikringen dækker ikke - Forhold man kender til ved køb af forsikringen.aspx;24. Afbestilling;;Rejse;False;Success
2. Forsikringen dækker ikke - Forsinkelser sikrede har fået besked om før rejsen.aspx;2. Forsikringen dækker ikke - Forsinkelser sikrede har fået besked om før rejsen.aspx;16. Forsinket transportmiddel;;Rejse;False;Success
2. Forsikringen dækker ikke - Genstande udlånt til elever.aspx;2. Forsikringen dækker ikke - Genstande udlånt til elever.aspx;22. Bagage og Rejsedokumenter;;Rejse;False;Success
2. Forsikringen dækker ikke - Hvordan afgør vi om sygdommen var til stede ved bestilling af rejsen.aspx;2. Forsikringen dækker ikke - Hvordan afgør vi om sygdommen var til stede ved bestilling af rejsen.aspx;24. Afbestilling;;Rejse;False;Success
2. Forsikringen dækker ikke - Hvornår er transfertid ikke overholdt.aspx;2. Forsikringen dækker ikke - Hvornår er transfertid ikke overholdt.aspx;15. Forsinket fremmøde;;Rejse;False;Success
2. Forsikringen dækker ikke - Indbogenstande i autocamper.aspx;2. Forsikringen dækker ikke - Indbogenstande i autocamper.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
2. Forsikringen dækker ikke - konfiskeret bagage.aspx;2. Forsikringen dækker ikke - konfiskeret bagage.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
2. Forsikringen dækker ikke - Konkurs.aspx;2. Forsikringen dækker ikke - Konkurs.aspx;24. Afbestilling;;Rejse;False;Success
2. Forsikringen dækker ikke - Køb af ekstra kuffert.aspx;2. Forsikringen dækker ikke - Køb af ekstra kuffert.aspx;17. Forsinket bagage;;Rejse;False;Success
2. Forsikringen dækker ikke - Medlemmer som er syge ved udrejsen.aspx;2. Forsikringen dækker ikke - Medlemmer som er syge ved udrejsen.aspx;2. Sygdom eller tilskadekomst;;Rejse;False;Success
2. Forsikringen dækker ikke - Medlemmets tabsbegrænsningspligt når rejsen er færdigbetalt.aspx;2. Forsikringen dækker ikke - Medlemmets tabsbegrænsningspligt når rejsen er færdigbetalt.aspx;24. Afbestilling;;Rejse;False;Success
2. Forsikringen dækker ikke - Provokeret abort.aspx;2. Forsikringen dækker ikke - Provokeret abort.aspx;2. Sygdom eller tilskadekomst;;Rejse;False;Success
2. Forsikringen dækker ikke - Rejser som betales i rater og som endnu ikke er færdigbetalt.aspx;2. Forsikringen dækker ikke - Rejser som betales i rater og som endnu ikke er færdigbetalt.aspx;24. Afbestilling;;Rejse;False;Success
2. Forsikringen dækker ikke - Tilbehør til biler.aspx;2. Forsikringen dækker ikke - Tilbehør til biler.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
2. Forsikringen dækker ikke - Ødelagte feriedage ved ændring af rejsen.aspx;2. Forsikringen dækker ikke - Ødelagte feriedage ved ændring af rejsen.aspx;24. Afbestilling;;Rejse;False;Success
2. Forsikrngen dækker ikke - Sikrede var under udredning.aspx;2. Forsikrngen dækker ikke - Sikrede var under udredning.aspx;24. Afbestilling;;Rejse;False;Success
3. Erstatning - Bonuspoint.aspx;3. Erstatning - Bonuspoint.aspx;24. Afbestilling;;Rejse;False;Success
3. Erstatning - Børn under 18 år.aspx;3. Erstatning - Børn under 18 år.aspx;6. Sygeledsagelse;;Rejse;False;Success
3. Erstatning - Cykler.aspx;3. Erstatning - Cykler.aspx;22. Bagage og rejsedokumenter;;Rejse;False;Success
3. Erstatning - Én kuffert med to medlemmers tøj.aspx;3. Erstatning - Én kuffert med to medlemmers tøj.aspx;17. Forsinket bagage;;Rejse;False;Success
3. Erstatning - Erstatning for turistmæssige aktiviteter.aspx;3. Erstatning - Erstatning for turistmæssige aktiviteter.aspx;9. Ødelagte feriedage på grund af akut sygdom eller tilskadekomst og rejseafbrydelse;;Rejse;False;Success
3. Erstatning - Forplejning.aspx;3. Erstatning - Forplejning.aspx;6. Sygeledsagelse;;Rejse;False;Success
3. Erstatning - Fysioterapeut og lignende som ikke er lægeordineret.aspx;3. Erstatning - Fysioterapeut og lignende som ikke er lægeordineret.aspx;2. Sygdom eller tilskadekomst;;Rejse;False;Success
3. Erstatning - Hvad anses som rimelige og nødvendige ekstraudgifter til hjemrejse.aspx;3. Erstatning - Hvad anses som rimelige og nødvendige ekstraudgifter til hjemrejse.aspx;5. Hjemkaldelse;;Rejse;False;Success
3. Erstatning - Hvem får erstatning.aspx;3. Erstatning - Hvem får erstatning.aspx;10. Ødelagte feriedage ved sportsferier og dækning for turistmæssige aktiviteter (vilkår RE-7);;Rejse;False;Success
3. Erstatning - Hvilke udgifter dækkes.aspx;3. Erstatning - Hvilke udgifter dækkes.aspx;15. Forsinket fremmøde;;Rejse;False;Success
3. Erstatning - Hvilke udgifter i relation til rejsen erstattes.aspx;3. Erstatning - Hvilke udgifter i relation til rejsen erstattes.aspx;24. Afbestilling;;Rejse;False;Success
3. Erstatning - Hvis medlem aldrig kommer afsted.aspx;3. Erstatning - Hvis medlem aldrig kommer afsted.aspx;16. Forsinket transportmiddel;;Rejse;False;Success
