OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Vilkårenes § 3, stk. 7 - Straffesager.aspx;Vilkårenes § 3, stk. 7 - Straffesager.aspx;Vilkårenes § 3 - Hvilke tvister er ikke dækket?;;Retshjælp;False;Success
Småsager.aspx;Småsager.aspx;Vilkårenes § 11A - Småsager og anerkendelsessøgsmål ;;Retshjælp;False;Success
Advokatskifte.aspx;Advokatskifte.aspx;Vilkårenes § 11 - valg af advokat;;Retshjælp;False;Success
Vilkårenes § 3, stk. 1 - Erhverv.aspx;Vilkårenes § 3, stk. 1 - Erhverv.aspx;Vilkårenes § 3 - Hvilke tvister er ikke dækket?;;Retshjælp;False;Success
Uerholdelige omkostninger.aspx;Uerholdelige omkostninger.aspx;Forretningsgange ;;Retshjælp;False;Success
Telefonplan.aspx;Telefonplan.aspx;Forretningsgange;;Retshjælp;False;Success
Særlige vilkår - familieforsikring med indbodækning.aspx;Særlige vilkår - familieforsikring med indbodækning.aspx;Vilkårenes § 14 D - Særlige vilkår - familieforsikring med indbodækning ;;Retshjælp;False;Success
Kære af omkostningskendelser.aspx;Kære af omkostningskendelser.aspx;;;Retshjælp;False;Success
Kumulationsaftale.aspx;Kumulationsaftale.aspx;Referater fra diverse udvalg;;Retshjælp;False;Success
§ 8, stk. 2 - Dækningsmaksimum.aspx;§ 8, stk. 2 - Dækningsmaksimum.aspx;Vilkårenes § 8 - Erstatning og selvrisiko ;;Retshjælp;False;Success
Vilkår.aspx;Vilkår.aspx;Vilkår;;Retshjælp;False;Success
Referater BG Retshjælp.aspx;Referater BG Retshjælp.aspx;Referater fra diverse udvalg ;;Retshjælp;False;Success
Dødsboer.aspx;Dødsboer.aspx;Vilkårenes § 1 - Hvem er sikret?;;Retshjælp;False;Success
Wiisebye notat om investering.aspx;Wiisebye notat om investering.aspx;Notater m.m.;;Retshjælp;False;Success
Forside.aspx;Forside.aspx;;;Retshjælp;False;Success
