OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Sanering og Salg.aspx;Sanering og Salg.aspx;Sanering og Salg;;Sanering;False;Success
Sanering og Rådgivning.aspx;Sanering og Rådgivning.aspx;Sanering og Rådgivning;;Sanering;False;Success
Andre sager.aspx;Andre sager.aspx;Kopi af Gl. Saneringshåndbog;;Sanering;False;Success
Arbejdsgang br.30.aspx;Arbejdsgang br.30.aspx;Indboforsikring;;Sanering;False;Success
Rejseforsikring.aspx;Rejseforsikring.aspx;Indboforsikring;;Sanering;False;Success
Forbehold.aspx;Forbehold.aspx;Husforsikring;;Sanering;False;Success
Sanering og Skade.aspx;Sanering og Skade.aspx;Sanering og Skadeafdelingerne;;Sanering;False;Success
Sådan bruges dette bibliotek.aspx;SaneringSådan bruges dette bibliotek.aspx;Test;;Sanering;True;Success
Spiritus og promillekørsel.aspx;Spiritus og promillekørsel.aspx;Bilforsikring;;Sanering;False;Success
Børnebiler.aspx;Børnebiler.aspx;Bilforsikring;;Sanering;False;Success
Formålet med Sanering.aspx;Formålet med Sanering.aspx;Formålet med Sanering;;Sanering;False;Success
Startside.aspx;SaneringStartside.aspx;;;Sanering;True;Success
Saneringsafdeling.aspx;Saneringsafdeling.aspx;Kopi af Gl. Saneringshåndbog;;Sanering;False;Success
Formålet med Saneringshåndbogen.aspx;Formålet med Saneringshåndbogen.aspx;Kopi af Gl. Saneringshåndbog;;Sanering;False;Success
Skade.aspx;Skade.aspx;Kopi af Gl. Saneringshåndbog;;Sanering;False;Success
Police.aspx;Police.aspx;Kopi af Gl. Saneringshåndbog;;Sanering;False;Success
Tegning.aspx;Tegning.aspx;Kopi af Gl. Saneringshåndbog;;Sanering;False;Success
