OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Affugtningsfirmaer i ECB.aspx;Affugtningsfirmaer i ECB.aspx;Bygning (ECB);;ScalePoint;False;Success
Afskrivning og rabat.aspx;Afskrivning og rabat.aspx;Løsøre (ECC);;ScalePoint;False;Success
Afslutning af skade ECB.aspx;Afslutning af skade ECB.aspx;Bygning (ECB);;ScalePoint;False;Success
Besigtigelse, tilbud og godkendelse.aspx;Besigtigelse, tilbud og godkendelse.aspx;Bygning (ECB);;ScalePoint;False;Success
Betalinger over 200.000 kr.aspx;Betalinger over 200.000 kr.aspx;Løsøre (ECC);;ScalePoint;False;Success
Briller.aspx;Briller.aspx;Løsøre (ECC);;ScalePoint;False;Success
Deludbetaling.aspx;Deludbetaling.aspx;Løsøre (ECC);;ScalePoint;False;Success
eGavekortet.aspx;eGavekortet.aspx;Løsøre (ECC);;ScalePoint;False;Success
Erstatning via Scalepoint løsøre når erstatningslinjen er på under 500 kr.aspx;Erstatning via Scalepoint løsøre når erstatningslinjen er på under 500 kr.aspx;Løsøre (ECC);;ScalePoint;False;Success
Erstatningsopgørelser, som ikke indeholder gavekort.aspx;Erstatningsopgørelser, som ikke indeholder gavekort.aspx;Løsøre (ECC);;ScalePoint;False;Success
Forklaring til medlem.aspx;Forklaring til medlem.aspx;Løsøre (ECC);;ScalePoint;False;Success
Gavekort El-giganten.aspx;Gavekort El-giganten.aspx;Løsøre (ECC);;ScalePoint;False;Success
Hjælp.aspx;ScalePointHjælp.aspx;Bygning (ECB);;ScalePoint;True;Success
Hvis du mangler dit kodeord ECB.aspx;Hvis du mangler dit kodeord ECB.aspx;Bygning (ECB);;ScalePoint;False;Success
Hvis du mangler dit kodeord til ECC.aspx;Hvis du mangler dit kodeord til ECC.aspx;Løsøre (ECC);;ScalePoint;False;Success
Hvis SP melder fejl.aspx;Hvis SP melder fejl.aspx;Løsøre (ECC);;ScalePoint;False;Success
Hvor ser eller gensender jeg mails.aspx;Hvor ser eller gensender jeg mails.aspx;Løsøre (ECC);;ScalePoint;False;Success
Hvornår og hvordan bruges SP Løsøre.aspx;Hvornår og hvordan bruges SP Løsøre.aspx;Løsøre (ECC);;ScalePoint;False;Success
Kontakt ved spørgsmål.aspx;Kontakt ved spørgsmål.aspx;Løsøre (ECC);;ScalePoint;False;Success
Leverandøroversigt.aspx;Leverandøroversigt.aspx;Løsøre (ECC);;ScalePoint;False;Success
Manuel oprettelse.aspx;Manuel oprettelse.aspx;Løsøre (ECC);;ScalePoint;False;Success
Matchservice.aspx;Matchservice.aspx;Løsøre (ECC);;ScalePoint;False;Success
Medlem har ingen mail eller ønsker ikke at benytte SP.aspx;Medlem har ingen mail eller ønsker ikke at benytte SP.aspx;Løsøre (ECC);;ScalePoint;False;Success
Opgørelse efter kategori.aspx;Opgørelse efter kategori.aspx;Løsøre (ECC);;ScalePoint;False;Success
Opgørelse i henhold til priser i SP.aspx;Opgørelse i henhold til priser i SP.aspx;Løsøre (ECC);;ScalePoint;False;Success
PDF fil med opgørelse.aspx;PDF fil med opgørelse.aspx;Løsøre (ECC);;ScalePoint;False;Success
Release ECB.aspx;Release ECB.aspx;Bygning (ECB);;ScalePoint;False;Success
Restbeløb i ECC Indbetaling til ECC.aspx;Restbeløb i ECC Indbetaling til ECC.aspx;Løsøre (ECC);;ScalePoint;False;Success
Samarbejde ophørt.aspx;Samarbejde ophørt.aspx;Bygning (ECB);;ScalePoint;False;Success
Scalepoint faktura for vurdering eller reparation.aspx;Scalepoint faktura for vurdering eller reparation.aspx;Løsøre (ECC);;ScalePoint;False;Success
Scalepoint håndværkere.aspx;Scalepoint håndværkere.aspx;Bygning (ECB);;ScalePoint;False;Success
Selvbetjening.aspx;Selvbetjening.aspx;Løsøre (ECC);;ScalePoint;False;Success
Selvrisiko.aspx;ScalePointSelvrisiko.aspx;Løsøre (ECC);;ScalePoint;True;Success
Skabeloner til selvbetjening og afslutning med mail.aspx;Skabeloner til selvbetjening og afslutning med mail.aspx;Løsøre (ECC);;ScalePoint;False;Success
skadeservice.aspx;skadeservice.aspx;Bygning (ECB);;ScalePoint;False;Success
Startside.aspx;ScalePointStartside.aspx;Løsøre (ECC);;ScalePoint;True;Success
test.aspx;test.aspx;Bygning (ECB);;ScalePoint;False;Success
Tilbagetrækning af beløb.aspx;Tilbagetrækning af beløb.aspx;Løsøre (ECC);;ScalePoint;False;Success
Tilkobling af ekstern håndværker.aspx;Tilkobling af ekstern håndværker.aspx;Bygning (ECB);;ScalePoint;False;Success
TV-inspektioner.aspx;TV-inspektioner.aspx;Bygning (ECB);;ScalePoint;False;Success
Underentreprenør til SP håndværker.aspx;Underentreprenør til SP håndværker.aspx;Bygning (ECB);;ScalePoint;False;Success
Valideringsregler.aspx;Valideringsregler.aspx;Løsøre (ECC);;ScalePoint;False;Success
Vi er mærkeloyale.aspx;Vi er mærkeloyale.aspx;Løsøre (ECC);;ScalePoint;False;Success
