OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Bagvagt.aspx;Bagvagt.aspx;FALCK INFO;;Skadeservice;False;Success
FALCK løsøre.aspx;FALCK løsøre.aspx;FALCK INFO;;Skadeservice;False;Success
Falck telefonliste 2017.aspx;Falck telefonliste 2017.aspx;FALCK INFO;;Skadeservice;False;Success
Falck-Priser 2017.aspx;Falck-Priser 2017.aspx;Priser;;Skadeservice;False;Success
FALCK Kampagne.aspx;FALCK Kampagne.aspx;FALCK INFO;;Skadeservice;False;Success
Recover Nordic - Belfor - Skadeservice 24 7.aspx;Recover Nordic - Belfor - Skadeservice 24 7.aspx;Priser;;Skadeservice;False;Success
startside.aspx;startside.aspx;Startside;;Skadeservice;False;Success
Rengøringskit.aspx;Rengøringskit.aspx;Diverse;;Skadeservice;False;Success
Fordeling af skadesager.aspx;Fordeling af skadesager.aspx;FALCK INFO;;Skadeservice;False;Success
FALCK Alarm.aspx;FALCK Alarm.aspx;FALCK INFO;;Skadeservice;False;Success
FUGATO.aspx;FUGATO.aspx;Skadeservicefirmaer OBS;;Skadeservice;False;Success
