OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
A conto udbetalinger.aspx;A conto udbetalinger.aspx;Redning og bevaring og akutte tiltag;;Skybrudsmanual;False;Success
Affugtning.aspx;Affugtning.aspx;Redning og bevaring og akutte tiltag;Akutte tiltag;Skybrudsmanual;False;Success
Afskrivning.aspx;SkybrudsmanualAfskrivning.aspx;Erstatning;;Skybrudsmanual;True;Success
Afskrivningstabel indbo.aspx;Afskrivningstabel indbo.aspx;Erstatning;Indbo;Skybrudsmanual;False;Success
Arkivering af billeder på en sag.aspx;Arkivering af billeder på en sag.aspx;Systemet;;Skybrudsmanual;False;Success
Beredskabsplan.aspx;SkybrudsmanualBeredskabsplan.aspx;Praktik;;Skybrudsmanual;True;Success
Bortskaffelse af beskadigede genstande.aspx;Bortskaffelse af beskadigede genstande.aspx;Redning og bevaring og akutte tiltag;Akutte tiltag;Skybrudsmanual;False;Success
Bygning.aspx;Bygning.aspx;Forsikrede genstande;;Skybrudsmanual;False;Success
Bygninger under opførelse, om- eller tilbygning.aspx;Bygninger under opførelse, om- eller tilbygning.aspx;Er skaden dækket;;Skybrudsmanual;False;Success
Bygningstilbehør af organisk materiale.aspx;Bygningstilbehør af organisk materiale.aspx;Erstatning;;Skybrudsmanual;False;Success
Bøger.aspx;Bøger.aspx;Erstatning;Indbo;Skybrudsmanual;False;Success
Cd, dvd og lp'er.aspx;Cd, dvd og lp'er.aspx;Erstatning;Indbo;Skybrudsmanual;False;Success
Dobbeltforsikring.aspx;Dobbeltforsikring.aspx;Erstatning;;Skybrudsmanual;False;Success
Dokumentation.aspx;SkybrudsmanualDokumentation.aspx;Erstatning;Indbo;Skybrudsmanual;True;Success
Dybfrost.aspx;Dybfrost.aspx;Forsikrede genstande;Indbo;Skybrudsmanual;False;Success
Eget arbejde.aspx;SkybrudsmanualEget arbejde.aspx;Udbedring;Bygning;Skybrudsmanual;True;Success
Erhverv.aspx;Erhverv.aspx;Forsikrede genstande;Indbo;Skybrudsmanual;False;Success
Falck Bolighjælp.aspx;Falck Bolighjælp.aspx;Redning og bevaring og akutte tiltag;;Skybrudsmanual;False;Success
FAQ.aspx;FAQ.aspx;Praktik;;Skybrudsmanual;False;Success
Fare for helbred.aspx;Fare for helbred.aspx;Redning og bevaring og akutte tiltag;Redning og bevaring;Skybrudsmanual;False;Success
Forbeholdsbreve.aspx;Forbeholdsbreve.aspx;Praktik;Sanering;Skybrudsmanual;False;Success
Fotos.aspx;Fotos.aspx;Erstatning;Indbo;Skybrudsmanual;False;Success
Genhusning.aspx;SkybrudsmanualGenhusning.aspx;Redning og bevaring og akutte tiltag;Akutte tiltag;Skybrudsmanual;True;Success
Genstande uden for bygning.aspx;Genstande uden for bygning.aspx;Forsikrede genstande;Indbo;Skybrudsmanual;False;Success
Hjælp.aspx;SkybrudsmanualHjælp.aspx;Praktik;;Skybrudsmanual;True;Success
Højvandslukkere.aspx;Højvandslukkere.aspx;Praktik;Bygning;Skybrudsmanual;False;Success
Håndværkere.aspx;Håndværkere.aspx;Udbedring;Bygning;Skybrudsmanual;False;Success
Indbo.aspx;Indbo.aspx;Forsikrede genstande;;Skybrudsmanual;False;Success
Indbovilkårenes afsnit 11. Vandskade.aspx;Indbovilkårenes afsnit 11. Vandskade.aspx;Er skaden dækket;;Skybrudsmanual;False;Success
Klager.aspx;Klager.aspx;Praktik;;Skybrudsmanual;False;Success
Kontanterstatning.aspx;SkybrudsmanualKontanterstatning.aspx;Erstatning;Bygning;Skybrudsmanual;True;Success
Lyn contra elskade på indbo+.aspx;Lyn contra elskade på indbo+.aspx;Er skaden dækket;Selvrisiko-statistikkoder-reserver;Skybrudsmanual;False;Success
Mails.aspx;Mails.aspx;Praktik;Øvrige oplysninger;Skybrudsmanual;False;Success
Møbler - reparation.aspx;Møbler - reparation.aspx;Erstatning;Indbo;Skybrudsmanual;False;Success
Naturlige åbninger.aspx;Naturlige åbninger.aspx;Er skaden dækket;Er skaden dækket;Skybrudsmanual;False;Success
Opmagasinerede genstande.aspx;Opmagasinerede genstande.aspx;Forsikrede genstande;;Skybrudsmanual;False;Success
Opmagasinering når medlem bor i lejlighed.aspx;Opmagasinering når medlem bor i lejlighed.aspx;Redning og bevaring og akutte tiltag;Akutte tiltag;Skybrudsmanual;False;Success
Opringning.aspx;Opringning.aspx;Praktik;;Skybrudsmanual;False;Success
Personrelaterede sager.aspx;Personrelaterede sager.aspx;Praktik;;Skybrudsmanual;False;Success
Priser på bygningsdele.aspx;Priser på bygningsdele.aspx;Erstatning;Bygning;Skybrudsmanual;False;Success
Redning - hvad kan og skal man gøre.aspx;Redning - hvad kan og skal man gøre.aspx;Redning og bevaring og akutte tiltag;Redning og bevaring;Skybrudsmanual;False;Success
Redning-bevaring eller skadeudgift.aspx;Redning-bevaring eller skadeudgift.aspx;Redning og bevaring og akutte tiltag;Redning og bevaring;Skybrudsmanual;False;Success
Rejseafbestilling.aspx;Rejseafbestilling.aspx;Følgeudgifter;Øvrige oplysninger;Skybrudsmanual;False;Success
Reserver.aspx;Reserver.aspx;Systemet;Selvrisiko-statistikkoder-reserver;Skybrudsmanual;False;Success
Rotter.aspx;Rotter.aspx;Er skaden dækket;Akutte tiltag;Skybrudsmanual;False;Success
Sanering.aspx;Sanering.aspx;Praktik;;Skybrudsmanual;False;Success
Selvrisiko.aspx;SkybrudsmanualSelvrisiko.aspx;Erstatning;Selvrisiko-statistikkoder-reserver;Skybrudsmanual;True;Success
Selvrisiko-Statistikkoder-Reserver.aspx;Selvrisiko-Statistikkoder-Reserver.aspx;Systemet;;Skybrudsmanual;False;Success
Skader forvoldt af håndværkere.aspx;Skader forvoldt af håndværkere.aspx;Udbedring;;Skybrudsmanual;False;Success
Skadeservicefirmaer.aspx;Skadeservicefirmaer.aspx;Redning og bevaring og akutte tiltag;Akutte tiltag;Skybrudsmanual;False;Success
Skimmel på bygning.aspx;Skimmel på bygning.aspx;Er skaden dækket;Indbo;Skybrudsmanual;False;Success
Skimmel på indbo.aspx;Skimmel på indbo.aspx;Er skaden dækket;;Skybrudsmanual;False;Success
Skybrud.aspx;SkybrudsmanualSkybrud.aspx;Er skaden dækket;Er skaden dækket;Skybrudsmanual;True;Success
Sporer i luften.aspx;Sporer i luften.aspx;Redning og bevaring og akutte tiltag;Akutte tiltag;Skybrudsmanual;False;Success
Startside.aspx;SkybrudsmanualStartside.aspx;;;Skybrudsmanual;True;Success
Statistikkoder.aspx;SkybrudsmanualStatistikkoder.aspx;Systemet;Selvrisiko-statistikkoder-reserver;Skybrudsmanual;True;Success
Strømforbrug.aspx;Strømforbrug.aspx;Erstatning;Redning og bevaring;Skybrudsmanual;False;Success
Tabsbegrænsningspligt.aspx;Tabsbegrænsningspligt.aspx;Redning og bevaring og akutte tiltag;Redning og bevaring;Skybrudsmanual;False;Success
Tøjvask.aspx;Tøjvask.aspx;Redning og bevaring og akutte tiltag;Redning og bevaring;Skybrudsmanual;False;Success
Udbetalinger.aspx;SkybrudsmanualUdbetalinger.aspx;Erstatning;;Skybrudsmanual;True;Success
Vin.aspx;Vin.aspx;Erstatning;Indbo;Skybrudsmanual;False;Success
