OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
ERFA-møde, Stormrådet.aspx;ERFA-møde, Stormrådet.aspx;;;Stormflod;False;Success
Stormbasen.aspx;Stormbasen.aspx;;;Stormflod;False;Success
Fakturering.aspx;Fakturering.aspx;;;Stormflod;False;Success
Kontakt Stormrådet.aspx;Kontakt Stormrådet.aspx;;;Stormflod;False;Success
Startside.aspx;StormflodStartside.aspx;;;Stormflod;True;Success
Info til skadebehandlere og personaleledere.aspx;Info til skadebehandlere og personaleledere.aspx;;;Stormflod;False;Success
Hvem behandler Stormflodsskader i LB.aspx;Hvem behandler Stormflodsskader i LB.aspx;;;Stormflod;False;Success
Skadebehandling.aspx;StormflodSkadebehandling.aspx;;;Stormflod;True;Success
Meddelelse om stormflod.aspx;Meddelelse om stormflod.aspx;;;Stormflod;False;Success
Kort om Stormrådet.aspx;Kort om Stormrådet.aspx;;;Stormflod;False;Success
