OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Afdækning - Bygning og indbo.aspx;Afdækning - Bygning og indbo.aspx;Redning og bevaring;;StormManual;False;Success
Afskrivning - Bygning.aspx;Afskrivning - Bygning.aspx;Erstatning;;StormManual;False;Success
Areal - Bygning.aspx;Areal - Bygning.aspx;Forsikrede genstande;;StormManual;False;Success
Arkivering af billeder - Bygning og Indbo.aspx;Arkivering af billeder - Bygning og Indbo.aspx;Systemet;;StormManual;False;Success
Beredskabsplan.aspx;StormManualBeredskabsplan.aspx;Praktik;;StormManual;True;Success
Betaling af regninger - Bygning.aspx;Betaling af regninger - Bygning.aspx;Erstatning;;StormManual;False;Success
Brochure - Bygning.aspx;Brochure - Bygning.aspx;Praktik;;StormManual;False;Success
Byggefejl, fejlkonstruktion, fejlmontering, underdimensionering mv - Bygning.aspx;Byggefejl, fejlkonstruktion, fejlmontering, underdimensionering mv - Bygning.aspx;Er skaden dækket;;StormManual;False;Success
Bygningsskadehåndbogen om storm - Bygning.aspx;Bygningsskadehåndbogen om storm - Bygning.aspx;Er skaden dækket;;StormManual;False;Success
Carporte - Bygning.aspx;Carporte - Bygning.aspx;Forsikrede genstande;;StormManual;False;Success
Drivhuse - Bygning.aspx;Drivhuse - Bygning.aspx;Forsikrede genstande;;StormManual;False;Success
Eget arbejde - Bygning og Indbo.aspx;Eget arbejde - Bygning og Indbo.aspx;Erstatning;;StormManual;False;Success
Falck Bolighjælp - Bygning.aspx;Falck Bolighjælp - Bygning.aspx;Praktik;;StormManual;False;Success
Flagstænger - Bygning.aspx;Flagstænger - Bygning.aspx;Forsikrede genstande;;StormManual;False;Success
Fygesne - Bygning og indbo.aspx;Fygesne - Bygning og indbo.aspx;Er skaden dækket;;StormManual;False;Success
Genhusning - Bygning.aspx;Genhusning - Bygning.aspx;Følgeudgifter;;StormManual;False;Success
Grov uagtsomhed - Bygning.aspx;Grov uagtsomhed - Bygning.aspx;Er skaden dækket;;StormManual;False;Success
Gyngestativer - Bygning og indbo.aspx;Gyngestativer - Bygning og indbo.aspx;Forsikrede genstande;;StormManual;False;Success
Haveanlæg - Bygning.aspx;Haveanlæg - Bygning.aspx;Forsikrede genstande;;StormManual;False;Success
Havelamper - Bygning.aspx;Havelamper - Bygning.aspx;Forsikrede genstande;;StormManual;False;Success
Hegn og stakitter - Bygning.aspx;Hegn og stakitter - Bygning.aspx;Forsikrede genstande;;StormManual;False;Success
Husplus afsnit 14 - Bygning.aspx;Husplus afsnit 14 - Bygning.aspx;Er skaden dækket;;StormManual;False;Success
Indbogenstande - Indbo.aspx;Indbogenstande - Indbo.aspx;Forsikrede genstande;;StormManual;False;Success
Indboskadehåndbogen om storm - Indbo.aspx;Indboskadehåndbogen om storm - Indbo.aspx;Er skaden dækket;;StormManual;False;Success
Klager - Bygning og indbo.aspx;Klager - Bygning og indbo.aspx;Praktik;;StormManual;False;Success
Knækkede grene - Bygning.aspx;Knækkede grene - Bygning.aspx;Er skaden dækket;;StormManual;False;Success
