FileName;OriginalHyperLink;NewHyperLink;CoincidencePrefix
Sanering - Forbehold på policen.aspx;/policehaandbog/bg0/Sider/Arkiv_Bg0_Saneringshåndbogen.aspx;http://intranet.lb.dk/policehaandbog/bg0/Sider/Arkiv_Bg0_Saneringshåndbogen.aspx;
Tyveri fra autocamper.aspx;/policehaandbog/bg1/Sider/bg1_bil_antagelse_autocamper_indbo.aspx;http://intranet.lb.dk/policehaandbog/bg1/Sider/bg1_bil_antagelse_autocamper_indbo.aspx;
IndboKørestole.aspx;/policehaandbog/bg1/Sider/bg1_Skema-for-atypiske-køretøjer.aspx;/policehaandbog/bg1/Sider/bg1_Skema-for-atypiske-køretøjer.aspx;
Dækning på 2 adresser.aspx;/policehaandbog/bg3/Sider/bg3_Dækning-på-2-adresser-(behov-over-12-måneder.aspx;http://intranet.lb.dk/policehaandbog/bg3/Sider/bg3_Dækning-på-2-adresser-(behov-over-12-måneder.aspx;
Ældre forsikringsvilkår.aspx;/Sider/vilkaar.aspx;http://intranet.lb.dk/Sider/vilkaar.aspx;
Udbetaling af erstatning ved samlivsophør - skilsmisse - udeboende børn - Dødsfald (Boet efter).aspx;/Skade/hb/ansvarNY/SitePages/Afskrivning%20i%20skadelidtes%20krav.aspx;/SitePages/Afskrivning%20i%20skadelidtes%20krav.aspx;Ansvar
IndboForældelse.aspx;/Skade/hb/ansvarNY/SitePages/Forældelse.aspx;/SitePages/Forældelse.aspx;Ansvar
Boligbyt - hærværk i boligen.aspx;/Skade/hb/ansvarNY/SitePages/Skade%20på%20feriebolig.aspx;/SitePages/Skade%20på%20feriebolig.aspx;Ansvar
Dokumentation - hvornår beder vi om dokumentation.aspx;/Skade/hb/byg/SitePages/Kontanterstatning.aspx;/SitePages/Kontanterstatning.aspx;Bygning
Når der sker skade i forbindelse med udbedring af en skade.aspx;/Skade/hb/byg/SitePages/Reklamation.aspx;/SitePages/Reklamation.aspx;Bygning
Udtørringsskade efter affugtning.aspx;/Skade/hb/byg/SitePages/Reklamation.aspx;/SitePages/Reklamation.aspx;Bygning
Selvrisiko - En skade en selvrisiko.aspx;/Skade/hb/DGS/Delte%20dokumenter/Selvrisikoberegner.xlsx;/DGS/Selvrisikoberegner.xlsx;DGS
IndboSikker post.aspx;/Skade/hb/DGS/SiteAssets/SitePages/Sikker%20post/Politikredsenes%20mailadresser.docx;/DGS/Politikredsenes%20mailadresser.docx;DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;/Skade/hb/DGS/SitePages/Afdragsordninger.aspx;/SitePages/Afdragsordninger.aspx;DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;/Skade/hb/DGS/SitePages/Erstatning%20-%20Afskrivningstabel.aspx;/SitePages/Erstatning%20-%20Afskrivningstabel.aspx;DGS
Drivhus og væksthus på lejet grund, ved andelsboliger og embedsboliger.aspx;/Skade/hb/DGS/SitePages/Erstatning%20-%20Erstatning%20for%20drivhuse%20når%20medlem%20har%20tegnet%20tillægsdækning%20for%20drivhuse%20på%20indboforsikringen.aspx;/SitePages/Erstatning%20-%20Erstatning%20for%20drivhuse%20når%20medlem%20har%20tegnet%20tillægsdækning%20for%20drivhuse%20på%20indboforsikringen.aspx;DGS
IndboSkybrud.aspx;/Skade/hb/DGS/SitePages/Erstatning%20-%20Opgørelse%20af%20skybrudsskader.aspx;/SitePages/Erstatning%20-%20Opgørelse%20af%20skybrudsskader.aspx;DGS
Modtagelse af domme til brug for inddrivelse af penge, vi er tilkendt ad rettens vej.aspx;/Skade/hb/DGS/SitePages/Gerningsmandssager%20-%20Forretningsgang%20for%20gerningsmandssager.aspx;/SitePages/Gerningsmandssager%20-%20Forretningsgang%20for%20gerningsmandssager.aspx;DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;/Skade/hb/DGS/SitePages/Regres%20-%20Opkrævning%20af%20medlems%20selvrisikobeløb%20i%20regressager.aspx;/SitePages/Regres%20-%20Opkrævning%20af%20medlems%20selvrisikobeløb%20i%20regressager.aspx;DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;/Skade/hb/DGS/SitePages/Selvrisiko%20-%20En%20skade%20-%20en%20selvrisiko.aspx;/SitePages/Selvrisiko%20-%20En%20skade%20-%20en%20selvrisiko.aspx;DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;/Skade/hb/DGS/SitePages/Selvrisiko%20-%20Opkrævning%20af%20selvrisiko.aspx;/SitePages/Selvrisiko%20-%20Opkrævning%20af%20selvrisiko.aspx;DGS
Skadearter, statistikkoder og omfangskoder.aspx;/Skade/hb/DGS/SitePages/Statistikkode%20008.aspx;/SitePages/Statistikkode%20008.aspx;DGS
Skadearter, statistikkoder og omfangskoder.aspx;/Skade/hb/GenerelSkadepolitik/Lists/Strre%20Skadebegivenheder%20reas/AllItems.aspx;/Skade/hb/GenerelSkadepolitik/Lists/Strre%20Skadebegivenheder%20reas/AllItems.aspx;GenerelSkadepolitik
Krav - Debitorarter ved oprettelse af krav i skadeportalen.aspx;/Skade/hb/GenerelSkadepolitik/Sider/default.aspx;/Skade/hb/GenerelSkadepolitik/Sider/default.aspx;GenerelSkadepolitik
Krav - Oprettelse af skadeprovenue.aspx;/Skade/hb/GenerelSkadepolitik/Sider/default.aspx;/Skade/hb/GenerelSkadepolitik/Sider/default.aspx;GenerelSkadepolitik
Risiko - Indberetning af faktiske og mulige tab.aspx;/Skade/hb/GenerelSkadepolitik/Sider/Risikoindberetning-og-risikomedarbejdere.aspx;/Skade/hb/GenerelSkadepolitik/Sider/Risikoindberetning-og-risikomedarbejdere.aspx;GenerelSkadepolitik
IndboMedarbejdersager.aspx;/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx;/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx;GenerelSkadepolitik
Hundesyge - Behandling af hundesyge.aspx;/Skade/hb/hund/SitePages/Selvrisiko%20og%20maksimumdækninger.aspx;/SitePages/Selvrisiko%20og%20maksimumdækninger.aspx;Hund
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;/Skade/hb/indbo/Delte%20dokumenter/Alder%20på%20IPhone%20og%20Samsung%20Galaxy.docx;/Indbo/Alder%20på%20IPhone%20og%20Samsung%20Galaxy.docx;Indbo
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;/Skade/hb/indbo/Delte%20dokumenter/Arepa%20til%20vurdering%20af%20elektronikskader.docx;/Indbo/Arepa%20til%20vurdering%20af%20elektronikskader.docx;Indbo
Arepa.aspx;/Skade/hb/indbo/Delte%20dokumenter/Arepa%20til%20vurdering%20af%20elektronikskader.docx;/Indbo/Arepa%20til%20vurdering%20af%20elektronikskader.docx;Indbo
Mails - Autoarkivering af mails uden kode.aspx;/Skade/hb/indbo/Delte%20dokumenter/Auto-arkivering%20af%20sendte%20mails%20powerpoint.pptx;/Indbo/Auto-arkivering%20af%20sendte%20mails%20powerpoint.pptx;Indbo
Dækning af rejsegods.aspx;/Skade/hb/indbo/Delte%20dokumenter/Behandling%20af%20rejsegodsskader%20i%20henhold%20til%20Indbovilkår%2033-5%20(2).docx;/Indbo/Behandling%20af%20rejsegodsskader%20i%20henhold%20til%20Indbovilkår%2033-5%20(2).docx;Indbo
Pludselig skade - Bortkomst eller beskadigelse.aspx;/Skade/hb/indbo/Delte%20dokumenter/Bortkomst%20eller%20beskadigelse.docx;/Indbo/Bortkomst%20eller%20beskadigelse.docx;Indbo
Selvrisiko - Rykkerbreve vedrørende manglende indbetaling af selvrisikobeløb.aspx;/Skade/hb/indbo/Delte%20dokumenter/Brev%20vedrørende%20opkrævning.docx;/Indbo/Brev%20vedrørende%20opkrævning.docx;Indbo
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;/Skade/hb/indbo/Delte%20dokumenter/Dette%20brev.docx;/Indbo/Dette%20brev.docx;Indbo
Beregning af dobbeltforsikringskrav fra elektronikforsikringer, når rester er fratrukket i kravet.aspx;/Skade/hb/indbo/Delte%20dokumenter/Dobbeltforsikringsberegner.xlsx;/Indbo/Dobbeltforsikringsberegner.xlsx;Indbo
Opgørelse af dobbeltlforsikringskrav - Hvilke udgifter indgår i et dobbeltforsikringskrav.aspx;/Skade/hb/indbo/Delte%20dokumenter/Dobbeltforsikringsberegner.xlsx;/Indbo/Dobbeltforsikringsberegner.xlsx;Indbo
Dokumentation - hvornår beder vi om dokumentation.aspx;/Skade/hb/indbo/Delte%20dokumenter/Dokumentation%20-%20Spørgsmål%20til%20medlem.docx;/Indbo/Dokumentation%20-%20Spørgsmål%20til%20medlem.docx;Indbo
IndboDokumentation.aspx;/Skade/hb/indbo/Delte%20dokumenter/Dokumentation%20-%20spørgsmål%20til%20medlem.docx;/Indbo/Dokumentation%20-%20spørgsmål%20til%20medlem.docx;Indbo
Ankenævnskendelser vedrørende glemte, tabte og forlagte genstande.aspx;/Skade/hb/indbo/Delte%20dokumenter/Dom%20af%2022.%20september%202017%20mod%20Codan%20-%20Silikone%20urrem%20dommen.pdf;/Indbo/Dom%20af%2022.%20september%202017%20mod%20Codan%20-%20Silikone%20urrem%20dommen.pdf;Indbo
Ankenævnskendelser vedrørende ran - gerningsøjeblikket og bemærket særlige omstændigheder.aspx;/Skade/hb/indbo/Delte%20dokumenter/Dom%20af%2022.%20september%202017%20mod%20Codan%20-%20Silikone%20urrem%20dommen.pdf;/Indbo/Dom%20af%2022.%20september%202017%20mod%20Codan%20-%20Silikone%20urrem%20dommen.pdf;Indbo
IndboForældelse.aspx;/Skade/hb/indbo/Delte%20dokumenter/Dom%20om%20forældelse.pdf;/Indbo/Dom%20om%20forældelse.pdf;Indbo
Beregning af dobbeltforsikringskrav fra elektronikforsikringer, når rester er fratrukket i kravet.aspx;/Skade/hb/indbo/Delte%20dokumenter/Eksempel%20på%20beregning%20af%20dobbeltforsikringskrav%20når%20rester%20er%20fratrukket%20i%20kravet.docx;/Indbo/Eksempel%20på%20beregning%20af%20dobbeltforsikringskrav%20når%20rester%20er%20fratrukket%20i%20kravet.docx;Indbo
Indlæg fra Peter Fynbo - Falske faktura.aspx;/Skade/hb/indbo/Delte%20dokumenter/faktura.jpg;/Indbo/faktura.jpg;Indbo
Feriehus eller ferielejlighed – Indbrudstyveri ikke krav om voldeligt opbrud.aspx;/Skade/hb/indbo/Delte%20dokumenter/ferieboliger.docx;/Indbo/ferieboliger.docx;Indbo
Behandling af stormskader.aspx;/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx;/Indbo/Flere%20dækninger%20for%201%20skadeårsag.docx;Indbo
Behandling af stormskader.aspx;/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx;/Indbo/Flere%20dækninger%20for%201%20skadeårsag.docx;Indbo
Undtagelsesbestemmelsen - Forsikringen dækker ikke skade der er dækket eller undtaget andetsteds i forsikringen.aspx;/Skade/hb/indbo/Delte%20dokumenter/Flere%20dækninger%20for%201%20skadeårsag.docx;/Indbo/Flere%20dækninger%20for%201%20skadeårsag.docx;Indbo
Sanering - Forbehold på policen.aspx;/Skade/hb/indbo/Delte%20dokumenter/Forbeholdsbreve%20-%20Forretningsgang.docx;/Indbo/Forbeholdsbreve%20-%20Forretningsgang.docx;Indbo
Iphones - Garanti - Reklamation - Reparation - Ombytning.aspx;/Skade/hb/indbo/Delte%20dokumenter/Forbrugerombudsmandens%20vejledning.doc;/Indbo/Forbrugerombudsmandens%20vejledning.doc;Indbo
Mentech.aspx;/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brug%20af%20Mentech.pptx;/Indbo/Forretningsgang%20for%20brug%20af%20Mentech.pptx;Indbo
Arepa.aspx;/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brugen%20af%20Arepa.pptx;/Indbo/Forretningsgang%20for%20brugen%20af%20Arepa.pptx;Indbo
Scalepoint til bygningsskader.aspx;/Skade/hb/indbo/Delte%20dokumenter/Forretningsgang%20for%20brugen%20af%20Arepa.pptx;/Indbo/Forretningsgang%20for%20brugen%20af%20Arepa.pptx;Indbo
Mail - Skriftlig kommunikation med medlem.aspx;/Skade/hb/indbo/Delte%20dokumenter/Guide%20til%20brevskrivning%20i%20AS400.docx;/Indbo/Guide%20til%20brevskrivning%20i%20AS400.docx;Indbo
Gulvbelægning - indbo eller bygning.aspx;/Skade/hb/indbo/Delte%20dokumenter/Gulvbelægning%20indbo%20eller%20bygning.pdf;/Indbo/Gulvbelægning%20indbo%20eller%20bygning.pdf;Indbo
Søgning på hjemmesider.aspx;/Skade/hb/indbo/Delte%20dokumenter/hjemmeside.PNG;/Indbo/hjemmeside.PNG;Indbo
Ankenævnskendelser vedrørende tøbrud.aspx;/Skade/hb/indbo/Delte%20dokumenter/Højesterets%20dom%20vedrørende%20tøbrud.pdf;/Indbo/Højesterets%20dom%20vedrørende%20tøbrud.pdf;Indbo
Sanering - Forbehold på policen.aspx;/Skade/hb/indbo/Delte%20dokumenter/Indbobrev%20om%20skadeforløb.docx;/Indbo/Indbobrev%20om%20skadeforløb.docx;Indbo
Sanering - Forbehold på policen.aspx;/Skade/hb/indbo/Delte%20dokumenter/Klausulliste.png;/Indbo/Klausulliste.png;Indbo
Erstatning - Smykker - Anker-, Bismark-, Panser- og Geneveguldkæder.aspx;/Skade/hb/indbo/Delte%20dokumenter/Kædevarer%20fra%20fabrikken%20BNH.pdf;/Indbo/Kædevarer%20fra%20fabrikken%20BNH.pdf;Indbo
Mentech.aspx;/Skade/hb/indbo/Delte%20dokumenter/Mentech%20-%20Væskeskadet%20pc%20-%20Techsave%20rensning.docx;/Indbo/Mentech%20-%20Væskeskadet%20pc%20-%20Techsave%20rensning.docx;Indbo
Iphones - Garanti - Reklamation - Reparation - Ombytning.aspx;/Skade/hb/indbo/Delte%20dokumenter/Notat%20om%20købegarantiens%20dækningspligt.doc;/Indbo/Notat%20om%20købegarantiens%20dækningspligt.doc;Indbo
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;/Skade/hb/indbo/Delte%20dokumenter/Oprettelse%20af%20dagbog%20på%20Apple%20produkter.docx;/Indbo/Oprettelse%20af%20dagbog%20på%20Apple%20produkter.docx;Indbo
Sikret personkreds.aspx;/Skade/hb/indbo/Delte%20dokumenter/oversigt%20over%20sikret%20personkreds.jpg;/Indbo/oversigt%20over%20sikret%20personkreds.jpg;Indbo
Indbovilkår 33-4 eller Indbovilkår 33-5.aspx;/Skade/hb/indbo/Delte%20dokumenter/Policeudklip%20vedrørende%20gældende%20vilkår.docx;/Indbo/Policeudklip%20vedrørende%20gældende%20vilkår.docx;Indbo
Politikredse.aspx;/Skade/hb/indbo/Delte%20dokumenter/Politioversigt.xls;/Indbo/Politioversigt.xls;Indbo
Postnumre inddeling for Indbotaksator på Sjælland.aspx;/Skade/hb/indbo/Delte%20dokumenter/Postnummer%20fordeling%20sjælland.png;/Indbo/Postnummer%20fordeling%20sjælland.png;Indbo
Indbrud - Behandling af bygningsskader ved indbrud.aspx;/Skade/hb/indbo/Delte%20dokumenter/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;/Indbo/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;Indbo
Scalepoint til bygningsskader.aspx;/Skade/hb/indbo/Delte%20dokumenter/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;/Indbo/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;Indbo
Takseringsfaktura - Betaling af takseringsfaktura.aspx;/Skade/hb/indbo/Delte%20dokumenter/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;/Indbo/Procedure%20for%20betaling%20af%20takseringsfaktura.docx;Indbo
