FileName;OriginalHyperLink;NewHyperLink;CoincidencePrefix
Boligbyt - hærværk i boligen.aspx;"href=""/Skade/hb/ansvarNY/SitePages/Skade%20på%20feriebolig.aspx""";"href=""/SitePages/Skade%20på%20feriebolig.aspx""";Ansvar
Boligbyt - hærværk i boligen.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20hærværk%20begået%20af%20personer%20med%20lovlig%20adgang.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20hærværk%20begået%20af%20personer%20med%20lovlig%20adgang.aspx""";Indbo
Boligbyt - hærværk i boligen.aspx;"href=""/Skade/hb/indbo/SitePages/Simpelt%20tyveri%20fra%20udlånt%20bolig%20-%20boligbyt%20-%20Airbnb.aspx""";"href=""/SitePages/Simpelt%20tyveri%20fra%20udlånt%20bolig%20-%20boligbyt%20-%20Airbnb.aspx""";Indbo
Dokumentation - hvornår beder vi om dokumentation.aspx;"href=""/Skade/hb/byg/SitePages/Kontanterstatning.aspx""";"href=""/SitePages/Kontanterstatning.aspx""";Bygning
Dokumentation - hvornår beder vi om dokumentation.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Dokumentation%20-%20Spørgsmål%20til%20medlem.docx""";"href=""/Indbo/Dokumentation%20-%20Spørgsmål%20til%20medlem.docx""";Indbo
Dokumentation - hvornår beder vi om dokumentation.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Søgning%20på%20serienummer.docx""";"href=""/Indbo/Søgning%20på%20serienummer.docx""";Indbo
Dokumentation - hvornår beder vi om dokumentation.aspx;"href=""/Skade/hb/indbo/SitePages/Dokumentation.aspx""";"href=""/SitePages/Dokumentation.aspx""";Indbo
IndboAdvokatomkostninger.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20advokatomkostninger.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20advokatomkostninger.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Afskrivning%20-%20briller%20og%20solbriller.aspx""";"href=""/SitePages/Afskrivning%20-%20briller%20og%20solbriller.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Afskrivning%20på%20bådmotorer%20og%20gummibåde.aspx""";"href=""/SitePages/Afskrivning%20på%20bådmotorer%20og%20gummibåde.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Afskrivningstabel.aspx""";"href=""/SitePages/Afskrivningstabel.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/CykelPLUS-%20Statistikkoder%20og%20stelnummer.aspx""";"href=""/SitePages/CykelPLUS-%20Statistikkoder%20og%20stelnummer.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Elektriske%20musikinstrumenter.aspx""";"href=""/SitePages/Elektriske%20musikinstrumenter.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Reparation%20af%20cykler.aspx""";"href=""/SitePages/Reparation%20af%20cykler.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Afskrivning%20-%20briller%20og%20solbriller.aspx""";"href=""/SitePages/Afskrivning%20-%20briller%20og%20solbriller.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Afskrivning%20på%20bådmotorer%20og%20gummibåde.aspx""";"href=""/SitePages/Afskrivning%20på%20bådmotorer%20og%20gummibåde.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Afskrivningstabel.aspx""";"href=""/SitePages/Afskrivningstabel.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/CykelPLUS-%20Statistikkoder%20og%20stelnummer.aspx""";"href=""/SitePages/CykelPLUS-%20Statistikkoder%20og%20stelnummer.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Elektriske%20musikinstrumenter.aspx""";"href=""/SitePages/Elektriske%20musikinstrumenter.aspx""";Indbo
IndboAfskrivning.aspx;"href=""/Skade/hb/indbo/SitePages/Reparation%20af%20cykler.aspx""";"href=""/SitePages/Reparation%20af%20cykler.aspx""";Indbo
IndboDokumentation.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Dokumentation%20-%20spørgsmål%20til%20medlem.docx""";"href=""/Indbo/Dokumentation%20-%20spørgsmål%20til%20medlem.docx""";Indbo
IndboDokumentation.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20dokumentation%20for%20erstatningskravet.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20dokumentation%20for%20erstatningskravet.aspx""";Indbo
IndboDokumentation.aspx;"href=""/Skade/hb/indbo/SitePages/Designertøj%20og%20tasker,%20herunder%20ægte%20-%20uægte%20varer%20-%20kopivarer.aspx""";"href=""/SitePages/Designertøj%20og%20tasker,%20herunder%20ægte%20-%20uægte%20varer%20-%20kopivarer.aspx""";Indbo
IndboDokumentation.aspx;"href=""/Skade/hb/indbo/SitePages/Dokumentation%20for%20kontanter.aspx""";"href=""/SitePages/Dokumentation%20for%20kontanter.aspx""";Indbo
IndboFareforøgelse.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20fareforøgelse.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20fareforøgelse.aspx""";Indbo
IndboForældelse.aspx;"href=""/Skade/hb/ansvarNY/SitePages/Forældelse.aspx""";"href=""/SitePages/Forældelse.aspx""";Ansvar
IndboForældelse.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Dom%20om%20forældelse.pdf""";"href=""/Indbo/Dom%20om%20forældelse.pdf""";Indbo
IndboForældelse.aspx;"href=""/Skade/hb/indbo/SitePages/Forældelsesreglerne%20vist%20i%20forskellige%20eksempler.aspx""";"href=""/SitePages/Forældelsesreglerne%20vist%20i%20forskellige%20eksempler.aspx""";Indbo
IndboForældelse.aspx;"href=""/Skade/hb/reg/SitePages/Forældelse.aspx""";"href=""/SitePages/Forældelse.aspx""";Regres
IndboKlageprocedure.aspx;"href=""/Skade/hb/indbo/SitePages/Besvarelse%20i%20klagesager.aspx""";"href=""/SitePages/Besvarelse%20i%20klagesager.aspx""";Indbo
IndboKlageprocedure.aspx;"href=""/Skade/hb/indbo/SitePages/Fremsendelse%20af%20Ankenævnskendelser.aspx""";"href=""/SitePages/Fremsendelse%20af%20Ankenævnskendelser.aspx""";Indbo
IndboListe over politikredse.aspx;"href=""/Skade/hb/indbo/SitePages/Sikker%20post.aspx""";"href=""/SitePages/Sikker%20post.aspx""";Indbo
IndboRegres - Forældrehæftelse.aspx;"href=""/Skade/hb/indbo/SitePages/Incassosager.aspx""";"href=""/SitePages/Incassosager.aspx""";Indbo
IndboRegres - Forældrehæftelse.aspx;"href=""/Skade/hb/indbo/SitePages/Modtagelse%20af%20domme%20til%20brug%20for%20inddrivelse%20af%20penge,%20vi%20er%20tilkendt%20ad%20rettens%20vej.aspx""";"href=""/SitePages/Modtagelse%20af%20domme%20til%20brug%20for%20inddrivelse%20af%20penge,%20vi%20er%20tilkendt%20ad%20rettens%20vej.aspx""";Indbo
IndboRegres - Forældrehæftelse.aspx;"href=""/Skade/hb/indbo/SitePages/Regres%20-%20Hvornår%20gør%20vi%20regres.aspx""";"href=""/SitePages/Regres%20-%20Hvornår%20gør%20vi%20regres.aspx""";Indbo
IndboReserveafsættelse.aspx;"href=""/Skade/hb/indbo/SitePages/Reserveafsættelse%20i%20skadesager%20som%20forventes%20at%20komme%20til%20at%20koste%20over%201,5%20mio.aspx""";"href=""/SitePages/Reserveafsættelse%20i%20skadesager%20som%20forventes%20at%20komme%20til%20at%20koste%20over%201,5%20mio.aspx""";Indbo
IndboSikker post.aspx;"href=""/Skade/hb/DGS/SiteAssets/SitePages/Sikker%20post/Politikredsenes%20mailadresser.docx""";"href=""/DGS/Politikredsenes%20mailadresser.docx""";DGS
IndboSikker post.aspx;"href=""/Skade/skadesektionen/SitePages/Forretningsgang%20for%20sikker%20post.aspx""";"href=""/SitePages/Forretningsgang%20for%20sikker%20post.aspx""";
IndboSkybrud.aspx;"href=""/Skade/hb/DGS/SitePages/Erstatning%20-%20Opgørelse%20af%20skybrudsskader.aspx""";"href=""/SitePages/Erstatning%20-%20Opgørelse%20af%20skybrudsskader.aspx""";DGS
IndboSkybrud.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Skybrudsdækning%20-%20Vandskadedækning%20lejer%20-%20Vandskadedækning%20ejer%20med%20HusPlus.docx""";"href=""/Indbo/Skybrudsdækning%20-%20Vandskadedækning%20lejer%20-%20Vandskadedækning%20ejer%20med%20HusPlus.docx""";Indbo
IndboSkybrud.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Skybrudsguide%20gældende%20fra%2030.6.16.pdf""";"href=""/Indbo/Skybrudsguide%20gældende%20fra%2030.6.16.pdf""";Indbo
IndboSkybrud.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20skybrud.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20skybrud.aspx""";Indbo
IndboSkybrud.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20skybrud.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20skybrud.aspx""";Indbo
IndboSkybrud.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20skybrud.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20skybrud.aspx""";Indbo
IndboSkybrud.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20skybrud.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20skybrud.aspx""";Indbo
IndboSkybrud.aspx;"href=""/Skade/hb/indbo/SitePages/Opstigende%20grundvand%20på%20lejeres%20forsikrede%20ting.aspx""";"href=""/SitePages/Opstigende%20grundvand%20på%20lejeres%20forsikrede%20ting.aspx""";Indbo
IndboSpabad.aspx;"href=""/Skade/hb/indbo/SitePages/Dansk%20Respo-teknik.aspx""";"href=""/SitePages/Dansk%20Respo-teknik.aspx""";Indbo
IndboTøbrud.aspx;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20tøbrud.aspx""";"href=""/SitePages/Ankenævnskendelser%20vedrørende%20tøbrud.aspx""";Indbo
IndboTøbrud.aspx;"href=""/Skade/hb/indbo/SitePages/Opstigende%20grundvand%20på%20lejeres%20forsikrede%20ting.aspx""";"href=""/SitePages/Opstigende%20grundvand%20på%20lejeres%20forsikrede%20ting.aspx""";Indbo
IndboUndersøgelsesudgifter.aspx;"href=""/Skade/hb/indbo/SitePages/Værdiforringelseserstatning%20-%2050%20procent%20regel.aspx""";"href=""/SitePages/Værdiforringelseserstatning%20-%2050%20procent%20regel.aspx""";Indbo
Maks. dækning for cykler.aspx;"href=""/Skade/hb/indbo/SitePages/CykelPLUS-%20Statistikkoder%20og%20stelnummer.aspx""";"href=""/SitePages/CykelPLUS-%20Statistikkoder%20og%20stelnummer.aspx""";Indbo
Maks. dækning for cykler.aspx;"href=""/Skade/hb/indbo/SitePages/Cykeltrailer.aspx""";"href=""/SitePages/Cykeltrailer.aspx""";Indbo
Maks. dækning for cykler.aspx;"href=""/Skade/hb/indbo/SitePages/Cykler%20-%20Brugte%20og%20renoverede.aspx""";"href=""/SitePages/Cykler%20-%20Brugte%20og%20renoverede.aspx""";Indbo
