FileName;OriginalHyperLink;NewHyperLink;CoincidencePrefix
4. Dokumentation - Bagageidentifikation.aspx;/Skade/hb/RejseNY/SiteAssets/SitePages/4.%20Dokumentation%20-%20Bagageidentifikation/Bagageidentifikation.doc;/Rejse/4.%20Dokumentation%20-%20Bagageidentifikation/Bagageidentifikation.doc;Rejse
4. Dokumentation - Skema til identifikation af bagagetyper.aspx;/Skade/hb/rejse/Documents/bagageidentifikation.doc;/Rejse/4.%20Dokumentation%20-%20Bagageidentifikation/Bagageidentifikation.doc;Rejse
Erklæringer og brevskabeloner - Brilleerklæring.aspx;/Skade/hb/RejseNY/Delte%20dokumenter/Brilleerklæring.pdf;/Rejse/Brilleerklæring.pdf;Rejse
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;/Skade/hb/RejseNY/Delte%20dokumenter/Diagnoseliste%20gamle%20vilkår%2022.10.2017.docx;/Rejse/Diagnoseliste%20gamle%20vilkår%2022.10.2017.docx;Rejse
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;/Skade/hb/RejseNY/Delte%20dokumenter/Diagnoseliste%20nye%20vilkår%2022.10.2017.docx;/Rejse/Diagnoseliste%20nye%20vilkår%2022.10.2017.docx;Rejse
Erklæringer og brevskabeloner - Skema til beregning af rejsens pris ved ødelagte feriedage.aspx;/Skade/hb/RejseNY/SiteAssets/SitePages/Erklæringer%20og%20brevskabeloner%20-%20Elektronisk%20skema%20til%20beregning%20af%20rejsens%20pris%20ved%20ødelagte%20feriedage/skadeopgørelsesblanket_rejse.pdf;/Rejse/Erklæringer%20og%20brevskabeloner%20-%20Elektronisk%20skema%20til%20beregning%20af%20rejsens%20pris%20ved%20ødelagte%20feriedage/skadeopgørelsesblanket_rejse.pdf;Rejse
Erstatning - Skema til beregning af erstatningsrejse.aspx;/Skade/hb/RejseNY/SiteAssets/SitePages/Erstatning%20-%20Skema%20til%20beregning%20af%20erstatningsrejse/Skema%20til%20beregning%20af%20feriedage.xlsx;/Rejse/Erstatning%20-%20Skema%20til%20beregning%20af%20erstatningsrejse/Skema%20til%20beregning%20af%20feriedage.xlsx;Rejse
Falck LGA - Betaling af Falck regninger.aspx;/Skade/hb/RejseNY/SiteAssets/SitePages/Falck%20LGA%20-%20Betaling%20af%20Falck%20regninger/FGA%20fakturabetaling.docx;/Rejse/Falck%20LGA%20-%20Betaling%20af%20Falck%20regninger/FGA%20fakturabetaling.docx;Rejse
Falck LGA - Forkortelser.aspx;/Skade/hb/RejseNY/SiteAssets/SitePages/Falck%20LGA%20-%20Forkortelser/FGA%20forkortelser.pdf;/Rejse/Falck%20LGA%20-%20Forkortelser/FGA%20forkortelser.pdf;Rejse
Forretningsgange og retningslinier - Håndbog for kvalitetsspørgsmål.aspx;/Skade/hb/RejseNY/SiteAssets/SitePages/Forretningsgange%20og%20retningslinier%20-%20Håndbog%20for%20kvalitetsspørgsmål/Kvalitetsspørgsmål%20med%20retningslinjer.xlsx;/Rejse/Forretningsgange%20og%20retningslinier%20-%20Håndbog%20for%20kvalitetsspørgsmål/Kvalitetsspørgsmål%20med%20retningslinjer.xlsx;Rejse
Lister - Forsikringer på kreditkort.aspx;/Skade/hb/RejseNY/Delte%20dokumenter/Mastercard%20dækningsoversigt.xlsx;/Rejse/Mastercard%20dækningsoversigt.xlsx;Rejse
Kort om Nordisk Konvention.aspx;/Skade/hb/rejse/Documents/Norden_-_Rejsesygesirking_-_Rejseforsikring.doc;/Rejse/Norden_-_Rejsesygesirking_-_Rejseforsikring.doc;Rejse
Forretningsgange og retningslinier - Risikovurdering eller sanering.aspx;/Skade/hb/rejse/PublishingImages/Roadshow%20rejseskade.pptx;/Rejse/Roadshow%20rejseskade.pptx;Rejse
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20AFBEST%20RE7.docx;/Rejse/Spørgsmål%20til%20lægen%20AFBEST%20RE7.docx;Rejse
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20AFBEST%20RE8.docx;/Rejse/Spørgsmål%20til%20lægen%20AFBEST%20RE8.docx;Rejse
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20Hjemkald.docx;/Rejse/Spørgsmål%20til%20lægen%20Hjemkald.docx;Rejse
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20Hjemtransp.docx;/Rejse/Spørgsmål%20til%20lægen%20Hjemtransp.docx;Rejse
