Filnavn;Gruppe;Undergruppe;Branche
Startside.aspx;;;Bygning
Hvem er sikret.aspx;Afsnit 1.B: Hvem er sikret;Hvem er sikret;Bygning
Hvor dækker forsikringen.aspx;Afsnit 1.C: Hvor dækkes;Hvor dækker forsikringen;Bygning
Udhuse, redskabsskure, drivhuse mm - antal m2.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
Drivhuse - Sokler.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
Nedgravede svømmebasssiner.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
Nedstøbte hegn og stakitter.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
træterrasse - veranda.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
Legehuse.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
Legetårne.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
Glaspavillon, havehus, lysthus, orangeri.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
Overdækninger på terrasser, til brænde, havemøbler, barnevogne mm.aspx;Afsnit 1.G.a: Ejendommens bygninger;Forsikrede genstande;Bygning
Spabad.aspx;Afsnit 1.G.b: Glas og Sanitet;Forsikrede genstande;Bygning
Vask i køkken, bryggers mm.aspx;Afsnit 1.G.b: Glas og Sanitet ;Forsikrede genstande;Bygning
El ledninger.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Fjernvarmerør.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Telefon- og antennekabler.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Jordvarmeanlæg.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Vandledninger til nedgravede svømmebassiner.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Stophane.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Vacuumventil.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Brønde.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Fællesledning.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Udendørs vandhane og kabler til havelamper.aspx;Afsnit 1.G.c: Kabler og rør;Forsikrede genstande;Bygning
Fritstående radiator.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Gulvbelægning i kælder.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Gyngestativer.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Postkasser.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Hårde hvidevare.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Solvarmeanlæg.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Tyverialarm.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Udendørs køkken.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Udendørs spabade.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Radioamatørantenne.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Nyindkøbt bygningstilbehør - ikke fastmonteret.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Eswa strålevarmeloft.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Indbygget kaffemaskine.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Solcelleanlæg.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Stiger og stilladser.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Bade- og bådebroer.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Olietanke.aspx;Afsnit 1.G.d: Bygningstilbehør;Forsikrede genstande;Bygning
Laminatgulve og Linoleumsgulve.aspx;Afsnit 1.G.d: Bygningstilbehør ;Forsikrede genstande;Bygning
Onduline tage.aspx;Afsnit 1.G.d: Bygningstilbehør ;Forsikrede genstande;Bygning
Emhætte.aspx;Afsnit 1.G.d: Bygningstilbehør ;Forsikrede genstande;Bygning
Kunstnerisk udsmykning.aspx;Afsnit 1.G.f: Kunstnerisk udsmykning;Forsikrede genstande;Bygning
Følgeskade på haveanlæg.aspx;Afsnit 1.G.g: Haveanlæg;Forsikrede genstande;Bygning
Træer.aspx;Afsnit 1.G.g: Haveanlæg;Forsikrede genstande;Bygning
Skjulte rør og kabler.aspx;Afsnit 10: skjulte rør og kabler;Afsnit 10: Skjulte rør og kabler;Bygning
Reemaljering af gulvafløb.aspx;Afsnit 10: skjulte rør og kabler;;Bygning
Multiseal.aspx;Afsnit 10: skjulte rør og kabler ;;Bygning
Råd og Svamp.aspx;Afsnit 11: Råd og Svamp;Afsnit 11: Råd og Svamp;Bygning
Ægte hussvamp i murværk.aspx;Afsnit 11: Råd og Svamp;Afsnit 11: Råd og Svamp;Bygning
Insekter.aspx;Afsnit 12: Insekter;Insekter;Bygning
Brand.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning
Svideskade.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, Lynnedslg og eksplosion m.v.;Bygning
Pludselig tilsodning.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, Lynnedslag og eksplosion m.v.;Bygning
Lyn.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning
Eksplosion.aspx;Afsnit 2: Brand, lynnedslag og eksplosion mv.;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning
El-skade.aspx;Afsnit 3: El-skade;Kolonne 3: El-skade;Bygning
Tyveri.aspx;Afsnit 4: Tyveri og hærværk;Afsnit 4.: tyveri - hærværk;Bygning
Hærværk.aspx;Afsnit 4: Tyveri og hærværk;Afsnit 4: tyveri og hærværk;Bygning
Tyveri begået mens boligen var udlånt eller udlejet - Boligbyt.aspx;Afsnit 4: Tyveri og hærværk ;Afsnit 4: Tyveri og hærværk ;Bygning
Udstrømning af væsker.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Afsnit 5. Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning
Frostsprængning.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Kolonne 5. Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning
Opstigning af grund-og kloakvand.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Afsnit 5: Udstrømning af væsker (vandskade) og Frostsprængning af rør;Bygning
Frostsprængning i sommerhuse.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Afsnit 5 Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning
Brud på naboers stikledninger.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Afsnit 5: Udstrømning af væsker (vandskade) og Frostsprængning af rør;Bygning
Frostsprængning af rør i uopvarmede loft og skunkrum samt hulmure og krybekældre.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør ;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør ;Bygning
Udgifter til optøning af rør.aspx;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør ;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør ;Bygning
Storm.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky-og tøbrud - snetryk;Bygning
Skybrud.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Tøbrud.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Kolonne 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Snetryk.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky-og tøbrud - snetryk;Bygning
Snefygning.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Skade på bygninger under opførelse, om- eller tilbygning.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;voldsomt sky- og tøbrud - snetryk;Bygning
Vandindtrængning som følge af stormskader.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Manglende fundering.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk ;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Muret eller støbt sokkel eller sokkelsten.aspx;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk ;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
Pludselig skade.aspx;Afsnit 7: Pludselig skade;Afsnit 7: Pludselig skade;Bygning
Tørkogning - Sodskader.aspx;Afsnit 7: Pludselig skade;Afsnit 7: Pludselig skade;Bygning
Asbestslam - asbeststøv.aspx;Afsnit 7: Pludselig skade;Afsnit 7: Pludselig skade;Bygning
Blæseskader - markiser - åbne vinduer og døre.aspx;Afsnit 7: Pludselig skade;Afsnit 7: Pludselig skade;Bygning
Markiser - Kraftig regn.aspx;Afsnit 7: Pludselig skade;Afsnit 7: pludselig skade;Bygning
Psykisk syge - pluselige skader - hærværk.aspx;Afsnit 7: Pludselig skade;;Bygning
Glas og Sanitet.aspx;Afsnit 8: Glas og sanitet;Afsnit 8: Glas og sanitet;Bygning
Ridser, afspringning af fliser samt punktering sket ved indbrud, storm, voldstomt tø- eller skybrud og snetryk.aspx;Afsnit 8: Glas og sanitet;;Bygning
Brud på sanitet.aspx;Afsnit 8: Glas og sanitet ;;Bygning
Stikledninger.aspx;Afsnit 9: Stikledninger;Afsnit 9: Stikledninger;Bygning
Ankenævnskendelse identifikation.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse blivende plads.aspx;Ankenævnskendelse;Afsnit 4. Tyveri - hærværk;Bygning
Ankenævnskendelse udstrømning af væsker.aspx;Ankenævnskendelse;Kolonne 5. Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning
Ankenævnskendelse manglende vedligeholdelse.aspx;Ankenævnskendelse;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk, Afsnit 7: Pludselig skade, Afsnit 11: Råd/Svamp, Afsnit 12: Insekter;Bygning
Ankenævnskendelse fællesledning.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning
Ankenævnskendelse spabad.aspx;Ankenævnskendelse;Afsnit 1.G.b: Glas og sanitet;Bygning
Ankenævnskendelse el-drevne genstande.aspx;Ankenævnskendelse;Afsnit 3: El-skade;Bygning
Ankenævnskendelse hærværk.aspx;Ankenævnskendelse;Afsnit 4: Tyveri og hærværk;Bygning
Ankenævnskendelse stige.aspx;Ankenævnskendelse;Afsnit 1.G.d: Bygningstilbehør;Bygning
Ankenævnskendelse stillads.aspx;Ankenævnskendelse;Afsnit 1.G.d: Bygningstilbehør;Bygning
Ankenævnskendelse - større maskiner.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Ankenævnskendelse - damp.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Ankenævnskendelse grundvandssænkning.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Ankenævnskendelse ombygning.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Ankenævnskendelse spild af væsker.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Ankenævnskendelse faldskader.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Ankenævnskendelse dyr.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Ankenævnskendelse grov uagtsomhed - stikledning.aspx;Ankenævnskendelse;Afsnit 9. Stikledninger;Bygning
Ankenævnskendelse renovering.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse skjulte rør.aspx;Ankenævnskendelse;Afsnit 10: Skjulte rør og kabler;Bygning
Ankenævnskendelse grov uagtsomhed - brand.aspx;Ankenævnskendelse ;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning
Ankenævnskendelse synligt rør.aspx;Ankenævnskendelse;Afsnit 10: Skjulte rør og kabler;Bygning
Ankenævnskendelse stikledning - i brønd.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning
Ankenævnskendelse stikledning - gulvafløb.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning
Ankenævnskendelse stikledning - stophane.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning
Ankenævnskendelse stikledning - død ledning.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning
Ankenævnskendelse Lovliggørelse.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse Fritstående radiator.aspx;Ankenævnskendelse ;Afsnit 1.G.d: Bygningstilbehør. Afsnit 4: Tyveri og hærværk;Bygning
Ankenævnskendelse havebassin.aspx;Ankenævnskendelse;Afsnit 1.G.g: Haveanlæg;Bygning
Ankenævnskendelse tilsodning fra olielampe.aspx;Ankenævnskendelse;Afsnit 2: Brand, lynnedslag og eksplosion m.v.;Bygning
Ankenævnskendelse åben ild i gryde.aspx;Ankenævnskendelse;Afsnit 2: Brand, lynnedslag og eksplosion m.v;Bygning
Ankenævnskendelse frostsprængning.aspx;Ankenævnskendelse;Afsnit 5: Udstrømning af væsker (vandskade) og frostsprængning af rør;Bygning
Ankenævnskendelse skybrud.aspx;Ankenævnskendelse;Afsnit 6: Storm - voldsomt sky-og tøbrud - snetryk;Bygning
Ankenævnskendelse kosmetisk skade.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse regres mod byggesagkyndig.aspx;Ankenævnskendelse ;Afsnit 11: Råd og Svamp og Afsnit 12: Insekter;Bygning
Ankenævnskendelse svamp i stråtag.aspx;Ankenævnskendelse;Afsnit 11: Råd og Svamp;Bygning
Ankenævnskendelse Advokatbistand - Arkitektbistand.aspx;Ankenævnskendelse;Advokatbistand - Arkitektbistand;Bygning
Ankenævnskendelse anvendte materialer dyrere end de beskadigede.aspx;Ankenævnskendelse;Erstatningens størrelse - FAL 39 og Afsnit 1.H: Nyværdi i vilkårene;Bygning
Ankenævnskendelse dokumentation.aspx;Ankenævnskendelse ;Dokumentation;Bygning
Ankenævnskendelse reklamation.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse vandafgift.aspx;Ankenævnskendelse;Afsnit 4: Tyveri og hærværk - følgeskade;Bygning
Ankenævnskendelse vådrumssikring - vådrumsmembran.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger og 10 Skjulte rør og Kabler;Bygning
Ankenævnskendelse skimmelsvamp.aspx;Ankenævnskendelse;Afsnit 11: Råd og Svamp;Bygning
Ankenævnskendelse kunstnerisk udsmykning.aspx;Ankenævnskendelse ;Række f: Kunstnerisk udsmykning;Bygning
Dom vedrørende dagsværdierstatning for sommerhus.aspx;Ankenævnskendelse;Afskrivning - sommerhusvilkår;Bygning
Ankenævnskendelse følgeskade efter brand.aspx;Ankenævnskendelse;Brand;Bygning
Ankenævnskendelse forbehold og opsigelser.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse svamp i flagstang.aspx;Ankenævnskendelse;Afsnit 11: Råd ogSvamp;Bygning
Ankenævnskendelse konkurrerende skadeårsager.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse daglig brug, ridser, skrammer.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Opstigning af grund- og kloakvand.aspx;Ankenævnskendelse;Afsnit 5: Udstrømning af væsker (vandskade) og Frostsprængning af rør;Bygning
Ankenævnskendelse dækning på forsikringsstedet.aspx;Ankenævnskendelse;Afsnit 9: Stikledninger;Bygning
Ankenævnskendelse fareforøgelse.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse - sætning og tæring.aspx;Ankenævnskendelse;Afsnit 7 Pludselig skade;Bygning
Ankenævnskendelse - vaskemaskine vælter.aspx;Ankenævnskendelse;Afsnit 7. Pludselig skade;Bygning
Ankenævnskendelse bygningstilbehør.aspx;Ankenævnskendelse;Alle dækninger;Bygning
Ankenævnskendelse eget arbejde.aspx;Ankenævnskendelse ;Alle dækninger;Bygning
Ankenævnskendelse bygninger.aspx;Ankenævnskendelse;;Bygning
Ankenævnskendelser vedrørende manglende vedligeholdelse i forbindelse med stormskader.aspx;Ankenævnskendelse;Vilkårenes afsnit 6. Storm;Bygning
Ankenævnskendelse - beholder falder ned fra væg.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning
Ankenævnskendelser vedrørende vandindtræning under storm.aspx;Ankenævnskendelse;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning
