Filnavn;Gruppe;Undergruppe;Branche
Skade forvoldt af ukendte og uforsikrede hunde.aspx;Forretningsgang;;Hund
Forebyggende behandling - kronisk sygdomsbrev.aspx;Forretningsgang ;;Hund
Allergivacciner.aspx;Erstatningsopgørelse;;Hund
Behandlingsperiode på 120 dage.aspx;Erstatningsopgørelse;;Hund
Behandling i det nye forsikringsår.aspx;Erstatningsopgørelse;;Hund
Alternative behandlinger - akupunktur mv.aspx;Erstatningsopgørelse;;Hund
Selvrisiko og maksimumdækninger.aspx;Erstatningsopgørelse;;Hund
Dækning på færøerne.aspx;Forretningsgang;;Hund
Kejsersnit.aspx;Sygdom;;Hund
Kikkertundersøgelse er det en undersøgelsesudgift eller en behandlingsudgift.aspx;Erstatningsopgørelse;;Hund
Karenstid.aspx;Erstatningsopgørelse;;Hund
Behandling af anmeldelser på hundesygedækningen.aspx;Forretningsgang;;Hund
Tjenestehunde.aspx;Forretningsgang ;;Hund
Mælkekirtler, mammatumores og andre knuder.aspx;Sygdom;;Hund
Maksdækning og fradrag af selvrisiko.aspx;Forretningsgang;;Hund
Laboratorieprøver.aspx;Erstatningsopgørelse;;Hund
Dyrlæger i udlandet.aspx;Forretningsgang;;Hund
Startside.aspx;Erstatningsopgørelse;;Hund
Dysplasi.aspx;Sygdom;;Hund
Brystkræft - Sterilisation - Fjernelse af livmoder.aspx;Sygdom;;Hund
Røntgenoptagelser.aspx;Erstatningsopgørelse;;Hund
Betaling af regninger fra Søren Karstensen for konsulentbistand.aspx;Forretningsgang;;Hund
Dyrlægekonsulent Søren Karstensen.aspx;Forretningsgang;;Hund
Dominansproblemer.aspx;Sygdom;;Hund
Kastration.aspx;Sygdom;;Hund
Ankenævnskendelse vedrørende sygdom opstået før forsikringen trådte i kraft.aspx;Ankenævnskendelser ;;Hund
Skadedato.aspx;Forretningsgang;;Hund
Regres.aspx;Forretningsgang;;Hund
Aflivning.aspx;Erstatningsopgørelse;;Hund
Tandskade.aspx;Tilskadekomst;;Hund
Sterilisation.aspx;Sygdom;;Hund
Hundesygeforsikringens varighed.aspx;Forretningsgang;;Hund
Guldimplantater.aspx;Erstatningsopgørelse;;Hund
Anmeldelse af sygdomme og tilskadekomster hos hunden.aspx;Forretningsgang;;Hund
Hvornår beder vi om supplerende oplysninger.aspx;Forretningsgang;;Hund
Registrering af hyposensibilisering - allergivaccinationer.aspx;Forretningsgang;;Hund
Forbehold på policen ved kronisk sygdom.aspx;Forretningsgang;;Hund
Definition af forsikringsår.aspx;Erstatningsopgørelse;;Hund
Hund ikke vaccineret.aspx;Sygdom;;Hund
Diagnoser - Latinske ord oversat til dansk.aspx;Erstatningsopgørelse;;Hund
Ankenævnskendelse vedrørende sterilisation.aspx;Ankenævnskendelser;;Hund
Tegning af hundesygedækning.aspx;Forretningsgang;;Hund
Hundeansvar mellem 2 medlemmer.aspx;Forretningsgang;;Hund
Kryptorkisme.aspx;Sygdom;;Hund
Medarbejdersager.aspx;Forretningsgang;;Hund
Digital billedarkivering.aspx;Erstatningsopgørelse;;Hund
Skab.aspx;Sygdom;;Hund
Recepter og ekspeditionsgebyr.aspx;Erstatningsopgørelse;;Hund
Sårspray.aspx;Erstatningsopgørelse;;Hund
Halskrave.aspx;Erstatningsopgørelse;;Hund
Medicinske betegnelser for udleveret medicin.aspx;Erstatningsopgørelse;;Hund
Forbindingsmateriale.aspx;Erstatningsopgørelse;;Hund
Hund sluger genstand.aspx;Tilskadekomst;;Hund
