Filnavn;Gruppe;Undergruppe;Branche
1 Forsikringen dækker - Hvornår er en skade i medlemmets hjem væsentlig.aspx;5. Hjemkaldelse;;Rejse
1. Forsikringen dækker - Afbestilling grundet død eller sygdom hos tidligere ægtefælle.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Afbestilling når alle rejseledsagere afbestiller.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Afbestilling når nærmeste familiemedlem ikke bor i Danmark.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Afbestilling ved militærtjeneste.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Afbestilling ved misbrug.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Autocamper.aspx;18. Erstatningsbil eller motorcykel;;Rejse
1. Forsikringen dækker - Bagage der ikke er indskrevet med medlemmet.aspx;17. Forsinket bagage;;Rejse
1. Forsikringen dækker - Bagageforsinkelse ved mellemlanding.aspx;17. Forsinket bagage;;Rejse
1. Forsikringen dækker - Bilrejser (Rødt Kort).aspx;15. Forsinket fremmøde;;Rejse
1. Forsikringen dækker - Båd, RV (mobilhome), ATV og scooter.aspx;19. Selvrisiko på lejebil mv.;;Rejse
1. Forsikringen dækker - Denne dækning vs. Rødt Kort.aspx;11. Hjemtransport af bil;;Rejse
1. Forsikringen dækker - Dækning når det kun er nærmeste familie til den ene sikrede.aspx;5. Hjemkaldelse;;Rejse
1. Forsikringen dækker - ekstraudgifter til fx parkering og hundepension.aspx;4. Ekstraudgifter i forbindelse med sygdom eller tilskadekomst ;;Rejse
1. Forsikringen dækker - FGA hjemtransport i skisæsonen.aspx;3. Syge- og hjemtransport;;Rejse
1. Forsikringen dækker - Forsinket fremmøde til andre transportmidler.aspx;15. Forsinket fremmøde;;Rejse
1. Forsikringen dækker - Forsinket udstyr.aspx;17. Forsinket bagage;;Rejse
1. Forsikringen dækker - Genstande der forsvinder i forbindelse med ulykker.aspx;22. Bagage og rejsedokumenter;;Rejse
1. Forsikringen dækker - Graviditet og fertilitetsbehandling.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Hjemkald når børnepasser bliver syg.aspx;5. Hjemkaldelse;;Rejse
1. Forsikringen dækker - Hjemkald til nærmeste familie som bor uden for Danmark.aspx;5. Hjemkaldelse;;Rejse
1. Forsikringen dækker - Hjemkald til tidligere ægtefælle.aspx;5. Hjemkaldelse;;Rejse
1. Forsikringen dækker - Hospitalsindlæggelse.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Hvad anses som en skade på ferieboligen.aspx;20. Skade på feriebolig;;Rejse
1. Forsikringen dækker - Hvad er forveksling.aspx;22. Bagage og rejsedokumenter;;Rejse
1. Forsikringen dækker - Hvem anses som sikret.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Hvem er dækket.aspx;15. Forsinket fremmøde;;Rejse
1. Forsikringen dækker - Hvilke boliger anses som feriebolig.aspx;20. Skade på feriebolig;;Rejse
1. Forsikringen dækker - Hvilke skader dækkes.aspx;19. Selvrisiko på lejebil mv.;;Rejse
1. Forsikringen dækker - Hvis myndigheder ikke har anbefalet evakuering.aspx;14. Evakuering og tilbageholdelse;;Rejse
1. Forsikringen dækker - Hvor mange kan komme på tilkald.aspx;7. Tilkaldelse;;Rejse
1. Forsikringen dækker - Hvordan fortolkes 'efter afrejse'.aspx;15. Forsinket fremmøde;;Rejse
1. Forsikringen dækker - Hvornår er almentilstanden sådan at det er urimeligt at rejse.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Hvornår er der tale om sygeledsagelse.aspx;6. Sygeledsagelse;;Rejse
1. Forsikringen dækker - Hvornår er det uforskyldt og uforudseeligt.aspx;15. Forsinket fremmøde;;Rejse
1. Forsikringen dækker - Inden feriens start.aspx;18. Erstatningsbil eller motorcykel;;Rejse
1. Forsikringen dækker - iPhones, iPads og iPods.aspx;22. Bagage og rejsedokumenter;;Rejse
1. Forsikringen dækker - Kontakt til vores alarmcentral.aspx;4. Ekstraudgifter i forbindelse med sygdom eller tilskadekomst;;Rejse
1. Forsikringen dækker - Krig, terror, naturkatastrofer mm.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Medicin i kufferten.aspx;17. Forsinket bagage;;Rejse
1. Forsikringen dækker - Medrejsende kæledyr.aspx;3. Syge- og hjemtransport;;Rejse
1. Forsikringen dækker - Mistet pas.aspx;15. Forsinket fremmøde;;Rejse
1. Forsikringen dækker - Motorcykel.aspx;11. Hjemtransport af bil;;Rejse
1. Forsikringen dækker - Når indrejse frarådes af UM.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Overenskomststridig arbejdsnedlæggelse.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Overnatning i eller ved lufthavnen.aspx;17. Forsinket bagage;;Rejse
1. Forsikringen dækker - Pårørende der var syg ved medlems afrejse.aspx;5. Hjemkaldelse;;Rejse
1. Forsikringen dækker - Rejsegods der befinder sig i udlandet uden medlemmet.aspx;22. Bagage og rejsedokumenter;;Rejse
1. Forsikringen dækker - Rejser af mere end 60 dages varighed.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Returrejse.aspx;3. Syge- og hjemtransport;;Rejse
1. Forsikringen dækker - Rundrejser.aspx;15. Forsinket fremmøde;;Rejse
1. Forsikringen dækker - Skilsmisse, separation eller samlivsophør.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Stormskade i medlemmet hjem.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Stormskade i medlemmets hjem.aspx;5. Hjemkaldelse;;Rejse
1. Forsikringen dækker - Sygdom opstået efter medlem forlader sin bopæl.aspx;24. Afbestilling;;Rejse
1. Forsikringen dækker - Telefonudgifter.aspx;17. Forsinket bagage;;Rejse
1. Forsikringen dækker - Tilkald af personer som ikke opholder sig i Danmark.aspx;7. Tilkaldelse;;Rejse
1. Forsikringen dækker - Tilkald til sikret der ikke er alvorligt syg.aspx;7. Tilkaldelse;;Rejse
1. Forsikringen dækker - Transportudgifter.aspx;17. Forsinket bagage;;Rejse
1. Forsikringen dækker - Tyveri af ferieboligen.aspx;20. Skade på feriebolig;;Rejse
1. Forsikringen dækker - Tyveri af køretøjet.aspx;19. Selvrisiko på lejebil mv.;;Rejse
1. Forsikringen dækker - Udgifter til andet transportmiddel end bil.aspx;18. Erstatningsbil eller motorcykel ;;Rejse
1. Forsikringen dækker - Udlejningsbil.aspx;11. Hjemtransport af bil;;Rejse
1. Forsikringen dækker - Underforsikring.aspx;22. Bagage og rejsedokumenter;;Rejse
1. Forsikringen dækker - Vaccination.aspx;24. Afbestilling;;Rejse
