Filnavn;Gruppe;Undergruppe;Branche
Søgning på Autotaks systemet.aspx;Systemet;;Bil
Taksering af modparts bil.aspx;Taksering;;Bil
Moms.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Indsamling af oplysninger GDPR.aspx;Skadepolitikker;;Bil
Veteran.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Behandling og dækning af stormflodsskader i Bilskade.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Kontakt til Økonomi.aspx;Adresser og praktisk info;;Bil
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Forretningsgange;;Bil
Elektronisk faktura.aspx;Adresser og praktisk info;;Bil
Taksatorrapport til forkert selskab.aspx;Taksering;;Bil
DFIM og afmelding af køretøjer.aspx;Forretningsgange;;Bil
Udbetaling til reparatører.aspx;Forretningsgange;;Bil
Uanmeldte skader.aspx;Forretningsgange;;Bil
Søgning på motorregister CRM og DMR.aspx;Forretningsgange;;Bil
Regres og rykkere til modpart og andre.aspx;Forretningsgange;;Bil
Prioriteringsrækkefølge af arbejdsopgaver i Bilskade.aspx;Forretningsgange;;Bil
Forretningsgang til fagvejlederne på gennemgang af div. lister i Bilskade.aspx;Forretningsgange;;Bil
EDI vedr. IDL Forsikring og Alpha Insurance.aspx;Forretningsgange;;Bil
Dobbelt clearinger og betalinger.aspx;Forretningsgange;;Bil
Dagbøger i Bilskade.aspx;Forretningsgange;;Bil
Stenslagsaftalen.aspx;Aftaler;;Bil
Vidner.aspx;Aftaler;;Bil
SKAFOR-aftaler.aspx;Aftaler;;Bil
Én skade én selvrisiko.aspx;Husaftaler;;Bil
Forretningsgang kombiskader.aspx;Husaftaler;;Bil
Krav fra Vejdirektoratet.aspx;Vilkårenes afsnit 2 - Ansvarsforsikring;;Bil
Dækning af Speed pedelecs pr. 1.7.18 i Bilskade.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Besvarelse af klagesager.aspx;Skadepolitikker;;Bil
Skader der behandles af Team 2.aspx;Vilkårenes afsnit 15 - Regres;;Bil
Skade forvoldt af hærværksmænd.aspx;Vilkårenes afsnit 15 - Regres;;Bil
Sammenstød med heste og andre dyr.aspx;Vilkårenes afsnit 15 - Regres;;Bil
Medlemmers børn, som medlem IKKE har givet lov til at benytte den forsikrede bil.aspx;Vilkårenes afsnit 15 - Regres;;Bil
Selvrisiko ved hjemtaget køretøj.aspx;Vilkårenes afsnit 15 - Generelt for alle dækninger;;Bil
Personfølsomme oplysninger og persondata.aspx;Vilkårenes afsnit 15 - Generelt for alle dækninger;;Bil
Behandling af personoplysninger.aspx;Vilkårenes afsnit 15 - Generelt for alle dækninger;;Bil
Ankenævnssag Solgt bil kontra selvrisiko.aspx;Vilkårenes afsnit 15 - Generelt for alle dækninger;;Bil
Vejhjælp Før februar 2014.aspx;Vilkårenes afsnit 4 - Vejhjælp i Danmark;;Bil
Underslæb, bedrageri, bortkomst.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Tyveri af private genstande fra bil.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Parkeringslicens.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Nøgler - grov uagtsomhed.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
GoMore MinBilDinBil og lignende.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Grov uagtsomhed ctr. klapfejl.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Flyvende trampoliner.aspx;Vilkårenes afsnit 15 - Regres;;Bil
Flyvende trampoliner - kasko.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
Fareforøgelse og pro rata.aspx;Vilkårenes afsnit 3 - Kaskoforsikring;;Bil
