Filnavn;Gruppe;Undergruppe;Branche
Båd 2309 Brev.aspx;Skadebehandling;Skadebehandling;Båd
NY obligatorisk ansvarsforsikring.aspx;Ansvar;Ansvar;Båd
Selvrisiko.aspx;Skadebehandling;Skadebehandling;Båd
Hvem er sikret.aspx;Hvem er sikret?;alle;Båd
Bjærgning.aspx;Kasko;Bjærgning samt redning og bevaring;Båd
Startside.aspx;;;Båd
Ved telefoniske henvendelser.aspx;Skadebehandling;;Båd
Efteranvisning.aspx;Skadebehandling;Skadebehandling;Båd
Forretningsgang.aspx;Ulykkesforsikring;Forretningsgang;Båd
Ansvarskrav ifm bjærgning.aspx;Ansvar;;Båd
Ansvar ved bugsering,slæb,bjærgning.aspx;Ansvar;;Båd
Erstatning.aspx;Kasko;Erstatning;Båd
Mekanisk skade.aspx;Kasko;;Båd
Hvad dækker forsikringen.aspx;Skadebehandling;Hvad dækker forsikringen;Båd
klagesager.aspx;Klagesager;Klagersager;Båd
Ulykkelig hændelse og pludselig skade.aspx;Kasko;Ulykkelig hændelse;Båd
Hvor og hvornår dækkes'.aspx;Kasko;Hvor og hvornår dækkes?;Båd
Tyveri.aspx;Kasko;Tyveri;Båd
Taksator.aspx;Kasko;Taksator;Båd
Havari.aspx;Kasko;Havari;Båd
Hærværk.aspx;Kasko;Hærværk;Båd
Skadekonsulent.aspx;Kasko;Skadekonsulent;Båd
Brand, eksplosion og lyn.aspx;Kasko;Brand, eksplosion og direkte lynnedslag;Båd
Grov uagtsomhed.aspx;Kasko;Grov uagtsomhed;Båd
Regresaftalen.aspx;Ansvar;Regresaftalen;Båd
Hvor og hvornår dækkes.aspx;Ansvar;Hvor og hvornår dækkes?;Båd
Antagelseregler.aspx;Hvem er sikret?;Antagelsesregler;Båd
Transport.aspx;Kasko;Transport;Båd
Væltning.aspx;Kasko;;Båd
Skade på mast.aspx;Kasko;Hændelser under sejlads;Båd
Sødygtighed.aspx;Kasko;;Båd
Bådudtryk.aspx;Skadebehandling;;Båd
Påsejling.aspx;Ansvar;;Båd
Forsikringstiden.aspx;Hvem er sikret?;;Båd
Tab af påhængsmotor.aspx;Kasko;Hændelser under sejlads;Båd
Medarbejdersager.aspx;Skadebehandling;Medarbejdersager;Båd
Dækningsskema.aspx;Kasko;Dækningsskema;Båd
Links.aspx;Links;Links;Båd
Statistikkoder.aspx;Skadebehandling;Statistikkoder;Båd
