Filnavn;Gruppe;Undergruppe;Branche
Klagevejledning.aspx;forretningsgange;;Erhverv
Udstillingsforsikring.aspx;Andre forsikringer;Udstillingsforsikring;Erhverv
Selvrisici branche 8.aspx;Selvrisiko;Selvrisiko branche 8;Erhverv
Vilkår 87-2 Forældelse.aspx;Løsøre;Forældelse Vilkår 87-2;Erhverv
Forældelse Svamp og Insekt.aspx;Bygning;Vilkår 83-3  forældelse Svamp og insekt;Erhverv
Svamp og insekt.aspx;Bygning;Svamp og insekt;Erhverv
Startside.aspx;;;Erhverv
Indekserede summer.aspx;Løsøre;Erstatningsopgørelse;Erhverv
Påkørsel.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Klausuler på løsøre.aspx;Løsøre;Forretningsgange;Erhverv
Sagsbehandling løsøre.aspx;Løsøre;Forretningsgange;Erhverv
Rede penge.aspx;Løsøre;Forsikrede Genstande;Erhverv
Driftstab.aspx;Løsøre;Driftstab;Erhverv
Transportskade.aspx;Løsøre;Transportskade;Erhverv
Stormskade.aspx;Løsøre;Storm;Erhverv
Varegruppe og sikringsniveau.aspx;Løsøre;Tyveri;Erhverv
Tyveri.aspx;Løsøre;Tyveri;Erhverv
Sagsbehandling bygning.aspx;Bygning;Forretningsgange;Erhverv
Genopførelse kan ikke ske.aspx;Bygning;Erstatningsopgørelse;Erhverv
Haveanlæg.aspx;Bygning;Forsikrede Genstande;Erhverv
Tilbehør til bygningen.aspx;Bygning;Forsikrede Genstande;Erhverv
Faste elinstallationer.aspx;Bygning;Forsikrede Genstande;Erhverv
Udvidet rørskade.aspx;Bygning;Udvidet rør;Erhverv
Kumme.aspx;Bygning;Glas og kumme;Erhverv
Glas.aspx;Bygning;Glas og kumme;Erhverv
Skybrud bygning.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Frostsprængning bygning.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Udsivning.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Tilfældig udstrømning.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Tyveri og hærværk.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Slukning og bortkomst.aspx;Bygning;Brand;Erhverv
Tørkogning.aspx;Bygning;Brand;Erhverv
Lynnedslag.aspx;Bygning;Brand;Erhverv
Hvor dækker forsikringen - bygning.aspx;Bygning;Hvor dækkes;Erhverv
Opstigende kloak eller grundvand.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Data.aspx;Løsøre;Forsikrede Genstande;Erhverv
Selvrisiko.aspx;Bygning;Erstatningsopgørelse;Erhverv
Medarbejdersager L.aspx;Løsøre;Forretningsgange;Erhverv
Medarbejdersager.aspx;Bygning;Forretningsgange;Erhverv
Dirke, falske og tillistede nøgler.aspx;Løsøre;Tyveri;Erhverv
Klausuler på bygning.aspx;Bygning;Forretningsgange;Erhverv
Skybrud.aspx;Løsøre;Vand;Erhverv
Låseomstilling.aspx;Løsøre;Tyveri;Erhverv
Kasseapparater.aspx;Løsøre;Forsikrede Genstande;Erhverv
Hvem er sikret - Løsøre.aspx;Løsøre;Hvem er sikret;Erhverv
Driftstab - undtaget på bygning.aspx;Bygning;Erstatningsopgørelse;Erhverv
Huslejetab.aspx;Bygning;Erstatningsopgørelse;Erhverv
Gulvbelægninger.aspx;Bygning;Forsikrede Genstande;Erhverv
Antenner.aspx;Bygning;Forsikrede Genstande;Erhverv
Undtaget under anden bygningsbeskadigelse.aspx;Bygning;Forsikrede Genstande;Erhverv
Hvor dækker forsikringen.aspx;Løsøre;Hvor dækkes;Erhverv
Erstatningsopgørelse.aspx;Løsøre;Erstatningsopgørelse;Erhverv
Vandskade.aspx;Løsøre;Vand;Erhverv
Oprydning.aspx;Løsøre;Erstatningsopgørelse;Erhverv
Bygningsbeskadigelse på løsøre.aspx;Løsøre;Forsikrede Genstande;Erhverv
Lyn.aspx;Løsøre;Brand;Erhverv
Fast bygningstilbehør.aspx;Bygning;Forsikrede Genstande;Erhverv
Elskade.aspx;Løsøre;Brand;Erhverv
Hvem er sikret - bygning.aspx;Bygning;Hvem er sikret;Erhverv
Vægmalerier og udsmykning.aspx;Bygning;Forsikrede Genstande;Erhverv
Hegn.aspx;Bygning;Forsikrede Genstande;Erhverv
Eget arbejde bygning.aspx;Bygning;Erstatningsopgørelse;Erhverv
Moms på bygning.aspx;Bygning;Erstatningsopgørelse;Erhverv
Nedbør.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Pludselig skade ikke dækket.aspx;Bygning;Anden Bygningsbeskadigelse;Erhverv
Glas og kumme på løsøre.aspx;Løsøre;Forsikrede Genstande;Erhverv
Motorkøretøjer.aspx;Løsøre;Forsikrede Genstande;Erhverv
Dokumentation.aspx;Løsøre;Erstatningsopgørelse;Erhverv
Moms.aspx;Løsøre;Erstatningsopgørelse;Erhverv
Frostsprængning.aspx;Løsøre;Vand;Erhverv
