Filnavn;Gruppe;Undergruppe;Branche
Anerkendelse.aspx;Standardmails;Anerkendelse;Individuel lønsikring
SKAT.aspx;SKAT;SKAT;Individuel lønsikring
Hvordan beregnes en månedsløn.aspx;Hvordan beregnes en månedsløn;Hvordan beregnes en månedsløn;Individuel lønsikring
Tvunget nedsat tid.aspx;Tvunget nedsat tid;Tvunget nedsat tid;Individuel lønsikring
Beregning af lønsikring ved sygedagpenge.aspx;Midlertidig uarbejdsdygtig;Beregning af lønsikring ved sygedagpenge;Individuel lønsikring
Udbetaling - uden SKAT.aspx;Standardmails;Udbetaling;Individuel lønsikring
Udbetaling - med SKAT.aspx;Standardmails;Udbetaling;Individuel lønsikring
Karensdag - uden SKAT.aspx;Standardmails;Karensdag;Individuel lønsikring
Karensdag - med SKAT.aspx;Standardmails;Karensdag;Individuel lønsikring
Ferie og arbejde - uden SKAT.aspx;Standardmails;Ferie;Individuel lønsikring
Ferie og arbejde - med SKAT.aspx;Standardmails;Ferie;Individuel lønsikring
Ferie - med SKAT.aspx;Standardmails;Ferie;Individuel lønsikring
Arbejde og ferie - uden SKAT.aspx;Standardmails;Arbejde;Individuel lønsikring
Arbejde og ferie - med SKAT.aspx;Standardmails;Arbejde;Individuel lønsikring
Arbejde - uden SKAT.aspx;Standardmails;Arbejde;Individuel lønsikring
Arbejde - med SKAT.aspx;Standardmails;Arbejde;Individuel lønsikring
80 procent- med SKAT.aspx;Standardmails;80 procent;Individuel lønsikring
80 procent - uden SKAT.aspx;Standardmails;80 procent;Individuel lønsikring
Ferie - uden SKAT.aspx;Standardmails;Ferie;Individuel lønsikring
Sygemeldt - kun lærernes.aspx;Standardmails;Sygemeldt - kun lærernes;Individuel lønsikring
Kvalifikation - ikke overholdt.aspx;Standardmails;Kvalifikation;Individuel lønsikring
Karens - afvisning.aspx;Standardmails;Karens - afvisning;Individuel lønsikring
Beregning og modregning af ferie og arbejde.aspx;Ferie og arbejde;Beregning og modregning af ferie og arbejde;Individuel lønsikring
Vikariat når vi er i dækning for ledighed.aspx;Vikariat;Vikariat når vi er i dækning for ledighed;Individuel lønsikring
Supplerende dagpenge (dagpenge + løn).aspx;Supplerende dagpenge;Supplerende dagpenge (dagpenge + løn);Individuel lønsikring
Selvrisiko.aspx;Selvrisiko;Selvrisiko;Individuel lønsikring
Sætte lønsikring på pause pga. nyt job , 3 måneders.aspx;Pause imellem udbetalingerne;Sætte lønsikring på pause pga. nyt job , 3 måneders;Individuel lønsikring
Klippekort.aspx;Pause imellem udbetalingerne;Klippekort;Individuel lønsikring
Midlertidig uarbejdsdygtighed - DSA.aspx;Midlertidig uarbejdsdygtig;Midlertidig uarbejdsdygtighed - DSA;Individuel lønsikring
Midlertidig uarbejdsdygtig – Lærernes.aspx;Midlertidig uarbejdsdygtig;Midlertidig uarbejdsdygtig – Lærernes;Individuel lønsikring
Løntilskud.aspx;Løntilskud;Løntilskud;Individuel lønsikring
Kvalifikationsperiode af vikariat + faststilling.aspx;Kvalifikation;Kvalifikationsperiode af vikariat + faststilling;Individuel lønsikring
Kvalifikation – vikariat og tidsbegrænset stilling.aspx;Kvalifikation;Kvalifikation – vikariat og tidsbegrænset stilling;Individuel lønsikring
Kvalifikation.aspx;Kvalifikation;Kvalifikation;Individuel lønsikring
Karensdag fratrukket dagpenge.aspx;Karens;Karensdag fratrukket dagpenge;Individuel lønsikring
Karens.aspx;Karens;Karens;Individuel lønsikring
Forlængelse af periode (afholdt ferie + arbejde).aspx;Ferie og arbejde;Forlængelse af periode (afholdt ferie + arbejde);Individuel lønsikring
80 procent reglen overordnet.aspx;80 procent reglen;80 procent reglen overordnet;Individuel lønsikring
80 procent med ferie.aspx;80 procent reglen;80 procent med ferie;Individuel lønsikring
Hvis medlem kommer fra vikariat, men har haft faststilling før vikariatet.aspx;Kvalifikation;Hvis medlem kommer fra vikariat, men har haft faststilling før vikariatet;Individuel lønsikring
Tidligere håndbog, gældende til 19.12.2017.aspx;Tidligere håndbog;Tidligere håndbog, gældende til 19.12.2017;Individuel lønsikring
Beregningsskema.aspx;Beregningsskema;Beregningsskema;Individuel lønsikring
Anmeldelse.aspx;Forretningsgange ;Anmeldelse;Individuel lønsikring
Startside.aspx;;;Individuel lønsikring
Behandling af klager.aspx;Forretningsgange ;Klager;Individuel lønsikring
Kontaktperson i Medlemsjura.aspx;Forretningsgange;Kontaktperson i Medlemsjura;Individuel lønsikring
Generel klagepolitik.aspx;Forretningsgange;Klager;Individuel lønsikring
Ankenævnet for Forsikring - hjemmeside.aspx;Forretningsgange;Ankenævnet;Individuel lønsikring
Ankenævnskendelser.aspx;Forretningsgange;Ankenævnet;Individuel lønsikring
Vilkår - DLF (Lærerstanden).aspx;Vilkår;Vilkår;Individuel lønsikring
Vilkår - DSA (Bauta).aspx;Vilkår;Vilkår;Individuel lønsikring
