Filnavn;Gruppe;Undergruppe;Branche
Forretningsgang for behandling af modtaget fil fra BUPL.aspx;Forretningsgang;Forretningsgang for modtaget BUPL fil;Lønsikring kollektiv
Indberetning.aspx;SKAT;Indberetning;Lønsikring kollektiv
Karens frem til 01.01.2018.aspx;Lønsikring Ekstra;Karens frem til 01.01.2018;Lønsikring kollektiv
Lønsikring EKSTRA.aspx;Lønsikring Ekstra;Overordnet om forsikringen;Lønsikring kollektiv
Kontrol af skadebehandling.aspx;Generel info;Kontrol af skadebehandling;Lønsikring kollektiv
Anciennitet og kvalifikation.aspx;Generel info;Anciennitet og kvalifikationsperiode;Lønsikring kollektiv
Manuel oprettelse.aspx;Nødprocedure/manuel oprettelse;Manuel oprettelse;Lønsikring kollektiv
Vilkår - EKSTRA.aspx;Lønsikring Ekstra;Vilkår - EKSTRA;Lønsikring kollektiv
Modtagelse af fil fra BUPL.aspx;Generel info;Fil fra BUPL;Lønsikring kollektiv
Vilkår - Kollektiv.aspx;Generel info;Vilkår - Kollektiv;Lønsikring kollektiv
Specielle regler – overgangsperioden.aspx;Specielle regler – overgangsperioden;Specielle regler for dækning i overgangsperioden;Lønsikring kollektiv
Karantæne.aspx;Manuelle rettelser;Karantæne;Lønsikring kollektiv
Grænsegængere.aspx;Generel info;Grænsegængere;Lønsikring kollektiv
Ændret indplaceringsdato.aspx;Generel info;Ændret indplaceringsdato;Lønsikring kollektiv
Skadebehandling.aspx;Generel info;Skadebehandling;Lønsikring kollektiv
Skadeanmeldelse.aspx;Generel info;Skadeanmeldelse;Lønsikring kollektiv
Overordnet om forsikringen.aspx;Generel info;Overordnet om forsikringen;Lønsikring kollektiv
Korregering.aspx;SKAT;Korregering;Lønsikring kollektiv
Ny ledighed med samme indplaceringsdato.aspx;Manuelle rettelser;Ny ledighed med samme indplaceringsdato;Lønsikring kollektiv
Regulering og korrektioner.aspx;Manuelle rettelser;Regulering/korrektioner;Lønsikring kollektiv
