Filnavn;Gruppe;Undergruppe;Branche
c. Strømafbrydelser.aspx;Hyppige skadeårsager – 5. Regres mod elforsyningsselskaber (stærkstrøm);;Regres
c. Sælger af fast ejendom.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);;Regres
Startside.aspx;Forløbet af en regressag;;Regres
i. Lovfortegnelse med forkortelser.aspx;Overordnet om regres;;Regres
b. Hvordan forberedes regreskravet.aspx;Forløbet af en regressag;;Regres
g. Forældelse.aspx;Overordnet om regres;;Regres
e. Hvem skal jeg spørge, hvis jeg er i tvivl om regressen.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres
d. Hvad er Medlemsjuras opgaver i relation til regres - Hvordan overdrages sager til Medlemsjura.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres
c. Hvad er Regresgruppens opgaver i relation til regres - Hvordan overdrages sager til Regresgruppen.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres
b. Hvad er taksators opgaver i relation til regres.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres
a. Hvad er skadebehandlerens opgaver i relation til regres.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;;Regres
b. Hvem udarbejder dagsværdiopgørelse.aspx;Erstatningskravet;;Regres
a. Nyværdi eller dagsværdi.aspx;Erstatningskravet;;Regres
c. Hvad sker der, når sagen overdrages til Medlemsjura.aspx;Regressager, hvor modpart ikke svarer (inkassosager);;Regres
b. Rykkerprocedure og overdragelse til Medlemsjura.aspx;Regressager, hvor modpart ikke svarer (inkassosager);;Regres
a. Hvad er en inkassosag.aspx;Regressager, hvor modpart ikke svarer (inkassosager);;Regres
f. Arbejdsfordelingen – c. Medlemsjuras rolle.aspx;Gerningsmandssager;;Regres
f. Arbejdsfordelingen – b. Skadestabs rolle.aspx;Gerningsmandssager;;Regres
f. Arbejdsfordelingen – a. Skadebehandler og taksators rolle.aspx;Gerningsmandssager;;Regres
e. Hvad betyder det at ”få dom for kravet”.aspx;Gerningsmandssager;;Regres
d. Skal vores krav medtages under staffesagen, eller skal vi anlægge civilt søgsmål.aspx;Gerningsmandssager;;Regres
c. Hvad er forskellen på en civil sag og en straffesag.aspx;Gerningsmandssager;;Regres
b. Gør vi regres i gerningsmandssager.aspx;Gerningsmandssager;;Regres
a. Hvad er en gerningsmandssag.aspx;Gerningsmandssager;;Regres
Regres ved forureningsskader.aspx;Hyppige skadeårsager – 12. Regres ved forureningsskader;;Regres
Regres ved skade forvoldt af dyr.aspx;Hyppige skadeårsager – 11. Regres ved skade forvoldt af dyr;;Regres
Regres mod flyselskaber (beskadiget og bortkommen bagage).aspx;Hyppige skadeårsager – 10. Regres mod flyselskaber (beskadiget og bortkommen bagage);;Regres
Regres i tilfælde af stormskader.aspx;Hyppige skadeårsager – 9. Regres i tilfælde af stormskader;;Regres
c. Manglende eller mangelfuld glatførebekæmpelse.aspx;Hyppige skadeårsager – 8. Regres mod offentlige myndigheder;;Regres
b. Huller i vej.aspx;Hyppige skadeårsager – 8. Regres mod offentlige myndigheder;;Regres
a. Regres mod offentlige myndigheder.aspx;Hyppige skadeårsager – 8. Regres mod offentlige myndigheder;;Regres
Regres mod motorkøretøjer.aspx;Hyppige skadeårsager – 7. Regres mod motorkøretøjer;;Regres
c. Culpaansvar ved propper, manglende vedligeholdelse mv.aspx;Hyppige skadeårsager – 6. Regres mod forsyningsselskaber (kloak/forsyning);;Regres
b. Objektivt ansvar som følge af materialetræthed.aspx;Hyppige skadeårsager – 6. Regres mod forsyningsselskaber (kloak/forsyning);;Regres
a. Regres mod forsyningsselskaber (kloak - forsyning).aspx;Hyppige skadeårsager – 6. Regres mod forsyningsselskaber (kloak/forsyning);;Regres
d. Brændte nulledere.aspx;Hyppige skadeårsager – 5. Regres mod elforsyningsselskaber (stærkstrøm);;Regres
b. overspændingsskader.aspx;Hyppige skadeårsager – 5. Regres mod elforsyningsselskaber (stærkstrøm);;Regres
a. Regres mod elforsyningsselskaber (stærkstrøm).aspx;Hyppige skadeårsager – 5. Regres mod elforsyningsselskaber (stærkstrøm);;Regres
Regres ved defekte produkter (produktansvar).aspx;Hyppige skadeårsager – 4. Regres ved defekte produkter (produktansvar);;Regres
g. Skade forvoldt af børn.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);;Regres
f. Niveauforskelle og mangelfuld glatførebekæmpelse.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);;Regres
e. Gerningsmænd.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);;Regres
d. Undladt at handle trods opfordringer.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);;Regres
b. Ukrudtsafbrænding.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);;Regres
a. Regres mod private (grov uagtsomhed).aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);;Regres
g. Akvarier.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;;Regres
f. Rådgivningsansvar.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;;Regres
e. Niveauforskelle og mangelfuld glatførebekæmpelse.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;;Regres
d. Entrepriseansvar (farlige arbejder).aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;;Regres
c. Regres mod erhvervsdrivende udlejer.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;;Regres
b. Regres mod bygningssagkyndige (fejl i tilstandsrapport).aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;;Regres
a Regres mod andre erhvervsdrivende - overordnet.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;;Regres
g. Fejlmontering eller produktansvar.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;;Regres
f. Graveskader.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;;Regres
e. Tagspuling.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;;Regres
d. Påbrænding af tagpap.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;;Regres
c. Råd- og svampeskader.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;;Regres
b. Skade på skjulte rør eller ledninger.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;;Regres
a. Regres mod håndværkere - overordnet.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;;Regres
j. Hvornår kan udbedring igangsættes.aspx;Bevissikring;;Regres
i. Må jeg udlevere vores bevismateriale til modparten.aspx;Bevissikring;;Regres
h. Anmodning om aktindsigt.aspx;Bevissikring;;Regres
g. Hvor opbevarer vi vores bevismateriale.aspx;Bevissikring;;Regres
f. Tidlig involvering af skadevolder (fælles besigtigelse).aspx;Bevissikring;;Regres
e. Hvorfor er det vigtigt at bevissikre.aspx;Bevissikring;;Regres
d. Hvad gør jeg, hvis nogle andre har vores bevis.aspx;Bevissikring;;Regres
c. Kommunikation med taksatorer, skadeservice og håndværkere om regres.aspx;Bevissikring;;Regres
b. Hvem har ansvaret for bevissikringen.aspx;Bevissikring;;Regres
a. Hvad er et bevis.aspx;Bevissikring;;Regres
p. Procesbeskrivelse.aspx;Forløbet af en regressag;;Regres
o. Hvad gør jeg, hvis medlemmet nægter at udlevere oplysninger.aspx;Forløbet af en regressag;;Regres
n. Hvad gør jeg, hvis modparten er gået konkurs eller lignende.aspx;Forløbet af en regressag;;Regres
m. Hvad gør jeg, hvis modparten ikke svarer på vores henvendelser.aspx;Forløbet af en regressag;;Regres
l. Må jeg selv tilbyde modparten at betale en del af kravet (forlig).aspx;Forløbet af en regressag;;Regres
k. Hvad gør jeg, hvis modparten tilbyder at betale en del af kravet (forlig).aspx;Forløbet af en regressag;;Regres
j. Må jeg selv opgive et regreskrav.aspx;Forløbet af en regressag;;Regres
i. Er modpartens anerkendelse bindende.aspx;Forløbet af en regressag;;Regres
h. Hvem skal bevise hvad.aspx;Forløbet af en regressag;;Regres
g. Hvordan argumenterer vi, hvis regreskravet afvises.aspx;Forløbet af en regressag;;Regres
f. Hvordan sammensættes regreskravet.aspx;Forløbet af en regressag;;Regres
e. Hvilke krav rejser vi (bagatelgrænse).aspx;Forløbet af en regressag;;Regres
d. Mod hvem rettes et regreskrav.aspx;Forløbet af en regressag;;Regres
c. Hvornår skal regreskravet rejses.aspx;Forløbet af en regressag;;Regres
a. Hvornår skal vi tænke regres.aspx;Forløbet af en regressag;;Regres
j. Statistikker.aspx;Overordnet om regres;;Regres
h. Medlems selvrisikokrav og håndtering af medlemmet under en regressag.aspx;Overordnet om regres;;Regres
f. Bevisbyrderegler.aspx;Overordnet om regres;;Regres
e. Forskellen på ansvar og hæftelse.aspx;Overordnet om regres;;Regres
d. Erstatningsansvar og samspillet med forsikring.aspx;Overordnet om regres;;Regres
c. Hvad er regres.aspx;Overordnet om regres;;Regres
b. Erstatning i kontrakt vs. erstatning uden for kontrakt.aspx;Overordnet om regres;;Regres
a. Hvad er erstatsningsansvar.aspx;Overordnet om regres;;Regres
g. Procesbeskrivelse for gerningsmandssager.aspx;Gerningsmandssager;;Regres
