FileName	OriginalHyperLink	NewHyperLink	CoincidencePrefix
Adgangskode til bilgalleriet.aspx	"href=""http://www.bilgalleri.dk/"""		
Adgangskode til bilgalleriet.aspx	"href=""http://www.motorcykelgalleri.dk/"""		
Administratorer for SKCM.aspx	"href=""/Skade/hb/GenerelSkadepolitik/Sider/Rettelse-af-kontonumre-(SKCM).aspx"""		
Administratorer i Autotaks.aspx	"href=""http://www.trextranet.dk/"""		
Adresser og mail på politikredse.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Adresser%20og%20mail%20på%20politikredse/Liste%20over%20politikredse.docx"""		
Afmelding af køretøjer.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/Svar%20fra%20Skat.pdf"""		
Afmelding og blokering.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/Fra%20Taksatorringen%20om%20afmelding%20og%20blokering.pdf"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Udregning%20af%20lejebil/Beregning%20af%20lejebil.xlsx"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/HER.docx"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20mellem%20Forsikring%20og%20Pension%20og%20Dansk%20Taxi%20Råd.aspx"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20med%20politiet.aspx"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20DTL%20og%20ITD.aspx"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20for%20busser%20Danske%20Busvognmænd.aspx"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20for%20udlejningskøretøjer%20med%20Danske%20biludlejere.aspx"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20Danske%20kørelæreres%20Landsforbund.aspx"""		
Afsavn og Erstatningsbil til modparter.aspx	"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20med%20DSB%20og%20Banestyrelsen.aspx"""		
Ansvarsplacering mellem LB og udenlandsk modpart-selskab.aspx	"href=""http://www.cobx.org/Content/Default.asp"""		
Ansvarsplacering mellem LB og udenlandsk modpart-selskab.aspx	"href=""http://www.dfim.dk/"""		
Ansvarsplacering mellem LB og udenlandsk modpart-selskab.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/side1.jpg"""		
Ansvarsplacering mellem LB og udenlandsk modpart-selskab.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/side2.jpg"""		
Ansvarsplacering mellem LB og udenlandsk modpart-selskab.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/side3.jpg"""		
Ansvarsplacering mellem LB og udenlandsk modpart-selskab.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/side4.jpg"""		
Ansvarsplacering mellem LB og udenlandsk modpart-selskab.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/Vendinger.pdf"""		
Ansvarsplacering mellem LB og udenlandsk modpart-selskab.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/forsikringsglosar.pdf"""		
Benzin, diesel og øvrigt brændstof.aspx	"href=""/Skade/hb/bil/Delte%20dokumenter/10.521.pdf"""		
Beskrivelse af Østkontoret.aspx	"href=""http://www.eastoffice.dk/"""		
Beskrivelse af Østkontoret.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Beskrivelse%20af%20østkontoret/Brugervejledning-eastoffice2.pdf"""		
Beskrivelse af Østkontoret.aspx	"href=""/Skade/hb/bil/SitePages/Dagens%20sager%20fra%20Østkontoret.aspx"""		
BilBrand.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Børns%20ansvar/skema%20børns%20ansvar%2006.09.2017.docx"""		
BilBrand.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Børns%20ansvar/Skema%20forældrehæftelse%20i%20forhold%20til%20adresse.docx"""		
BilBrand.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Børns%20ansvar/Krav%20mod%20medlemmernes%20egne%20børn.docx"""		
BilBrand.aspx	"href=""/Skade/hb/bil/SitePages/Forældrehæftelse.aspx"""		
BilBroBizz.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Børns%20ansvar/skema%20børns%20ansvar%2006.09.2017.docx"""		
BilBroBizz.aspx	"href=""/Skade/hb/bil/SiteAssets/SitePages/Børns%20ansvar/Skema%20forældrehæftelse%20i%20forhold%20til%20adresse.docx"""		
