FileName;OriginalHyperLink;NewHyperLink;CoincidencePrefix
Sanering - Forbehold på policen.aspx;"href=""/policehaandbog/bg0/Sider/Arkiv_Bg0_Saneringshåndbogen.aspx""";"href=""/policehaandbog/bg0/Sider/Arkiv_Bg0_Saneringshåndbogen.aspx""";
Tyveri fra autocamper.aspx;"href=""/policehaandbog/bg1/Sider/bg1_bil_antagelse_autocamper_indbo.aspx""";"href=""/policehaandbog/bg1/Sider/bg1_bil_antagelse_autocamper_indbo.aspx""";
IndboKørestole.aspx;"href=""/policehaandbog/bg1/Sider/bg1_Skema-for-atypiske-køretøjer.aspx""";"href=""/policehaandbog/bg1/Sider/bg1_Skema-for-atypiske-køretøjer.aspx""";
Dækning på 2 adresser.aspx;"href=""/policehaandbog/bg3/Sider/bg3_Dækning-på-2-adresser-(behov-over-12-måneder.aspx""";"href=""/policehaandbog/bg3/Sider/bg3_Dækning-på-2-adresser-(behov-over-12-måneder.aspx""";
Ældre forsikringsvilkår.aspx;"href=""/Sider/vilkaar.aspx""";"href=""/Sider/vilkaar.aspx""";
Udbetaling af erstatning ved samlivsophør - skilsmisse - udeboende børn - Dødsfald (Boet efter).aspx;"href=""/Skade/hb/ansvarNY/SitePages/Afskrivning%20i%20skadelidtes%20krav.aspx""";"href=""/Skade/hb/ansvarNY/SitePages/Afskrivning%20i%20skadelidtes%20krav.aspx""";Ansvar
IndboForældelse.aspx;"href=""/Skade/hb/ansvarNY/SitePages/Forældelse.aspx""";"href=""/Skade/hb/ansvarNY/SitePages/Forældelse.aspx""";Ansvar
Boligbyt - hærværk i boligen.aspx;"href=""/Skade/hb/ansvarNY/SitePages/Skade%20på%20feriebolig.aspx""";"href=""/Skade/hb/ansvarNY/SitePages/Skade%20på%20feriebolig.aspx""";Ansvar
Dokumentation - hvornår beder vi om dokumentation.aspx;"href=""/Skade/hb/byg/SitePages/Kontanterstatning.aspx""";"href=""/Skade/hb/byg/SitePages/Kontanterstatning.aspx""";Bygning
Når der sker skade i forbindelse med udbedring af en skade.aspx;"href=""/Skade/hb/byg/SitePages/Reklamation.aspx""";"href=""/Skade/hb/byg/SitePages/Reklamation.aspx""";Bygning
Udtørringsskade efter affugtning.aspx;"href=""/Skade/hb/byg/SitePages/Reklamation.aspx""";"href=""/Skade/hb/byg/SitePages/Reklamation.aspx""";Bygning
Selvrisiko - En skade en selvrisiko.aspx;"href=""/Skade/hb/DGS/Delte%20dokumenter/Selvrisikoberegner.xlsx""";"href=""/Skade/hb/DGS/Delte%20dokumenter/Selvrisikoberegner.xlsx""";DGS
IndboSikker post.aspx;"href=""/Skade/hb/DGS/SiteAssets/SitePages/Sikker%20post/Politikredsenes%20mailadresser.docx""";"href=""/Skade/hb/DGS/SiteAssets/SitePages/Sikker%20post/Politikredsenes%20mailadresser.docx""";DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;"href=""/Skade/hb/DGS/SitePages/Afdragsordninger.aspx""";"href=""/Skade/hb/DGS/SitePages/Afdragsordninger.aspx""";DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;"href=""/Skade/hb/DGS/SitePages/Erstatning%20-%20Afskrivningstabel.aspx""";"href=""/Skade/hb/DGS/SitePages/Erstatning%20-%20Afskrivningstabel.aspx""";DGS
Drivhus og væksthus på lejet grund, ved andelsboliger og embedsboliger.aspx;"href=""/Skade/hb/DGS/SitePages/Erstatning%20-%20Erstatning%20for%20drivhuse%20når%20medlem%20har%20tegnet%20tillægsdækning%20for%20drivhuse%20på%20indboforsikringen.aspx""";"href=""/Skade/hb/DGS/SitePages/Erstatning%20-%20Erstatning%20for%20drivhuse%20når%20medlem%20har%20tegnet%20tillægsdækning%20for%20drivhuse%20på%20indboforsikringen.aspx""";DGS
IndboSkybrud.aspx;"href=""/Skade/hb/DGS/SitePages/Erstatning%20-%20Opgørelse%20af%20skybrudsskader.aspx""";"href=""/Skade/hb/DGS/SitePages/Erstatning%20-%20Opgørelse%20af%20skybrudsskader.aspx""";DGS
Modtagelse af domme til brug for inddrivelse af penge, vi er tilkendt ad rettens vej.aspx;"href=""/Skade/hb/DGS/SitePages/Gerningsmandssager%20-%20Forretningsgang%20for%20gerningsmandssager.aspx""";"href=""/Skade/hb/DGS/SitePages/Gerningsmandssager%20-%20Forretningsgang%20for%20gerningsmandssager.aspx""";DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;"href=""/Skade/hb/DGS/SitePages/Regres%20-%20Opkrævning%20af%20medlems%20selvrisikobeløb%20i%20regressager.aspx""";"href=""/Skade/hb/DGS/SitePages/Regres%20-%20Opkrævning%20af%20medlems%20selvrisikobeløb%20i%20regressager.aspx""";DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;"href=""/Skade/hb/DGS/SitePages/Selvrisiko%20-%20En%20skade%20-%20en%20selvrisiko.aspx""";"href=""/Skade/hb/DGS/SitePages/Selvrisiko%20-%20En%20skade%20-%20en%20selvrisiko.aspx""";DGS
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;"href=""/Skade/hb/DGS/SitePages/Selvrisiko%20-%20Opkrævning%20af%20selvrisiko.aspx""";"href=""/Skade/hb/DGS/SitePages/Selvrisiko%20-%20Opkrævning%20af%20selvrisiko.aspx""";DGS
Skadearter, statistikkoder og omfangskoder.aspx;"href=""/Skade/hb/DGS/SitePages/Statistikkode%20008.aspx""";"href=""/Skade/hb/DGS/SitePages/Statistikkode%20008.aspx""";DGS
Skadearter, statistikkoder og omfangskoder.aspx;"href=""/Skade/hb/GenerelSkadepolitik/Lists/Strre%20Skadebegivenheder%20reas/AllItems.aspx""";"href=""/Skade/hb/GenerelSkadepolitik/Lists/Strre%20Skadebegivenheder%20reas/AllItems.aspx""";GenerelSkadepolitik
Krav - Debitorarter ved oprettelse af krav i skadeportalen.aspx;"href=""/Skade/hb/GenerelSkadepolitik/Sider/default.aspx""";"href=""/Skade/hb/GenerelSkadepolitik/Sider/default.aspx""";GenerelSkadepolitik
Krav - Oprettelse af skadeprovenue.aspx;"href=""/Skade/hb/GenerelSkadepolitik/Sider/default.aspx""";"href=""/Skade/hb/GenerelSkadepolitik/Sider/default.aspx""";GenerelSkadepolitik
Risiko - Indberetning af faktiske og mulige tab.aspx;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Risikoindberetning-og-risikomedarbejdere.aspx""";"href=""/Skade/hb/GenerelSkadepolitik/Sider/Risikoindberetning-og-risikomedarbejdere.aspx""";GenerelSkadepolitik
IndboMedarbejdersager.aspx;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx""";"href=""/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx""";GenerelSkadepolitik
Hundesyge - Behandling af hundesyge.aspx;"href=""/Skade/hb/hund/SitePages/Selvrisiko%20og%20maksimumdækninger.aspx""";"href=""/Skade/hb/hund/SitePages/Selvrisiko%20og%20maksimumdækninger.aspx""";Hund
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;"href=""/Skade/hb/indbo/Delte%20dokumenter/Alder%20på%20IPhone%20og%20Samsung%20Galaxy.docx""";"href=""/Skade/hb/indbo/Delte%20dokumenter/Alder%20på%20IPhone%20og%20Samsung%20Galaxy.docx""";Indbo
