FileName;OriginalHyperLink;NewHyperLink;CoincidencePrefix
1. Forsikringen dækker - Autocamper.aspx;N/A;href="/sites/Skade/SitePages/1.%20Forsikringen%20dækker%20-%20Hvilke%20boliger%20anses%20som%20feriebolig.aspx";N/A
1. Forsikringen dækker - Hvornår er det uforskyldt og uforudseeligt.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=213965";N/A
1. Forsikringen dækker - Hvornår er det uforskyldt og uforudseeligt.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=252298";N/A
1. Forsikringen dækker - iPhones, iPads og iPods.aspx;N/A;href="/sites/Skade/SitePages/Iphones%20-%20Garanti%20-%20Reklamation%20-%20Reparation%20-%20Ombytning.aspx";N/A
1. Forsikringen dækker - Mistet pas.aspx;N/A;href="/sites/Skade/SitePages/1.%20Forsikringen%20dækker%20-%20Hvornår%20er%20det%20uforskyldt%20og%20uforudseeligt.aspx";N/A
2. Forsikringen dækker ikke - Genstande udlånt til elever.aspx;N/A;href="/sites/Skade/SitePages/Genstande%20der%20anvendes%20i%20undervisning.aspx";N/A
2. Forsikringen dækker ikke - Hvordan afgør vi om sygdommen var til stede ved bestilling af rejsen.aspx;N/A;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=89499";N/A
2. Forsikringen dækker ikke - Hvornår er transfertid ikke overholdt.aspx;N/A;href="http://www.airtimetable.com/airport_locator.asp";N/A
2. Forsikringen dækker ikke - Konkurs.aspx;N/A;href="http://rejsegarantifonden.dk/";N/A
2. Forsikringen dækker ikke - Medlemmets tabsbegrænsningspligt når rejsen er færdigbetalt.aspx;N/A;href="/sites/Skade/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Rejser%20som%20betales%20i%20rater%20og%20som%20endnu%20ikke%20er%20færdigbetalt.aspx";N/A
2. Forsikringen dækker ikke - Rejser som betales i rater og som endnu ikke er færdigbetalt.aspx;N/A;href="/sites/Skade/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Medlemmets%20tabsbegrænsningspligt%20når%20rejsen%20er%20færdigbetalt.aspx";N/A
2. Forsikrngen dækker ikke - Sikrede var under udredning.aspx;N/A;href="/sites/Skade/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Hvordan%20afgør%20vi%20om%20sygdommen%20var%20til%20stede%20ved%20bestilling%20af%20rejsen.aspx";N/A
3. Erstatning - Cykler.aspx;N/A;href="/sites/Skade/SitePages/Maks.%20dækning%20for%20cykler.aspx";N/A
3. Erstatning - Cykler.aspx;N/A;href="/Skade/hb/DGS/SitePages/Cykler%20-%20Cykel+skader.aspx";N/A
3. Erstatning - Hvordan beregnes antallet af dage.aspx;N/A;href="https://www.timeanddate.com/date/duration.html";N/A
3. Erstatning - Hvordan beregnes antallet af dage.aspx;N/A;href="/sites/Skade/SitePages/Erstatning%20-%20Skema%20til%20beregning%20af%20erstatningsrejse.aspx";N/A
3. Erstatning - Hvordan opgøres erstatningen.aspx;N/A;href="/sites/Skade/SitePages/1.%20Forsikringen%20dækker%20-%20Forsinket%20udstyr.aspx";N/A
3. Erstatning - Hvornår og hvordan ydes der erstatning.aspx;N/A;href="/sites/Skade/SitePages/Fagligt%20-%20Hvilken%20erstatning%20skal%20medlem%20have.aspx";N/A
3. Erstatning - Hvornår og hvordan ydes der erstatning.aspx;N/A;href="/sites/Skade/SitePages/Fagligt%20-%20Hvilken%20erstatning%20skal%20medlem%20have.aspx";N/A
4. Dokumentation - Bagageidentifikation.aspx;N/A;href="/sites/Skade/Rejse/4.%20Dokumentation%20-%20Bagageidentifikation/Bagageidentifikation.doc";N/A
4. Dokumentation - Skema til identifikation af bagagetyper.aspx;N/A;href="/sites/Skade/Rejse/4.%20Dokumentation%20-%20Bagageidentifikation/Bagageidentifikation.doc";N/A
A - 1. Rejseforsikringens hvem - hvad - hvor.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=258055&amp;&amp;Type=1";N/A
A - 1. Rejseforsikringens hvem - hvad - hvor.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=257467";N/A
Arbejdsgange - Modtagelse af effekter.aspx;N/A;href="/sites/Skade/SitePages/Behandling%20af%20fundne%20genstande%20og%20beskadigede%20genstande,%20som%20vi%20beder%20om%20at%20få%20indsendt.aspx";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=257850";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=261112&amp;&amp;Type=1";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=257143";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=257890&amp;&amp;Type=1";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=258048&amp;&amp;Type=1";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=258409&amp;&amp;Type=1";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=258592&amp;&amp;Type=1";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=258571&amp;&amp;Type=1";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=258664&amp;&amp;Type=1";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=88236";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=257175&amp;&amp;Type=1";N/A
B - 2. Sygdom eller tilskadekomst.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=259619&amp;&amp;Type=1";N/A
C - 3. Syge- og hjemtransport.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=256725";N/A
C - 3. Syge- og hjemtransport.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=257913";N/A
C - 3. Syge- og hjemtransport.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=258397&amp;&amp;Type=1";N/A
C - 3. Syge- og hjemtransport.aspx;N/A;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=258478&amp;&amp;Type=1";N/A
