Filnavn	Branche	Content	IsLinkCoincidence	FileInLink	NytLink	Prefix
AnsvarKørestole.aspx	Ansvar	"href=""/policehaandbog/bg1/Sider/bg1_Skema-for-atypiske-køretøjer.aspx"""	False	bg1_Skema-for-atypiske-køretøjer.aspx	http://intranet.lb.dk	
Danske Lov 3-19-2.aspx	Ansvar	"href=""/policehaandbog/bg3/Sider/bg3-Lærer-praktikansvar.aspx"""	False	bg3-Lærer-praktikansvar.aspx		
Erhvervsansvarsforsikringer - branche 52.aspx	Ansvar	"href=""/policehaandbog/Sider/Branche52Ansvarsklausuler.aspx"""	False	Branche52Ansvarsklausuler.aspx		
AnsvarTidligere forsikringsvilkår.aspx	Ansvar	"href=""/Sider/vilkaar.aspx"""	False	vilkaar.aspx		
Andre landes retspraksis og anden praksis.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Den%20franske%20lov%20af%205.7.1985%20om%20trafikskade-erstatning.pdf.aspx"""	False	Den%20franske%20lov%20af%205.7.1985%20om%20trafikskade-erstatning.pdf.aspx		
Erstatningsbil.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/afsavnserstatning.aspx"""	False	afsavnserstatning.aspx	https://lbforsikring.sharepoint.com/sites/skade/sitepages/	
Skadelidtes pligt i forbindelse med en skade.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Afskrivning%20i%20skadelidtes%20krav.aspx"""	False	Afskrivning%20i%20skadelidtes%20krav.aspx		
Vedrørende varetægt.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Ankenævnskendelser%20vedrørende%20skade%20forvoldt%20på%20og%20med%20motorkøretøjer.aspx"""	False	Ankenævnskendelser%20vedrørende%20skade%20forvoldt%20på%20og%20med%20motorkøretøjer.aspx		
Motorkøretøj - børns ansvar - varetægt.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Ankenævnskendelser%20vedrørende%20skade%20forvoldt%20på%20og%20med%20motorkøretøjer.aspx"""	False	Ankenævnskendelser%20vedrørende%20skade%20forvoldt%20på%20og%20med%20motorkøretøjer.aspx		
Eldrevet cykel.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Ansvar%20for%20eldrevne%20løbehjul%20og%20eldrevne%20skateboard.aspx"""	False	Ansvar%20for%20eldrevne%20løbehjul%20og%20eldrevne%20skateboard.aspx		
Vedrørende skade sket, når skadelidte ikke er hjemme.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Ansvar%20under%20arbejde%20for%20andre.aspx"""	False	Ansvar%20under%20arbejde%20for%20andre.aspx		
Specielt for personer med bofællesskab, familie i øvrigt samt gæster.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Arbejdsskadeforsikring%20-%20Arbejdsskadestyrelsen.aspx"""	False	Arbejdsskadeforsikring%20-%20Arbejdsskadestyrelsen.aspx		
Specielt ved gensidig hjælp.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Arbejdsskadeforsikring%20-%20Arbejdsskadestyrelsen.aspx"""	False	Arbejdsskadeforsikring%20-%20Arbejdsskadestyrelsen.aspx		
Skade sket i boligforeninger.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Arbejdsskadeforsikring%20-%20Arbejdsskadestyrelsen.aspx"""	False	Arbejdsskadeforsikring%20-%20Arbejdsskadestyrelsen.aspx		
Specielt ved håndsrækninger.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Arbejdsskadeforsikring%20-%20Arbejdsskadestyrelsen.aspx"""	False	Arbejdsskadeforsikring%20-%20Arbejdsskadestyrelsen.aspx		
Klage over afgørelse.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Besvarelse%20af%20klagesager.aspx"""	False	Besvarelse%20af%20klagesager.aspx		
Personskader sket i udlandet.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Betaling%20til%20vores%20samarbejdspartnere.aspx"""	False	Betaling%20til%20vores%20samarbejdspartnere.aspx		
Cykler.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Cykler%20lånt%20eller%20lejet%20i%20udlandet.aspx"""	False	Cykler%20lånt%20eller%20lejet%20i%20udlandet.aspx		
Lån og leje.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Cykler%20lånt%20eller%20lejet%20i%20udlandet.aspx"""	False	Cykler%20lånt%20eller%20lejet%20i%20udlandet.aspx		
Lån og leje.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/cykler.aspx"""	False	cykler.aspx		
Husejeransvar.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Danske%20Lov%203-19-2.aspx"""	False	Danske%20Lov%203-19-2.aspx		
Hesteskader.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Danske%20Lov%206-10-2.aspx"""	False	Danske%20Lov%206-10-2.aspx		
Cykler.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Dobbeltforsikring.aspx"""	True	Dobbeltforsikring.aspx		
Lån og leje.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/dobbeltforsikring.aspx"""	False	dobbeltforsikring.aspx		
Vedrørende hændelige skader.aspx	Ansvar	"href=""/Skade/hb/ansvarNY/SitePages/Egne%20skadesager%20anerkendt%20som%20gæstebudsskade.aspx"""	False	Egne%20skadesager%20anerkendt%20som%20gæstebudsskade.aspx		
