Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Vedrørende skade på hund under leg.aspx;Ansvar;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=247324";False;ViewDocument.aspx;;
Vedrørende skade på hund under leg.aspx;Ansvar;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=225088";False;ViewDocument.aspx;;
Hund er årsag til bilulykke.aspx;Ansvar;href="/sites/skade/sitepages/Kapitel%202-aftalen.aspx";False;Kapitel%202-aftalen.aspx;;
Hvilke ansvarsskader skal vi tage stilling til.aspx;Ansvar;href="/sites/skade/sitepages/Vedrørende%20selvforsikrede%20skoler%20EAL%20§%2020.aspx";False;Vedrørende%20selvforsikrede%20skoler%20EAL%20§%2020.aspx;;
Referater fra ansvarsmøder.aspx;Ansvar;href="/sites/skade/sitepages/Hund%20gør%20andre%20dyr%20bange.aspx";False;Hund%20gør%20andre%20dyr%20bange.aspx;;
Referater fra ansvarsmøder.aspx;Ansvar;href="/sites/skade/sitepages/Vedrørende%20hundeansvar%20-%20accept%20af%20risiko.aspx";False;Vedrørende%20hundeansvar%20-%20accept%20af%20risiko.aspx;;
Politirapport.aspx;Ansvar;href="/sites/skade/sitepages/Vedrørende%20anerkendelse%20i%20hundeansvarssager.aspx";False;Vedrørende%20anerkendelse%20i%20hundeansvarssager.aspx;;
AnsvarMedarbejdersager.aspx;Ansvar;href="/sites/skade/sitepages/Sagerhvoransatteerinvolveret.aspx";False;Sagerhvoransatteerinvolveret.aspx;;
Tjenesteydelse.aspx;Ansvar;href="/sites/skade/sitepages/specielt%20ved%20håndsrækninger.aspx";False;specielt%20ved%20håndsrækninger.aspx;;
Tjenesteydelse.aspx;Ansvar;href="/sites/skade/sitepages/Gæstebudsskade.aspx";False;Gæstebudsskade.aspx;;
Tjenesteydelse.aspx;Ansvar;href="/sites/skade/sitepages/Vedrørende%20tjenesteydelse.aspx";False;Vedrørende%20tjenesteydelse.aspx;;
Hesteskader.aspx;Ansvar;href="/sites/skade/sitepages/Danske%20Lov%206-10-2.aspx";False;Danske%20Lov%206-10-2.aspx;;
Hesteskader.aspx;Ansvar;href="/sites/skade/sitepages/Mark-%20og%20vejfredsloven.aspx";False;Mark-%20og%20vejfredsloven.aspx;;
Hesteskader.aspx;Ansvar;href="/sites/skade/sitepages/Lov%20om%20erstatningsansvar%20§%2025.aspx";False;Lov%20om%20erstatningsansvar%20§%2025.aspx;;
Hesteskader.aspx;Ansvar;href="/sites/skade/sitepages/Vedrørende%20ukendte%20og%20uforsikrede%20heste.aspx";False;Vedrørende%20ukendte%20og%20uforsikrede%20heste.aspx;;
