Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Andre landes retspraksis og anden praksis.aspx;Ansvar;"href=""/Skade/hb/bil/SiteAssets/SitePages/Retspraksis%20og%20anden%20praksis/2014%20SPANISH%20OFFICIAL%20INJURY%20SCALE.pdf""";False;2014%20SPANISH%20OFFICIAL%20INJURY%20SCALE.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bil/;
Småskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Brev%20til%20medlem.rtf""";False;Brev%20til%20medlem.rtf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Småskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Brev%20til%20skl.rtf""";False;Brev%20til%20skl.rtf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Vedrørende reduktion i erstatningens størrelse, hvis skadelidte ved grov uagtsomhed har medvirket til skaden.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Byretsdommen.pdf""";False;Byretsdommen.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Vedrørende glideskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Byretsdommen.pdf""";False;Byretsdommen.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Skader forvoldt ved brug af legetøj med motorkraft under 5 hk.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Dom%20om,%20at%20en%20børneatv%20er%20et%20motordrevet%20køretøj.pdf""";False;Dom%20om,%20at%20en%20børneatv%20er%20et%20motordrevet%20køretøj.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Vedrørende glideskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/glideskade%20på%20tankstation.pdf""";False;glideskade%20på%20tankstation.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Vedrørende Hundeansvar - personskader - egen medvirken.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/hundedom.pdf""";False;hundedom.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Vedrørende hundeslagsmål.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Hundedom.pdf""";False;Hundedom.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Vedrørende reduktion i erstatningens størrelse, hvis skadelidte ved grov uagtsomhed har medvirket til skaden.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Højesteretsdommen.pdf""";False;Højesteretsdommen.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
AnsvarNødret.aspx;Ansvar;"href=""/Skade/hb/bil/Delte%20dokumenter/nødret.pdf""";False;nødret.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bil/;
Vedrørende reduktion i erstatningens størrelse, hvis skadelidte ved grov uagtsomhed har medvirket til skaden.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Referat%20af%20Højesteretsdom.pdf""";False;Referat%20af%20Højesteretsdom.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
Vedrørende glideskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Referat%20af%20Østre%20Landsretsdommen.pdf""";False;Referat%20af%20Østre%20Landsretsdommen.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ansvar/;
