Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Afskrivning i skadelidtes krav.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Erstatningens%20størrelse%20for%20dyr.aspx""";False;Erstatningens%20størrelse%20for%20dyr.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afskrivning i skadelidtes krav.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20reduktion%20i%20erstatningens%20størrelse,%20hvis%20skadelidte%20ved%20grov%20uagtsomhed%20har%20medvirket%20til%20skaden.aspx""";False;Vedrørende%20reduktion%20i%20erstatningens%20størrelse,%20hvis%20skadelidte%20ved%20grov%20uagtsomhed%20har%20medvirket%20til%20skaden.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Andre landes retspraksis og anden praksis.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/Delte%20dokumenter/Den%20franske%20lov%20af%205.7.1985%20om%20trafikskade-erstatning.pdf.aspx""";False;Den%20franske%20lov%20af%205.7.1985%20om%20trafikskade-erstatning.pdf.aspx;;
Ankenævnskendelser vedrørende skade forvoldt på og med motorkøretøjer.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20varetægt.aspx""";False;Vedrørende%20varetægt.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ansvar for eldrevne løbehjul og eldrevne skateboard.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Eldrevet%20cykel.aspx""";False;Eldrevet%20cykel.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ansvar under arbejde for andre.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Husejeransvar.aspx""";False;Husejeransvar.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ansvar under arbejde for andre.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20skade%20forvoldt%20under%20arbejde.aspx""";False;Vedrørende%20skade%20forvoldt%20under%20arbejde.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
AnsvarAdvokatomkostninger.aspx;Ansvar;"href=""/Skade/hb/indbo/SitePages/Ankenævnskendelser%20vedrørende%20advokatomkostninger.aspx""";False;Ankenævnskendelser%20vedrørende%20advokatomkostninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
AnsvarKørestole.aspx;Ansvar;"href=""/policehaandbog/bg1/Sider/bg1_Skema-for-atypiske-køretøjer.aspx""";False;bg1_Skema-for-atypiske-køretøjer.aspx;http://intranet.lb.dk/policehaandbog/bg1/Sider/;
AnsvarListe over politikredse.aspx;Ansvar;"href=""/Skade/hb/indbo/SitePages/Sikker%20post.aspx""";False;Sikker%20post.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
AnsvarMedarbejdersager.aspx;Ansvar;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx""";False;Sagerhvoransatteerinvolveret.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
AnsvarReserveafsættelse.aspx;Ansvar;"href=""/Skade/hb/indbo/SitePages/Reserveafsættelse%20i%20skadesager%20som%20forventes%20at%20komme%20til%20at%20koste%20over%201,5%20mio.aspx""";False;Reserveafsættelse%20i%20skadesager%20som%20forventes%20at%20komme%20til%20at%20koste%20over%201,5%20mio.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
AnsvarTidligere forsikringsvilkår.aspx;Ansvar;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Arbejdsskadeforsikring - Arbejdsskadestyrelsen.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Specielt%20for%20personer%20med%20bofællesskab,%20familie%20i%20øvrigt%20samt%20gæster.aspx""";False;Specielt%20for%20personer%20med%20bofællesskab,%20familie%20i%20øvrigt%20samt%20gæster.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Arbejdsskadeforsikring - Arbejdsskadestyrelsen.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Specielt%20ved%20gensidig%20hjælp.aspx""";False;Specielt%20ved%20gensidig%20hjælp.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Arbejdsskadeforsikring - Arbejdsskadestyrelsen.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Specielt%20ved%20håndsrækninger.aspx""";False;Specielt%20ved%20håndsrækninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Behandling af skiskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Færdselsregler%20på%20ski.aspx""";False;Færdselsregler%20på%20ski.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Behandling af skiskader.aspx;Ansvar;"href=""/Skade/hb/bil/SitePages/LB%27s%20Grønt%20kort%20partnere.aspx""";False;LB%27s%20Grønt%20kort%20partnere.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Cykler.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Cykler%20lånt%20eller%20lejet%20i%20udlandet.aspx""";False;Cykler%20lånt%20eller%20lejet%20i%20udlandet.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Cykler.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Dobbeltforsikring.aspx""";True;Dobbeltforsikring.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;Ansvar
Cykler.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/varetægt.aspx""";False;varetægt.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Danske Lov 3-19-2.aspx;Ansvar;"href=""/policehaandbog/bg3/Sider/bg3-Lærer-praktikansvar.aspx""";False;bg3-Lærer-praktikansvar.aspx;http://intranet.lb.dk/policehaandbog/bg3/Sider/;
Danske Lov 3-19-2.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/selvstændigt%20virkende%20tredjemand.aspx""";False;selvstændigt%20virkende%20tredjemand.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Danske Lov 3-19-2.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20ansatte%20forvolder%20skade%20på%20hinanden.aspx""";False;Vedrørende%20ansatte%20forvolder%20skade%20på%20hinanden.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Danske Lov 6-10-2.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Hesteskader.aspx""";False;Hesteskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Danske Lov 6-10-2.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Mark-%20og%20vejfredsloven.aspx""";False;Mark-%20og%20vejfredsloven.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Eldrevet cykel.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Ansvar%20for%20eldrevne%20løbehjul%20og%20eldrevne%20skateboard.aspx""";False;Ansvar%20for%20eldrevne%20løbehjul%20og%20eldrevne%20skateboard.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Erhvervsansvarsforsikringer - branche 52.aspx;Ansvar;"href=""/policehaandbog/Sider/Branche52Ansvarsklausuler.aspx""";False;Branche52Ansvarsklausuler.aspx;http://intranet.lb.dk/policehaandbog/Sider/;
Erstatning til skoler og kommuner.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20kommuner%20og%20skolers%20momsbeløb.aspx""";False;Vedrørende%20kommuner%20og%20skolers%20momsbeløb.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Erstatningens størrelse for dyr.aspx;Ansvar;"href=""/Skade/hb/hund/SitePages/Dyrlægekonsulent%20Søren%20Karstensen.aspx""";False;Dyrlægekonsulent%20Søren%20Karstensen.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Erstatningsbil.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/afsavnserstatning.aspx""";False;afsavnserstatning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Forurening.aspx;Ansvar;"href=""/Skade/hb/indbogl/Sider/Klinkedommen---gennemgang-og-konsekvensbetragtninger.aspx""";False;Klinkedommen---gennemgang-og-konsekvensbetragtninger.aspx;;
Færdselsregler på ski.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20skiskader.aspx""";False;Vedrørende%20skiskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Færdselsskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Politirapport.aspx""";False;Politirapport.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Færdselsskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20færdselsskader.aspx""";False;Vedrørende%20færdselsskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Færdselsskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20selskabets%20anerkendelse.aspx""";False;Vedrørende%20selskabets%20anerkendelse.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Glideskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Husejers%20ansvar%20for%20lejers%20forsømmelse.aspx""";False;Husejers%20ansvar%20for%20lejers%20forsømmelse.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Glideskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Lov%20om%20Erstatningsansvar%20§%2025.aspx""";False;Lov%20om%20Erstatningsansvar%20§%2025.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Glideskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20glideskader.aspx""";False;Vedrørende%20glideskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Glideskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vintervedligeholdelse%20af%20Offentlige%20veje.aspx""";False;Vintervedligeholdelse%20af%20Offentlige%20veje.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Glideskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vintervedligeholdelse%20af%20Private%20fællesveje.aspx""";False;Vintervedligeholdelse%20af%20Private%20fællesveje.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Golfskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20sportsskader.aspx""";False;Vedrørende%20sportsskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Graveskader på ledninger.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Ledningsejerregistret.aspx""";False;Ledningsejerregistret.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Graveskader på ledninger.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20graveskader.aspx""";False;Vedrørende%20graveskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Gæstebudsskade.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Gæstebud%20i%20forhold%20til%20mindre%20børn.aspx""";False;Gæstebud%20i%20forhold%20til%20mindre%20børn.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Gæstebudsskade.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20hændelige%20skader.aspx""";False;Vedrørende%20hændelige%20skader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Gæstebudsskade.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20skade%20sket,%20når%20skadelidte%20ikke%20er%20hjemme.aspx""";False;Vedrørende%20skade%20sket,%20når%20skadelidte%20ikke%20er%20hjemme.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Gæstebudsskade.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20snubleskader.aspx""";False;Vedrørende%20snubleskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Henvisning til eget forsikringsselskab.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20selvforsikrede%20skoler%20EAL%20§%2020.aspx""";False;Vedrørende%20selvforsikrede%20skoler%20EAL%20§%2020.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hesteskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Danske%20Lov%206-10-2.aspx""";False;Danske%20Lov%206-10-2.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hesteskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Kapitel%202-aftalen.aspx""";False;Kapitel%202-aftalen.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hesteskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Lov%20om%20erstatningsansvar%20§%2025.aspx""";False;Lov%20om%20erstatningsansvar%20§%2025.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hesteskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Mark-%20og%20vejfredsloven.aspx""";False;Mark-%20og%20vejfredsloven.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hesteskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20skader%20forvoldt%20af%20heste.aspx""";False;Vedrørende%20skader%20forvoldt%20af%20heste.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hesteskader.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20ukendte%20og%20uforsikrede%20heste.aspx""";False;Vedrørende%20ukendte%20og%20uforsikrede%20heste.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hund er årsag til bilulykke.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Kapitel%202-aftalen.aspx""";False;Kapitel%202-aftalen.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hund gør andre dyr bange.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Erstatningens%20størrelse%20for%20dyr.aspx""";False;Erstatningens%20størrelse%20for%20dyr.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hund gør andre dyr bange.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Regres%20Hundeansvarsforsikring.aspx""";False;Regres%20Hundeansvarsforsikring.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hund gør andre dyr bange.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Spændende%20hundeansvarssager.aspx""";False;Spændende%20hundeansvarssager.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hundeansvar - lån, leje mm.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/varetægt.aspx""";False;varetægt.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar på erhvervsansvarsforsikringen.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20ejer%20af%20enkelt%20bygning%20ikke%20blev%20anset%20som%20værende%20erhvervsdrivende.aspx""";False;Vedrørende%20ejer%20af%20enkelt%20bygning%20ikke%20blev%20anset%20som%20værende%20erhvervsdrivende.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar på erhvervsansvarsforsikringen.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20skade%20forvoldt%20i%20lejede%20bygninger.aspx""";False;Vedrørende%20skade%20forvoldt%20i%20lejede%20bygninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Danske%20Lov%203-19-2.aspx""";False;Danske%20Lov%203-19-2.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Glideskader.aspx""";False;Glideskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Referater%20fra%20ansvarsmøder.aspx""";False;Referater%20fra%20ansvarsmøder.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Trampolinskader.aspx""";False;Trampolinskader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Ubebygget%20grund.aspx""";False;Ubebygget%20grund.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20skade%20forvoldt%20i%20lejede%20bygninger.aspx""";False;Vedrørende%20skade%20forvoldt%20i%20lejede%20bygninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejeransvar.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20skade%20i%20ejerlejlighed.aspx""";False;Vedrørende%20skade%20i%20ejerlejlighed.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejers ansvar for lejers forsømmelse.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Husejeransvar%20på%20erhvervsansvarsforsikringen.aspx""";False;Husejeransvar%20på%20erhvervsansvarsforsikringen.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejers ansvar for lejers forsømmelse.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Lov%20om%20Erstatningsansvar%20§%2025.aspx""";False;Lov%20om%20Erstatningsansvar%20§%2025.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Husejers ansvar for lejers forsømmelse.aspx;Ansvar;"href=""/Skade/hb/ansvarNY/SitePages/Vedrørende%20ejer%20af%20enkelt%20bygning%20ikke%20blev%20anset%20som%20værende%20erhvervsdrivende.aspx""";False;Vedrørende%20ejer%20af%20enkelt%20bygning%20ikke%20blev%20anset%20som%20værende%20erhvervsdrivende.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
