Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Autotaks adgang (Forsi).aspx;BPG;href="https://www.forsi.dk/";False;;;
Autotaks adgang (Forsi).aspx;BPG;href="https://test.forsi.dk/";False;;;
Forsikringsforespørgsel hos Zentralruf på tysk modpart.aspx;BPG;href="http://www.gdv-dl.de/142.html";False;142.html;;
Forsikringsforespørgsel hos Zentralruf på tysk modpart.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Forsikringsforespørgsel%20hos%20Zentralruf%20på%20tysk%20modpart/Udenlandske%20køretøjer%20-%20Online%20opslag.msg";False;Udenlandske%20køretøjer%20-%20Online%20opslag.msg;;
Forsikringsforespørgsel på svensk modpart.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Forsikringsforespørgsel%20på%20svensk%20modpart/Svenske%20køretøjer%20-%20Online%20opslag.msg";False;Svenske%20køretøjer%20-%20Online%20opslag.msg;;
Forsikringsforespørgsel på norsk modpart.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Forsikringsforespørgsel%20på%20norsk%20modpart/Grønkortordningen%20-%20forsikringsforespørgsler%20på%20norske%20registreringsnumre%20kan%20fremover%20sendes%20direkte%20til%20TFF%20i%20Norge.docx";False;Grønkortordningen%20-%20forsikringsforespørgsler%20på%20norske%20registreringsnumre%20kan%20fremover%20sendes%20direkte%20til%20TFF%20i%20Norge.docx;;
Skype (Lync) vejledning.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Skype%20vejledning/Skype%20vejledning.pdf";False;Skype%20vejledning.pdf;;
Printer hjælp.aspx;BPG;href="/nyhedsarkiv/Sider/Nye-printere.aspx";False;Nye-printere.aspx;;
Søgning på registreringsnummer på SOS Extranet.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Søgning%20på%20registreringsnummer%20på%20SOS%20Extranet/RegistrationNumberSearchExtranetDa.pdf";False;RegistrationNumberSearchExtranetDa.pdf;;
Genvejstaster til Portalen.aspx;BPG;href="http://windows.microsoft.com/da-dk/windows7/20-pc-shortcuts";False;20-pc-shortcuts;;
IT support Bilskade.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/IT%20support%20Bilskade/Hvem%20fejlmelder%20jeg%20til.docx";False;Hvem%20fejlmelder%20jeg%20til.docx;;
Mail adresser til politikredse - sikkerpost.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Mail%20adresser%20til%20politikredse%20-%20sikkerpost/Politikredsenes%20mailadresser.docx";False;Politikredsenes%20mailadresser.docx;;
Mail adresser til politikredse - sikkerpost.aspx;BPG;href="https://www.politi.dk/da/servicemenu/soegkreds/postnummer_kreds.htm";False;postnummer_kreds.htm;;
Dokumentation på afsendte EDI.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Hvis%20et%20MS%20meddeler%20at%20de%20ikke%20modtager%20%20vores%20EDI/Eksempel%20på%20en%20mail%20mellem%20FDC%20og%20Forsikring%20og%20Pension.pdf";False;Eksempel%20på%20en%20mail%20mellem%20FDC%20og%20Forsikring%20og%20Pension.pdf;;
Dokumentation på afsendte EDI.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Hvis%20MS%20vil%20have%20dokumentation%20på%20vores%20afsendte%20EDI/LidtFogP-EDIRegresvejledning.docx";False;LidtFogP-EDIRegresvejledning.docx;;
Modpart søgning online via DMR hos Skat.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Modpart%20søgning%20online%20via%20DMR%20hos%20Skat/Online%20DMR%20søgning.docx";False;Online%20DMR%20søgning.docx;;
CVR søgning online via virk.dk.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/CVR%20søgning%20online%20via%20virk.dk/Online%20CVR%20søgning.docx";False;Online%20CVR%20søgning.docx;;
Send kopi af anmeldelse uden personfølsomme oplysninger.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Send%20kopi%20af%20anmeldelse%20uden%20personfølsomme%20oplysninger/Send%20kopi%20af%20anmeldelse%20uden%20personfølsomme%20oplysninger.docx";False;Send%20kopi%20af%20anmeldelse%20uden%20personfølsomme%20oplysninger.docx;;
IT tips.aspx;BPG;href="/Sider/IT%20Tips.aspx";False;IT%20Tips.aspx;;
Arkivere mails til Multiarkiv (Outlook).aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Arkivere%20mails%20til%20Multiarkiv%20(Outlook)/Arkiver%20mails%20til%20Multiarkiv%20i%20Outlook.docx";False;Arkiver%20mails%20til%20Multiarkiv%20i%20Outlook.docx;;
Hvis Modregning er blevet brugt ved en fejl.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Hvis%20Modregning%20er%20blevet%20brugt%20ved%20en%20fejl/Modregning.docx";False;Modregning.docx;;
BPGSelvrisiko.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Selvrisiko/Annullering%20af%20selvrisiko.docx";False;Annullering%20af%20selvrisiko.docx;;
Afslut skade.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Afslut%20skade/Afslut%20skade%20i%20skadeportalen.docx";False;Afslut%20skade%20i%20skadeportalen.docx;;
Kopianmeldelse.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Kopianmeldelse/Vejledning%20i%20at%20kopiere%20en%20skade%20til%20anden%20branche.docx";False;Vejledning%20i%20at%20kopiere%20en%20skade%20til%20anden%20branche.docx;;
Automatisk indeksering af sendte mails via OCR.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Automatisk%20indeksering%20af%20sendte%20mails%20via%20OCR/Automatisk%20indeksering%20af%20sendte%20mails%20via%20OCR.pptx";False;Automatisk%20indeksering%20af%20sendte%20mails%20via%20OCR.pptx;;
Dele bilag fra multiarkiv med medlemmets medlemsarkiv på Mit XX.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Dele%20bilag%20fra%20multiarkiv%20med%20medlemmets%20medlemsarkiv%20på%20Mit%20XX/Dele%20bilag%20fra%20multiarkiv%20med%20medlemsarkiv.docx";False;Dele%20bilag%20fra%20multiarkiv%20med%20medlemsarkiv.docx;;
Arkivering af fil fra skrivebord til sag.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Arkivering%20af%20fil%20fra%20skrivebord%20til%20sag/Multiarkivering%20af%20fil%20fra%20skrivebord%20vejledning.docx";False;Multiarkivering%20af%20fil%20fra%20skrivebord%20vejledning.docx;;
Guide til ny hjemmeside.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Guide%20til%20ny%20hjemmeside/Guide%20til%20nye%20hjemmesider.pdf";False;Guide%20til%20nye%20hjemmesider.pdf;;
Forsikringsforespørgsel hos DFIM på udenlandsk modpart.aspx;BPG;href="http://www.dfim.dk/Danish/forsikingsforespoersel/Sider/default.aspx";False;default.aspx;;
Valg af Bilskade rolle i Trio.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Valg%20af%20Bilskade%20rolle%20i%20Trio/Bilskade%20roller%20på%20Trio.docx";False;Bilskade%20roller%20på%20Trio.docx;;
Mail adresser til danske forsikringsselskaber - sikkerpost.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Mail%20adresser%20til%20danske%20forsikringsselskaber%20-%20sikkerpost/Selskabernes%20sikre%20emailadresser.pdf";False;Selskabernes%20sikre%20emailadresser.pdf;;
Elektronisk betaling til det offentlige.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Elektronisk%20betaling%20til%20det%20offentlige/Elektronisk%20betaling%20til%20det%20offentlige.docx";False;Elektronisk%20betaling%20til%20det%20offentlige.docx;;
Søg skadested udfra foto (geocashing).aspx;BPG;href="http://www.geoimgr.com/";False;;;
Genvejstaster til Windows.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Genvejstaster%20til%20Windows/Windows%20genvejstaster.pdf";False;Windows%20genvejstaster.pdf;;
Medlemssystem.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Medlemssystem/Guide%20til%20Medlemssystemet.pdf";False;Guide%20til%20Medlemssystemet.pdf;;
Multiarkiv.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Multiarkiv/Ændre%20navn%20på%20bilag.docx";False;Ændre%20navn%20på%20bilag.docx;;
Multiarkiv.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Multiarkiv/Arkiver%20bilag%20fra%20skaden.docx";False;Arkiver%20bilag%20fra%20skaden.docx;;
Workflow.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Workflow/Arkiver%20bilag%20fra%20workflow.docx";False;Arkiver%20bilag%20fra%20workflow.docx;;
Workflow.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Workflow/Del.docx";False;Del.docx;;
Lync og Trio (Vejledninger).aspx;BPG;href="/telefonien/Sider/Vejledninger-til-Callguide-og-Lync.aspx";False;Vejledninger-til-Callguide-og-Lync.aspx;;
Mail adresser til danske forsikringsselskaber.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Mail%20adresser%20til%20danske%20forsikringsselskaber/Mail%20adresser%20til%20danske%20forsikringsselskaber.docx";False;Mail%20adresser%20til%20danske%20forsikringsselskaber.docx;;
Systembreve som e-mail.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Systembreve%20som%20e-mail/Vejledning%20til%20fremsendelse%20af%20systembreve%20som%20email.docx";False;Vejledning%20til%20fremsendelse%20af%20systembreve%20som%20email.docx;;
Systembreve som e-mail.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Systembreve%20som%20e-mail/Mail%20adresser%20til%20danske%20forsikringsselskaber.docx";False;Mail%20adresser%20til%20danske%20forsikringsselskaber.docx;;
Medlem ønsker at anmelde skade på afgangsført police.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Medlem%20ønsker%20at%20anmelde%20skade%20på%20afgangsført%20police/Skadesanmeldelse%20for%20Motorkøretøjer%2017-1000-08_web.pdf%20-%20Adobe%20Reader.pdf";False;Skadesanmeldelse%20for%20Motorkøretøjer%2017-1000-08_web.pdf%20-%20Adobe%20Reader.pdf;;
Skadelog.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Skadelog/Skadelog.docx";False;Skadelog.docx;;
Dagbøger.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Dagbøger/Opret%20dagbog.docx";False;Opret%20dagbog.docx;;
Dagbøger.aspx;BPG;href="/Skade/hb/BPG/SiteAssets/SitePages/Dagbøger/Slet%20dagbog.docx";False;Slet%20dagbog.docx;;
BPGSådan bruges dette bibliotek.aspx;BPG;href="/sites/Skade/SitePages/,%20foreslår%20wikien%20de%20sidenavne,%20der%20starter%20med%20det,%20du%20har%20skrevet.%20Du%20kan%20vælge%20en%20af%20disse%20sider%20ved%20hjælp%20af%20piletasterne%20eller%20musen,%20eller%20du%20kan%20skrive%20et%20nyt%20navn.%20Hvis%20du%20skriver%20et%20nyt%20navn,%20oprettes%20der%20forbindelse%20til%20en%20side,%20der%20endnu%20ikke%20oprettet.%20Du%20afslutter%20links%20ved%20at%20skrive.aspx";False;,%20foreslår%20wikien%20de%20sidenavne,%20der%20starter%20med%20det,%20du%20har%20skrevet.%20Du%20kan%20vælge%20en%20af%20disse%20sider%20ved%20hjælp%20af%20piletasterne%20eller%20musen,%20eller%20du%20kan%20skrive%20et%20nyt%20navn.%20Hvis%20du%20skriver%20et%20nyt%20navn,%20oprettes%20der%20forbindelse%20til%20en%20side,%20der%20endnu%20ikke%20oprettet.%20Du%20afslutter%20links%20ved%20at%20skrive.aspx;;
BPGSådan bruges dette bibliotek.aspx;BPG;href="/sites/Skade/SitePages/Hunde.aspx";False;Hunde.aspx;;
BPGSådan bruges dette bibliotek.aspx;BPG;href="/sites/Skade/SitePages/Dyr\Hunde.aspx";False;Dyr\Hunde.aspx;;
BPGSådan bruges dette bibliotek.aspx;BPG;href="/sites/Skade/SitePages/Velkommen.aspx";False;Velkommen.aspx;;
