Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Moms.aspx;Bil;href="https://www.skat.dk/front/appmanager/skat/ntse?_nfpb=true&amp;_windowLabel=portletInstance_387&amp;portletInstance_387_actionOverride=/dk/skat/portal/front/portlets/ntse/ForesporgDKMomsnumre/begin&amp;_pageLabel=NTSE_internet_portal_page_277";False;begin&amp;_pageLabel=NTSE_internet_portal_page_277;;
Moms.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Moms/HER.docx";False;HER.docx;;
Moms.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Moms/moms%20skema.pdf";False;moms%20skema.pdf;;
Veteran.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/Veteranbrochure.pdf";False;Veteranbrochure.pdf;;
Veteran.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Veteran/Byretsdom%2023.2.2012.pdf";False;Byretsdom%2023.2.2012.pdf;;
Veteran.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/Landsretsdom.pdf";False;Landsretsdom.pdf;;
Veteran.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/Veteran2007.pdf";False;Veteran2007.pdf;;
Veteran.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/Veteran2008.pdf";False;Veteran2008.pdf;;
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Uforsikrede%20køretøjer%20(aftale%20med%20DFIM)/HER.pdf";False;HER.pdf;;
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/dom%20lygtepæl.pdf";False;dom%20lygtepæl.pdf;;
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/dom%20lygtepæl.pdf";False;dom%20lygtepæl.pdf;;
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/Dom%20volde%20101.pdf";False;Dom%20volde%20101.pdf;;
Elektronisk faktura.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Elektronisk%20faktura/Sådan%20sendes%20en%20faktura%20eller%20kreditnota%20direkte%20til%20en%20myndighed%20eller%20offentlig%20institution.docx";False;Sådan%20sendes%20en%20faktura%20eller%20kreditnota%20direkte%20til%20en%20myndighed%20eller%20offentlig%20institution.docx;;
Én skade én selvrisiko.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Én%20skade%20én%20selvrisiko/Selvrisikoberegner.xlsx";False;Selvrisikoberegner.xlsx;;
Forretningsgang kombiskader.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Forretningsgang%20kombiskader/Selvrisikoberegner.xlsx";False;Selvrisikoberegner.xlsx;;
Krav fra Vejdirektoratet.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Krav%20fra%20Vejdirektoratet/Aftale%20med%20Vejdirektratet%20-%20ny%20aftale%20pr.%201.%20januar%202018.docx";False;Aftale%20med%20Vejdirektratet%20-%20ny%20aftale%20pr.%201.%20januar%202018.docx;;
BilBesvarelse af klagesager.aspx;Bil;href="http://www.ankeforsikring.dk/";False;;;
BilBesvarelse af klagesager.aspx;Bil;href="http://www.ankeforsikring.dk/";False;;;
BilBesvarelse af klagesager.aspx;Bil;href="http://www.forsikringsoplysningen.dk/";False;;;
Vejhjælp Før februar 2014.aspx;Bil;href="http://webshop.falck.dk/privat/falckvejhjaelp";False;falckvejhjaelp;;
GoMore MinBilDinBil og lignende.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/GoMore%20MinBilDinBil%20og%20lignende/privat-biludlejning-gomore.pdf";False;privat-biludlejning-gomore.pdf;;
Flyvende trampoliner.aspx;Bil;href="http://www.forsikringsvejret.dk/";False;;;
Flyvende trampoliner.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Flyvende%20trampoliner/Nedstyrtende%20genstande.docx";False;Nedstyrtende%20genstande.docx;;
Afmelding af køretøjer.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/Svar%20fra%20Skat.pdf";False;Svar%20fra%20Skat.pdf;;
Den gode start Bilskade.aspx;Bil;href="/Skade/SiteAssets/Lists/DGSBIL/EditForm/Forkortelser.docx";False;Forkortelser.docx;;
Den gode start Bilskade.aspx;Bil;href="/Skade/Lists/DGSBIL/Attachments/11/Kopianmeldelse.docx";False;Kopianmeldelse.docx;;
Oprydningskrav.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Oprydningskrav/Landsrets%20dom%204.11.16.pdf";False;Landsrets%20dom%204.11.16.pdf;;
Afsavn og Erstatningsbil til modparter.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Udregning%20af%20lejebil/Beregning%20af%20lejebil.xlsx";False;Beregning%20af%20lejebil.xlsx;;
Afsavn og Erstatningsbil til modparter.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/HER.docx";False;HER.docx;;
Nødret.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/nødret.pdf";False;nødret.pdf;;
Skyldfordeling.aspx;Bil;href="/Skade/hb/bil/SiteAssets/SitePages/Skyldfordeling/Dom%20(fordeling%20-%20tingskade)_Redacted.pdf";False;Dom%20(fordeling%20-%20tingskade)_Redacted.pdf;;
Skyldfordeling.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/dom%2010.7.13.pdf";False;dom%2010.7.13.pdf;;
Skyldfordeling.aspx;Bil;href="/Skade/hb/bil/Delte%20dokumenter/udskrift%2010.6.13.pdf";False;udskrift%2010.6.13.pdf;;
