Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Søgning på Autotaks systemet.aspx;Bil;href="/Skade/Dokumenter/Forms/AllItems.aspx?RootFolder=/Skade/Dokumenter/Bil/Forsi%20koder%20%28Autotaks%29%20%2B%20gen%C3%A5bning%20af%20Forsi.%20MAPPE%20M%C3%85%20IKKE%20SLETTES&amp;InitialTabId=Ribbon.Document&amp;VisibilityContext=WSSTabPersistence";False;AllItems.aspx;;
Veteran.aspx;Bil;href="/Skade/hb/bil/SitePages/Stilstandsforsikring.aspx";False;Stilstandsforsikring.aspx;;
Veteran.aspx;Bil;href="/Skade/hb/bil/SitePages/Stormflodsskader.aspx";True;Stormflodsskader.aspx;;
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Bil;href="/Skade/hb/bil/SitePages/Afmelding%20af%20køretøjer.aspx";False;Afmelding%20af%20køretøjer.aspx;;
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Bil;href="/Skade/hb/bil/SitePages/DFIM%20og%20afmelding%20af%20køretøjer.aspx";False;DFIM%20og%20afmelding%20af%20køretøjer.aspx;;
DFIM og afmelding af køretøjer.aspx;Bil;href="https://dfim.dk/dansk/dfim/uheld-i-Danmark/Sider/default.aspx";False;default.aspx;;
DFIM og afmelding af køretøjer.aspx;Bil;href="/Skade/hb/bil/SitePages/Uforsikrede%20køretøjer%20(aftale%20med%20DFIM)%20og%20ukendte%20skadevoldere.aspx";False;Uforsikrede%20køretøjer%20(aftale%20med%20DFIM)%20og%20ukendte%20skadevoldere.aspx;;
Stenslagsaftalen.aspx;Bil;href="/Skade/hb/bil/SitePages/Glasskader.aspx";True;Glasskader.aspx;;
Stenslagsaftalen.aspx;Bil;href="/Skade/hb/bil/SitePages/Selvrisiko%20når%20ansvar%20bortfalder%20jf.%20EAL%20§%2019.aspx";False;Selvrisiko%20når%20ansvar%20bortfalder%20jf.%20EAL%20§%2019.aspx;;
Stenslagsaftalen.aspx;Bil;href="/Skade/hb/bil/SitePages/Glasskader.aspx";True;Glasskader.aspx;;
Krav fra Vejdirektoratet.aspx;Bil;href="/Skade/hb/bil/SitePages/Oprydningskrav.aspx";False;Oprydningskrav.aspx;;
Selvrisiko ved hjemtaget køretøj.aspx;Bil;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=90524";False;viewdoc.aspx;;
