Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Handicapbiler.aspx;Bil;"href=""/policehaandbog/bg1/Sider/Bg1_bil_antagelsesregler_handicapbiler.aspx""";False;Bg1_bil_antagelsesregler_handicapbiler.aspx;http://intranet.lb.dk/Sider/policehaandbog/bg1/Sider/;
Leasingdækning.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Retshjælp.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Ekstra Førererstatning.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Fører og passagerulykke.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Redning i udlandet.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Trailerdækning.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Hjemtransport Europa.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Personhjælp ved trafikuheld.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Vejhjælp i Europa.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Vejhjælp i Danmark.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Hvad gælder for forsikringen.aspx;Bil;"href=""/Sider/vilkaar.aspx""";False;vilkaar.aspx;http://intranet.lb.dk/Sider/;
Uforsikrede køretøjer (aftale med DFIM) og ukendte skadevoldere.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afmelding%20af%20køretøjer.aspx""";False;Afmelding%20af%20køretøjer.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsavn og Erstatningsbil til modparter.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20Danske%20kørelæreres%20Landsforbund.aspx""";False;Afsavnsaftale%20Danske%20kørelæreres%20Landsforbund.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsavn og Erstatningsbil til modparter.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20DTL%20og%20ITD.aspx""";False;Afsavnsaftale%20DTL%20og%20ITD.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsavn og Erstatningsbil til modparter.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20for%20busser%20Danske%20Busvognmænd.aspx""";False;Afsavnsaftale%20for%20busser%20Danske%20Busvognmænd.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsavn og Erstatningsbil til modparter.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20for%20udlejningskøretøjer%20med%20Danske%20biludlejere.aspx""";False;Afsavnsaftale%20for%20udlejningskøretøjer%20med%20Danske%20biludlejere.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsavn og Erstatningsbil til modparter.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20med%20DSB%20og%20Banestyrelsen.aspx""";False;Afsavnsaftale%20med%20DSB%20og%20Banestyrelsen.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsavn og Erstatningsbil til modparter.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20med%20politiet.aspx""";False;Afsavnsaftale%20med%20politiet.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsavn og Erstatningsbil til modparter.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afsavnsaftale%20mellem%20Forsikring%20og%20Pension%20og%20Dansk%20Taxi%20Råd.aspx""";False;Afsavnsaftale%20mellem%20Forsikring%20og%20Pension%20og%20Dansk%20Taxi%20Råd.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Spirituskørsel.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Afvisninger%20på%20kasko%20-%20dækningsskema.aspx""";False;Afvisninger%20på%20kasko%20-%20dækningsskema.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Personfølsomme oplysninger og persondata.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Behandling%20af%20personoplysninger.aspx""";False;Behandling%20af%20personoplysninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Når skadelidte og skadevolder er forsikret i LBs selskaber.aspx;Bil;"href=""/Skade/hb/bil/SitePages/Beløbsoverførsel%20mellem%20de%20forskellige%20selskaber%20i%20LB.aspx""";False;Beløbsoverførsel%20mellem%20de%20forskellige%20selskaber%20i%20LB.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
