Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Ankenævnskendelse identifikation.aspx;Bygning;href="/Skade/hb/byg/SitePages/Fal%20§%2018.aspx";False;Fal%20§%2018.aspx;;
Ankenævnskendelse identifikation.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=70823";False;viewdoc.aspx;;
Ankenævnskendelse identifikation.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=64482";False;viewdoc.aspx;;
Ankenævnskendelse identifikation.aspx;Bygning;href="/Skade/hb/byg/SitePages/Erstatning%20ved%20identifikation.aspx";False;Erstatning%20ved%20identifikation.aspx;;
Ankenævnskendelse identifikation.aspx;Bygning;href="/Skade/hb/byg/SitePages/Hvem%20er%20sikret.aspx";False;Hvem%20er%20sikret.aspx;;
Ankenævnskendelse identifikation.aspx;Bygning;href="/Skade/hb/byg/SitePages/Erstatning%20i%20forbindelse%20med%20skilsmisse%20eller%20samlivsophør.aspx";False;Erstatning%20i%20forbindelse%20med%20skilsmisse%20eller%20samlivsophør.aspx;;
Ankenævnskendelse blivende plads.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=51272";False;viewdoc.aspx;;
Ankenævnskendelse blivende plads.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=46855";False;viewdoc.aspx;;
Ankenævnskendelse manglende vedligeholdelse.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=85564";False;viewdoc.aspx;;
Ankenævnskendelse manglende vedligeholdelse.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=85660";False;viewdoc.aspx;;
Ankenævnskendelse manglende vedligeholdelse.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=67086";False;viewdoc.aspx;;
Ankenævnskendelse manglende vedligeholdelse.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=59735";False;viewdoc.aspx;;
Ankenævnskendelse manglende vedligeholdelse.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=59082";False;viewdoc.aspx;;
Ankenævnskendelse manglende vedligeholdelse.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=57871";False;viewdoc.aspx;;
Ankenævnskendelse fællesledning.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=77446";False;viewdoc.aspx;;
Ankenævnskendelse fællesledning.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=71635";False;viewdoc.aspx;;
Ankenævnskendelse fællesledning.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=69132";False;viewdoc.aspx;;
Ankenævnskendelse fællesledning.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=57642";False;viewdoc.aspx;;
Ankenævnskendelse spabad.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=57583";False;viewdoc.aspx;;
Ankenævnskendelse el-drevne genstande.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=87548";False;viewdoc.aspx;;
Ankenævnskendelse el-drevne genstande.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=86344";False;viewdoc.aspx;;
Ankenævnskendelse el-drevne genstande.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=62554";False;viewdoc.aspx;;
Ankenævnskendelse el-drevne genstande.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=59742";False;viewdoc.aspx;;
Ankenævnskendelse el-drevne genstande.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=50929";False;viewdoc.aspx;;
Ankenævnskendelse hærværk.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=74375";False;viewdoc.aspx;;
Ankenævnskendelse hærværk.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=41075";False;viewdoc.aspx;;
Ankenævnskendelse hærværk.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=41806";False;viewdoc.aspx;;
Ankenævnskendelse stige.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=84928";False;viewdoc.aspx;;
Ankenævnskendelse - større maskiner.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=70791";False;viewdoc.aspx;;
Ankenævnskendelse - større maskiner.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=63890";False;viewdoc.aspx;;
Ankenævnskendelse - større maskiner.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=39025";False;viewdoc.aspx;;
Ankenævnskendelse - større maskiner.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=83898";False;viewdoc.aspx;;
Ankenævnskendelse - damp.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=80385";False;viewdoc.aspx;;
Ankenævnskendelse - damp.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=65123";False;viewdoc.aspx;;
Ankenævnskendelse grundvandssænkning.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=246980";False;ViewDocument.aspx;;
Ankenævnskendelse ombygning.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=77433";False;viewdoc.aspx;;
Ankenævnskendelse ombygning.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=252521";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=245269";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=244406";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=213847";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=213675";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=218175";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=218136";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=224221";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=226725";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="/Skade/hb/byg/SitePages/påregnelig%20eller%20opstår%20ved%20dagligt%20brug.aspx";False;påregnelig%20eller%20opstår%20ved%20dagligt%20brug.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=225257";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=231879";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=240952";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=245282";False;ViewDocument.aspx;;
Ankenævnskendelse spild af væsker.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=215383";False;ViewDocument.aspx;;
Ankenævnskendelse faldskader.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=70172";False;viewdoc.aspx;;
Ankenævnskendelse faldskader.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=245386";False;ViewDocument.aspx;;
Ankenævnskendelse faldskader.aspx;Bygning;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=62072";False;viewdoc.aspx;;
Ankenævnskendelse faldskader.aspx;Bygning;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=217766";False;ViewDocument.aspx;;
