Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Byggeskadeforsikring.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Vejledning%20om%20Byggeskadeforsikring.pdf""";False;Vejledning%20om%20Byggeskadeforsikring.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Storm.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/stormskadeguide.pdf""";False;stormskadeguide.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
BygningSkybrud.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Skybrudsguide%20gældende%20fra%2030.6.16.pdf""";False;Skybrudsguide%20gældende%20fra%2030.6.16.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
regres overfor kommunen.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Regreshæfte%20endelig%20udgave.doc""";False;Regreshæfte%20endelig%20udgave.doc;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Priskatalog.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Priskatalog.docx""";False;Priskatalog.docx;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Multiseal.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Priser%20vedr%20sealing%20af%20rør.docx""";False;Priser%20vedr%20sealing%20af%20rør.docx;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Postnummerfordeling - skadeservicefirmaer.aspx;Bygning;"href=""/Skade/hb/byg/SiteAssets/SitePages/Postnummerfordeling%20-%20skadeservicefirmaer/Postnummerfordeling%20-%20skadeservicefirmaer.xlsx""";False;Postnummerfordeling%20-%20skadeservicefirmaer.xlsx;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Pludselig skade.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Pludselig%20skade%20skema%20-%20bygning.docx""";False;Pludselig%20skade%20skema%20-%20bygning.docx;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Ankenævnskendelse vedrørende tøbrud.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Højesterets%20dom%20vedrørende%20tøbrud.pdf""";False;Højesterets%20dom%20vedrørende%20tøbrud.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Gulvbelægning i kælder.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Gulvbelægninger%20240817.pdf""";False;Gulvbelægninger%20240817.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Vejledning for hvilket el-arbejde privat personer må udføre.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/el-selv-vejledning.pdf""";False;el-selv-vejledning.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
BygningForældelse.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Dom%20om%20forældelse.pdf""";False;Dom%20om%20forældelse.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
Byggeskadeforsikring.aspx;Bygning;"href=""/Skade/hb/byg/Delte%20dokumenter/Byggeskader,%20der%20er%20dækket%20-%20ikke%20dækket%20af%20Byggeskadeforsikringen.docx""";False;Byggeskader,%20der%20er%20dækket%20-%20ikke%20dækket%20af%20Byggeskadeforsikringen.docx;https://lbforsikring.sharepoint.com/sites/Skade/Byg/;
