Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Ankenævnskendelse identifikation.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Fal%20§%2018.aspx""";False;Fal%20§%2018.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ankenævnskendelse identifikation.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Erstatning%20ved%20identifikation.aspx""";False;Erstatning%20ved%20identifikation.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ankenævnskendelse identifikation.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Hvem%20er%20sikret.aspx""";False;Hvem%20er%20sikret.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ankenævnskendelse identifikation.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Erstatning%20i%20forbindelse%20med%20skilsmisse%20eller%20samlivsophør.aspx""";False;Erstatning%20i%20forbindelse%20med%20skilsmisse%20eller%20samlivsophør.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ankenævnskendelse spild af væsker.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/påregnelig%20eller%20opstår%20ved%20dagligt%20brug.aspx""";False;påregnelig%20eller%20opstår%20ved%20dagligt%20brug.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ankenævnskendelse renovering.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Erstatning%20ved%20om-%20eller%20tilbygning.aspx""";False;Erstatning%20ved%20om-%20eller%20tilbygning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Ankenævnskendelse Fritstående radiator.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Fritstående%20radiator.aspx""";False;Fritstående%20radiator.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsnit 4+ udvidet dækning for tyveri af og hærværk på byggematerialer.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Statistikkode.aspx""";False;Statistikkode.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Advokatbistand.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/FAL%20§%2032.aspx""";False;FAL%20§%2032.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Advokatbistand.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Ankenævnskendelse%20Advokatbistand%20-%20Arkitektbistand.aspx""";False;Ankenævnskendelse%20Advokatbistand%20-%20Arkitektbistand.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
AB 92.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/forældelse.aspx""";False;forældelse.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsnit 6 + Udvidet vanddækning.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Statistikkode.aspx""";False;Statistikkode.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsnit 6 + Udvidet vanddækning.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Udsivning%20af%20vand%20fra%20frostsprængt%20synligt%20rør.aspx""";False;Udsivning%20af%20vand%20fra%20frostsprængt%20synligt%20rør.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsnit 6 + Udvidet vanddækning.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Afdækning%20ved%20udvidet%20vanddækning.aspx""";False;Afdækning%20ved%20udvidet%20vanddækning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afsnit 6 + Udvidet vanddækning.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/HusPlus%20udvidet%20vanddækning%20forhold%20som%20medfører,%20at%20udbedring%20af%20årsagen%20til%20skaden%20ikke%20lader%20sig%20gøre.aspx""";False;HusPlus%20udvidet%20vanddækning%20forhold%20som%20medfører,%20at%20udbedring%20af%20årsagen%20til%20skaden%20ikke%20lader%20sig%20gøre.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hvem er sikret.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Ankenævnskendelse%20identifikation.aspx""";False;Ankenævnskendelse%20identifikation.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hvem er sikret.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Erstatning%20ved%20identifikation.aspx""";False;Erstatning%20ved%20identifikation.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hvem er sikret.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Erstatning%20i%20forbindelse%20med%20skilsmisse%20eller%20samlivsophør.aspx""";False;Erstatning%20i%20forbindelse%20med%20skilsmisse%20eller%20samlivsophør.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Hvem er sikret.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Dødsbo.aspx""";False;Dødsbo.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Udhuse, redskabsskure, drivhuse mm - antal m2.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Pro-rata%20erstatning.aspx""";False;Pro-rata%20erstatning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Udhuse, redskabsskure, drivhuse mm - antal m2.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Udhusbygninger%20der%20er%20undtaget%20fra%20forsikringsdækning.aspx""";False;Udhusbygninger%20der%20er%20undtaget%20fra%20forsikringsdækning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Drivhuse - Sokler.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten.aspx""";False;Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Drivhuse - Sokler.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Glaspavillon,%20havehus,%20lysthus,%20orangeri.aspx""";False;Glaspavillon,%20havehus,%20lysthus,%20orangeri.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Drivhuse - Sokler.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Erstatning%20for%20glas%20i%20drivhuse.aspx""";False;Erstatning%20for%20glas%20i%20drivhuse.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Nedgravede svømmebasssiner.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Udhuse,%20redskabsskure,%20drivhuse%20mm%20-%20antal%20m2.aspx""";False;Udhuse,%20redskabsskure,%20drivhuse%20mm%20-%20antal%20m2.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Legehuse.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Gyngestativer.aspx""";False;Gyngestativer.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Legehuse.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Legetårne.aspx""";False;Legetårne.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Legetårne.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Legehuse.aspx""";False;Legehuse.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Legetårne.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Gyngestativer.aspx""";False;Gyngestativer.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Glaspavillon, havehus, lysthus, orangeri.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Drivhuse%20-%20sokler.aspx""";False;Drivhuse%20-%20sokler.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Overdækninger på terrasser, til brænde, havemøbler, barnevogne mm.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Ankenævnskendelse%20bygninger.aspx""";False;Ankenævnskendelse%20bygninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
BygningSpabad.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Ankenævnskendelse%20spabad.aspx""";False;Ankenævnskendelse%20spabad.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Jordvarmeanlæg.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Erstatning%20for%20jordvarmeledninger.aspx""";False;Erstatning%20for%20jordvarmeledninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Brønde.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Husplus%20afsnit%209+%20udvidet%20dækning%20for%20brønde%20og%20stikledninger.aspx""";False;Husplus%20afsnit%209+%20udvidet%20dækning%20for%20brønde%20og%20stikledninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Fællesledning.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Ankenævnskendelse%20fællesledning.aspx""";False;Ankenævnskendelse%20fællesledning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Fritstående radiator.aspx;Bygning;"href=""/Skade/hb/byg/SitePages/Ankenævnskendelse%20Fritstående%20radiator.aspx""";False;Ankenævnskendelse%20Fritstående%20radiator.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
