Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Gulvbelægning i kælder.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Gulvbelægninger%20240817.pdf";False;Gulvbelægninger%20240817.pdf;;
Multiseal.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Priser%20vedr%20sealing%20af%20rør.docx";False;Priser%20vedr%20sealing%20af%20rør.docx;;
Insekter.aspx;Bygning;href="http://www.bygerfa.dk/";False;;;
Storm.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/stormskadeguide.pdf";False;stormskadeguide.pdf;;
Storm.aspx;Bygning;href="http://www.forsikringsvejret.dk/";False;;;
BygningSkybrud.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Skybrudsguide%20gældende%20fra%2030.6.16.pdf";False;Skybrudsguide%20gældende%20fra%2030.6.16.pdf;;
Pludselig skade.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Pludselig%20skade%20skema%20-%20bygning.docx";False;Pludselig%20skade%20skema%20-%20bygning.docx;;
Ankenævnskendelse vedrørende tøbrud.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Højesterets%20dom%20vedrørende%20tøbrud.pdf";False;Højesterets%20dom%20vedrørende%20tøbrud.pdf;;
BygningForældelse.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Dom%20om%20forældelse.pdf";False;Dom%20om%20forældelse.pdf;;
dobbeltforsikringsaftalen.aspx;Bygning;href="http://www.forsikringogpension.dk/medlemmer/branchesamarbejde/skadeforsikringsaftalerne/Documents/Skadeinformation%2068-94%20-%20D%c3%a6kning%20af%20genhusningsomkostninger%20ved%20forsikring%20af%20st%c3%b8rre%20beboelsesejendomme.pdf";False;Skadeinformation%2068-94%20-%20D%c3%a6kning%20af%20genhusningsomkostninger%20ved%20forsikring%20af%20st%c3%b8rre%20beboelsesejendomme.pdf;;
dobbeltforsikringsaftalen.aspx;Bygning;href="http://www.forsikringogpension.dk/medlemmer/branchesamarbejde/skadeforsikringsaftalerne/Documents/Dobbeltforsikringsaftalen.pdf";False;Dobbeltforsikringsaftalen.pdf;;
BygningFordelingsvejledningen.aspx;Bygning;href="http://www.forsikringogpension.dk/medlemmer/branchesamarbejde/skadeforsikringsaftalerne/Documents/42%20410%20000%20juli%202007%20Fordelingsvejledning%5b1%5d.pdf";False;42%20410%20000%20juli%202007%20Fordelingsvejledning%5b1%5d.pdf;;
regres overfor kommunen.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Regreshæfte%20endelig%20udgave.doc";False;Regreshæfte%20endelig%20udgave.doc;;
Remaljeringsselskab.aspx;Bygning;href="http://www.remaljerings-selskabet.dk/fliser-remaljering.htm";False;fliser-remaljering.htm;;
Byggeskadeforsikring.aspx;Bygning;href="https://www.ois.dk//";False;;;
Byggeskadeforsikring.aspx;Bygning;href="http://boligejer.dk/";False;;;
Byggeskadeforsikring.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Byggeskader,%20der%20er%20dækket%20-%20ikke%20dækket%20af%20Byggeskadeforsikringen.docx";False;Byggeskader,%20der%20er%20dækket%20-%20ikke%20dækket%20af%20Byggeskadeforsikringen.docx;;
Byggeskadeforsikring.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Vejledning%20om%20Byggeskadeforsikring.pdf";False;Vejledning%20om%20Byggeskadeforsikring.pdf;;
Kulanceerstatninger.aspx;Bygning;href="https://risikoportal.lb.dk/Pages/DocumentManagement/Documents/443/approved";False;approved;;
Priskatalog.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/Priskatalog.docx";False;Priskatalog.docx;;
Lovliggørelse.aspx;Bygning;href="http://www.3byggetilbud.dk/infografik/radon/";False;;;
BygningInformationssøgning.aspx;Bygning;href="http://www.ankeforsikring.dk/";False;;;
BygningInformationssøgning.aspx;Bygning;href="http://www.fed.dk/";False;;;
BygningInformationssøgning.aspx;Bygning;href="http://www.retsinfo.dk/";False;;;
BygningInformationssøgning.aspx;Bygning;href="http://www.ankeforsikring.dk/";False;;;
BygningInformationssøgning.aspx;Bygning;href="http://www.forsikringogpension.dk/";False;;;
Vejledning for hvilket el-arbejde privat personer må udføre.aspx;Bygning;href="/Skade/hb/byg/Delte%20dokumenter/el-selv-vejledning.pdf";False;el-selv-vejledning.pdf;;
Vejret.aspx;Bygning;href="http://www.dmi.dk/dmi/index/danmark/vejrarkiv";False;vejrarkiv;;
Vejret.aspx;Bygning;href="http://www.forsikringsvejret.dk/";False;;;
BygningStormflodsskader.aspx;Bygning;href="http://www.stormraadet.dk/";False;;;
BygningStormflodsskader.aspx;Bygning;href="http://www.stormraadet.dk/Stormflod/Saadan-faar-du-erstatning-ved-stormflod";False;Saadan-faar-du-erstatning-ved-stormflod;;
Postnummerfordeling - skadeservicefirmaer.aspx;Bygning;href="/Skade/hb/byg/SiteAssets/SitePages/Postnummerfordeling%20-%20skadeservicefirmaer/Postnummerfordeling%20-%20skadeservicefirmaer.xlsx";False;Postnummerfordeling%20-%20skadeservicefirmaer.xlsx;;
