Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix;Kolonne1
BådSelvrisiko.aspx;Båd;"href=""/policehaandbog/bg0/SiteAssets/Sider/bg0_Mauelle-Præmieberegningsark-2015/Udregningsark%202015%2060%20Lystfartøj.pdf""";False;Udregningsark%202015%2060%20Lystfartøj.pdf;http://intranet.lb.dk/Sider/policehaandbog/bg0/SiteAssets/Sider/bg0_Mauelle-Præmieberegningsark-2015/;;
Antagelseregler.aspx;Båd;"href=""/policehaandbog/bg6/Sider/bg6_lystfart_antagelse.aspx""";False;bg6_lystfart_antagelse.aspx;http://intranet.lb.dk/Sider/policehaandbog/bg6/Sider/;;
Links.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Dag%20og%20natsignaler.pdf""";False;Dag%20og%20natsignaler.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Links.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Document%203.pdf""";False;Document%203.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Regresaftalen.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Document.pdf""";False;Document.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Regresaftalen.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Document.pdf""";False;Document.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Links.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Document.pdf""";False;Document.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Links.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Document1.pdf""";False;Document1.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Links.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Document2.pdf""";False;Document2.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Dækningsskema.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Dækningsskema2.xlsx""";False;Dækningsskema2.xlsx;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Links.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Farvandsafmærkning.pdf""";False;Farvandsafmærkning.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Bådudtryk.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/leksikon%20(båd).pdf""";False;leksikon%20(båd).pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Links.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/Lov%20og%20ret%20på%20vandet.pdf""";False;Lov%20og%20ret%20på%20vandet.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
Links.aspx;Båd;"href=""/Skade/hb/Baad/Delte%20dokumenter/skadeopgørelse.pdf""";False;skadeopgørelse.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Bd/;;
BådTyveri.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Dækningsskema.aspx""";False;Dækningsskema.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Havari.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Dækningsskema.aspx""";False;Dækningsskema.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
BådHærværk.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Dækningsskema.aspx""";False;Dækningsskema.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Brand, eksplosion og lyn.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Dækningsskema.aspx""";False;Dækningsskema.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
BådTyveri.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Erstatning.aspx""";False;Erstatning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Brand, eksplosion og lyn.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Erstatning.aspx""";False;Erstatning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Havari.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Grov%20uagtsomhed.aspx""";False;Grov%20uagtsomhed.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
BådHærværk.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Skadekonsulent.aspx""";False;Skadekonsulent.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
BådTyveri.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Taksator.aspx""";False;Taksator.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Havari.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Taksator.aspx""";False;Taksator.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
BådHærværk.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Taksator.aspx""";False;Taksator.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Skade på mast.aspx;Båd;"href=""/Skade/hb/Baad/SitePages/Væltning.aspx""";False;Væltning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
BådMedarbejdersager.aspx;Båd;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx""";False;Sagerhvoransatteerinvolveret.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Erstatning.aspx;Båd;"href=""/Skade/hb/indbogl/Sider/Afskrivningstabel.aspx""";False;Afskrivningstabel.aspx;;;
