Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
EjerskifteHvem er sikret.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/ophør,%20forlængelse,%20ejerskifte.aspx";False;ophør,%20forlængelse,%20ejerskifte.aspx;;
Skadebegrebet.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/Manglende%20bygningsdele.aspx";False;Manglende%20bygningsdele.aspx;;
El-skader.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/Udvidet%20el-%20og%20vvs-dækning.aspx";False;Udvidet%20el-%20og%20vvs-dækning.aspx;;
Rådskader.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/Delte%20dokumenter/Def.%20råd%20ti.pdf";False;Def.%20råd%20ti.pdf;;
Rørskader.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/Delte%20dokumenter/Skadeinformation%202-99.pdf";False;Skadeinformation%202-99.pdf;;
Udløb af levetid.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/Delte%20dokumenter/Levetidstabel_2001.pdf";False;Levetidstabel_2001.pdf;;
Garanti eller dækket af en anden forsikring.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/Delte%20dokumenter/Skadeinformation%202-99.pdf";False;Skadeinformation%202-99.pdf;;
Garanti eller dækket af en anden forsikring.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/Byggeskadeforsikring.aspx";False;Byggeskadeforsikring.aspx;;
Bygningens funktionsforhold, lovlighed mv.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/Skadebegrebet.aspx";False;Skadebegrebet.aspx;;
Bygningens funktionsforhold, lovlighed mv.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/El-skader.aspx";False;El-skader.aspx;;
Bygningens funktionsforhold, lovlighed mv.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/Udvidet%20el-%20og%20vvs-dækning.aspx";False;Udvidet%20el-%20og%20vvs-dækning.aspx;;
Bygningens funktionsforhold, lovlighed mv.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/Udvidet%20dækning%20for%20ulovlige%20bygninger.aspx";False;Udvidet%20dækning%20for%20ulovlige%20bygninger.aspx;;
Følgeskader af forhold nævnt i tilstandsrapporten.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/SitePages/Nævnt%20i%20tilstandsrapporten.aspx";False;Nævnt%20i%20tilstandsrapporten.aspx;;
Afrensning af skimmesvamp.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/Delte%20dokumenter/82502%20-%20skimmel%20indbo.pdf";False;82502%20-%20skimmel%20indbo.pdf;;
Hvordan erstatter vi.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/Delte%20dokumenter/Levetidstabel_2001.pdf";False;Levetidstabel_2001.pdf;;
EjerskifteLinks.aspx;Ejerskifte;href="http://www.bfbe.dk/index.php?option=com_content&amp;view=article&amp;id=17&amp;Itemid=20%20%28hvidbog%20for%20beskikkede%20bygningssagkyndige%29";False;index.php?option=com_content&amp;view=article&amp;id=17&amp;Itemid=20%20%28hvidbog%20for%20beskikkede%20bygningssagkyndige%29;;
EjerskifteLinks.aspx;Ejerskifte;href="http://www.ankeforsikring.dk/";False;;;
EjerskifteLinks.aspx;Ejerskifte;href="http://huseftersyninfo.dk/haandbog";False;haandbog;;
EjerskifteLinks.aspx;Ejerskifte;href="http://www.ois.dk/";False;;;
EjerskifteLinks.aspx;Ejerskifte;href="http://www.forsikringogpension.dk/Documents/Webpjecer/Levetidstabel_2001.pdf";False;Levetidstabel_2001.pdf;;
EjerskifteLinks.aspx;Ejerskifte;href="http://www.forsikringogpension.dk/";False;;;
EjerskifteLinks.aspx;Ejerskifte;href="http://www.forsikringogpension.dk/";False;;;
Bevissikringsaftale ejerskifte.aspx;Ejerskifte;href="/Skade/hb/ejerskifte/Delte%20dokumenter/bevissikringsaftale%20ejerskifte.pdf";False;bevissikringsaftale%20ejerskifte.pdf;;
EjerskifteByggeskadeforsikring.aspx;Ejerskifte;href="https://www.ois.dk//";False;;;
