Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
EjerskifteHvem er sikret.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/ophør,%20forlængelse,%20ejerskifte.aspx""";False;ophør,%20forlængelse,%20ejerskifte.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Skadebegrebet.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/Manglende%20bygningsdele.aspx""";False;Manglende%20bygningsdele.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
El-skader.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/Udvidet%20el-%20og%20vvs-dækning.aspx""";False;Udvidet%20el-%20og%20vvs-dækning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Rådskader.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/Delte%20dokumenter/Def.%20råd%20ti.pdf""";False;Def.%20råd%20ti.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ejerskifte/;
Rørskader.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/Delte%20dokumenter/Skadeinformation%202-99.pdf""";False;Skadeinformation%202-99.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ejerskifte/;
Udløb af levetid.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/Delte%20dokumenter/Levetidstabel_2001.pdf""";False;Levetidstabel_2001.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ejerskifte/;
Garanti eller dækket af en anden forsikring.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/Delte%20dokumenter/Skadeinformation%202-99.pdf""";False;Skadeinformation%202-99.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ejerskifte/;
Garanti eller dækket af en anden forsikring.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/Byggeskadeforsikring.aspx""";False;Byggeskadeforsikring.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygningens funktionsforhold, lovlighed mv.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/Skadebegrebet.aspx""";False;Skadebegrebet.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygningens funktionsforhold, lovlighed mv.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/El-skader.aspx""";False;El-skader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygningens funktionsforhold, lovlighed mv.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/Udvidet%20el-%20og%20vvs-dækning.aspx""";False;Udvidet%20el-%20og%20vvs-dækning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygningens funktionsforhold, lovlighed mv.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/Udvidet%20dækning%20for%20ulovlige%20bygninger.aspx""";False;Udvidet%20dækning%20for%20ulovlige%20bygninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Følgeskader af forhold nævnt i tilstandsrapporten.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/SitePages/Nævnt%20i%20tilstandsrapporten.aspx""";False;Nævnt%20i%20tilstandsrapporten.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afrensning af skimmesvamp.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/Delte%20dokumenter/82502%20-%20skimmel%20indbo.pdf""";False;82502%20-%20skimmel%20indbo.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ejerskifte/;
Hvordan erstatter vi.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/Delte%20dokumenter/Levetidstabel_2001.pdf""";False;Levetidstabel_2001.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ejerskifte/;
Bevissikringsaftale ejerskifte.aspx;Ejerskifte;"href=""/Skade/hb/ejerskifte/Delte%20dokumenter/bevissikringsaftale%20ejerskifte.pdf""";False;bevissikringsaftale%20ejerskifte.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Ejerskifte/;
