Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Udstillingsforsikring.aspx;Erhverv;href="/Skade/hb/erhv/Delte%20dokumenter/vilkår%20udstillingsforsikring.pdf";False;vilkår%20udstillingsforsikring.pdf;;
Svamp og insekt.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Undtaget%20under%20anden%20bygningsbeskadigelse.aspx";False;Undtaget%20under%20anden%20bygningsbeskadigelse.aspx;;
Svamp og insekt.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Sagsbehandling%20bygning.aspx";False;Sagsbehandling%20bygning.aspx;;
Svamp og insekt.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Forældelse%20Svamp%20og%20Insekt.aspx";False;Forældelse%20Svamp%20og%20Insekt.aspx;;
Påkørsel.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Undtaget%20under%20anden%20bygningsbeskadigelse.aspx";False;Undtaget%20under%20anden%20bygningsbeskadigelse.aspx;;
Påkørsel.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Sagsbehandling%20bygning.aspx";False;Sagsbehandling%20bygning.aspx;;
Klausuler på løsøre.aspx;Erhverv;href="/Skade/hb/erhv/Delte%20dokumenter/Klausuler%20på%20løsøre.pdf";False;Klausuler%20på%20løsøre.pdf;;
Sagsbehandling løsøre.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Moms.aspx";False;Moms.aspx;;
Sagsbehandling løsøre.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Erstatningsopgørelse.aspx";False;Erstatningsopgørelse.aspx;;
Sagsbehandling løsøre.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Driftstab.aspx";False;Driftstab.aspx;;
Rede penge.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Kasseapparater.aspx";False;Kasseapparater.aspx;;
Driftstab.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Sagsbehandling%20løsøre.aspx";False;Sagsbehandling%20løsøre.aspx;;
Transportskade.aspx;Erhverv;href="/Skade/hb/erhv/SitePages/Sagsbehandling%20løsøre.aspx";False;Sagsbehandling%20løsøre.aspx;;
