Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Allergivacciner.aspx;Hund;href="/Skade/hb/hund/SitePages/Registrering%20af%20hyposensibilisering%20-%20allergivaccinationer.aspx";False;Registrering%20af%20hyposensibilisering%20-%20allergivaccinationer.aspx;;
Allergivacciner.aspx;Hund;href="/Skade/hb/hund/SitePages/Forebyggende%20behandling%20-%20kronisk%20sygdomsbrev.aspx";False;Forebyggende%20behandling%20-%20kronisk%20sygdomsbrev.aspx;;
Alternative behandlinger - akupunktur mv.aspx;Hund;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=62603";False;viewdoc.aspx;;
Selvrisiko og maksimumdækninger.aspx;Hund;href="/Skade/hb/hund/SitePages/Maksdækning%20og%20fradrag%20af%20selvrisiko.aspx";False;Maksdækning%20og%20fradrag%20af%20selvrisiko.aspx;;
Karenstid.aspx;Hund;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=82113";False;viewdoc.aspx;;
Behandling af anmeldelser på hundesygedækningen.aspx;Hund;href="/Skade/hb/hund/SitePages/Maksdækning%20og%20fradrag%20af%20selvrisiko.aspx";False;Maksdækning%20og%20fradrag%20af%20selvrisiko.aspx;;
Laboratorieprøver.aspx;Hund;href="/Skade/hb/hund/SitePages/Selvrisiko%20og%20maksimumdækninger.aspx";False;Selvrisiko%20og%20maksimumdækninger.aspx;;
Dysplasi.aspx;Hund;href="/Skade/hb/hund/SitePages/Røntgenoptagelser.aspx";False;Røntgenoptagelser.aspx;;
Dysplasi.aspx;Hund;href="/Skade/hb/hund/SitePages/Kikkertundersøgelse%20er%20det%20en%20undersøgelsesudgift%20eller%20en%20behandlingsudgift.aspx";False;Kikkertundersøgelse%20er%20det%20en%20undersøgelsesudgift%20eller%20en%20behandlingsudgift.aspx;;
Dyrlægekonsulent Søren Karstensen.aspx;Hund;href="/Skade/hb/hund/SitePages/Betaling%20af%20regninger%20fra%20Søren%20Karstensen%20for%20konsulentbistand.aspx";False;Betaling%20af%20regninger%20fra%20Søren%20Karstensen%20for%20konsulentbistand.aspx;;
Dominansproblemer.aspx;Hund;href="/Skade/hb/hund/SitePages/Kryptorkisme.aspx";False;Kryptorkisme.aspx;;
Kastration.aspx;Hund;href="/Skade/hb/hund/SitePages/Dominansproblemer.aspx";False;Dominansproblemer.aspx;;
Kastration.aspx;Hund;href="/Skade/hb/hund/SitePages/Kryptorkisme.aspx";False;Kryptorkisme.aspx;;
Ankenævnskendelse vedrørende sygdom opstået før forsikringen trådte i kraft.aspx;Hund;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?Type=1&amp;ID=259668";False;ViewDocument.aspx;;
Skadedato.aspx;Hund;href="/Skade/hb/hund/SitePages/Hvornår%20beder%20vi%20om%20supplerende%20oplysninger.aspx";False;Hvornår%20beder%20vi%20om%20supplerende%20oplysninger.aspx;;
HundRegres.aspx;Hund;href="/Skade/hb/hund/SitePages/Hundeansvar%20mellem%202%20medlemmer.aspx";False;Hundeansvar%20mellem%202%20medlemmer.aspx;;
Sterilisation.aspx;Hund;href="/Skade/hb/hund/SitePages/Ankenævnskendelse%20vedrørende%20Sterilisation.aspx";False;Ankenævnskendelse%20vedrørende%20Sterilisation.aspx;;
Ankenævnskendelse vedrørende sterilisation.aspx;Hund;href="http://www.ankeforsikring.dk/layouts/ViewDocument.aspx?ID=256234&amp;&amp;Type=1";False;ViewDocument.aspx;;
Tegning af hundesygedækning.aspx;Hund;href="/Skade/hb/hund/SitePages/Karenstid.aspx";False;Karenstid.aspx;;
HundMedarbejdersager.aspx;Hund;href="/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx";False;Sagerhvoransatteerinvolveret.aspx;;
