Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix;Kolonne1
Allergivacciner.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Registrering%20af%20hyposensibilisering%20-%20allergivaccinationer.aspx""";False;Registrering%20af%20hyposensibilisering%20-%20allergivaccinationer.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Allergivacciner.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Forebyggende%20behandling%20-%20kronisk%20sygdomsbrev.aspx""";False;Forebyggende%20behandling%20-%20kronisk%20sygdomsbrev.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Selvrisiko og maksimumdækninger.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Maksdækning%20og%20fradrag%20af%20selvrisiko.aspx""";False;Maksdækning%20og%20fradrag%20af%20selvrisiko.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Behandling af anmeldelser på hundesygedækningen.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Maksdækning%20og%20fradrag%20af%20selvrisiko.aspx""";False;Maksdækning%20og%20fradrag%20af%20selvrisiko.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Laboratorieprøver.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Selvrisiko%20og%20maksimumdækninger.aspx""";False;Selvrisiko%20og%20maksimumdækninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Dysplasi.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Røntgenoptagelser.aspx""";False;Røntgenoptagelser.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Dysplasi.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Kikkertundersøgelse%20er%20det%20en%20undersøgelsesudgift%20eller%20en%20behandlingsudgift.aspx""";False;Kikkertundersøgelse%20er%20det%20en%20undersøgelsesudgift%20eller%20en%20behandlingsudgift.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Dyrlægekonsulent Søren Karstensen.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Betaling%20af%20regninger%20fra%20Søren%20Karstensen%20for%20konsulentbistand.aspx""";False;Betaling%20af%20regninger%20fra%20Søren%20Karstensen%20for%20konsulentbistand.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Dominansproblemer.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Kryptorkisme.aspx""";False;Kryptorkisme.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Kastration.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Dominansproblemer.aspx""";False;Dominansproblemer.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Kastration.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Kryptorkisme.aspx""";False;Kryptorkisme.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Skadedato.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Hvornår%20beder%20vi%20om%20supplerende%20oplysninger.aspx""";False;Hvornår%20beder%20vi%20om%20supplerende%20oplysninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
HundRegres.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Hundeansvar%20mellem%202%20medlemmer.aspx""";False;Hundeansvar%20mellem%202%20medlemmer.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Sterilisation.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Ankenævnskendelse%20vedrørende%20Sterilisation.aspx""";False;Ankenævnskendelse%20vedrørende%20Sterilisation.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
Tegning af hundesygedækning.aspx;Hund;"href=""/Skade/hb/hund/SitePages/Karenstid.aspx""";False;Karenstid.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
HundMedarbejdersager.aspx;Hund;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx""";False;Sagerhvoransatteerinvolveret.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;
