Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
(a) Grundlaget for Den Gode Indboskadebehandler - Den Gode Indbotaksator.aspx;Indbo;"href=""/Strategiportal/Sider/default.aspx""";False;Strategi.aspx;https://lbforsikring.sharepoint.com/sites/Intra/SitePages/;
Regres - Overfor flyselskaber.aspx;Indbo;"href=""/skade/tool/klaind/Lists/RejseRegres/Aktive.aspx""";False;Aktive.aspx;http://intranet.lb.dk/skade/tool/klaind/Lists/RejseRegres/;
Regres - Rejsegods - Regres overfor flyselskab.aspx;Indbo;"href=""/skade/tool/klaind/Lists/RejseRegres/Aktive.aspx""";False;Aktive.aspx;http://intranet.lb.dk/skade/tool/klaind/Lists/RejseRegres/;
Scalepoint Løsøre ECC.aspx;Indbo;"href=""/Skade/hb/sp/SitePages/Startside.aspx""";True;Startside.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;Scalepoint
Scalepoint til bygningsskader.aspx;Indbo;"href=""/Skade/hb/sp/SitePages/Startside.aspx""";True;Startside.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;Scalepoint
Campingvogn - tyveri af kontanter.aspx;Indbo;"href=""/Skade/hb/SitePages/Startside.aspx""";True;Skade-håndbøger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Kombiskader.aspx;Indbo;"href=""/Skade/hb/SitePages/Startside.aspx""";True;Skade-håndbøger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Selvrisiko - Opkrævning af selvrisiko.aspx;Indbo;"href=""/Skade/hb/SitePages/Startside.aspx""";True;Skade-håndbøger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Sagsflow.aspx;Indbo;"href=""/Skade/hb/SitePages/Sagsflow%20BygLøs.aspx""";False;Sagsflow%20BygLøs.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Køle- og dybfrostskader - skader omfattet af garanti.aspx;Indbo;"href=""/Skade/hb/regres/skadetyper/Sider/Skader-forvoldt-af-defekte-produkter.aspx""";False;Skader-forvoldt-af-defekte-produkter.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Regres - Kontanterstatning.aspx;Indbo;"href=""/Skade/hb/reg/SitePages/Startside.aspx""";True;Startside.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;Regres
Har det en konsekvens når medlem ikke overholder det, vi aftaler.aspx;Indbo;"href=""/Skade/hb/reg/SitePages/o.%20Hvad%20gør%20jeg,%20hvis%20medlemmet%20nægter%20at%20udlevere%20oplysninger.aspx""";False;o.%20Hvad%20gør%20jeg,%20hvis%20medlemmet%20nægter%20at%20udlevere%20oplysninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Undersøgelsesudgifter.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/Værdiforringelseserstatning%20-%2050%20procent%20regel.aspx""";False;Værdiforringelseserstatning%20-%2050%20procent%20regel.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Isbåd.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/Vandcykel.aspx""";False;Vandcykel.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Elektronikdækningen.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/Undtagelsesbestemmelsen%20-%20Forsikringen%20dækker%20ikke%20skade%20der%20er%20dækket%20eller%20undtaget%20andetsteds%20i%20forsikringen.aspx""";False;Undtagelsesbestemmelsen%20-%20Forsikringen%20dækker%20ikke%20skade%20der%20er%20dækket%20eller%20undtaget%20andetsteds%20i%20forsikringen.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Elektronikdækningen.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/Undtagelsesbestemmelsen%20-%20Almindelig%20brug.aspx""";False;Undtagelsesbestemmelsen%20-%20Almindelig%20brug.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Værdiforringelseserstatning - 50 procent regel.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/Undersøgelsesudgifter.aspx""";False;Undersøgelsesudgifter.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Tyveri af genstande, som andre holder øje med.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/Underslæb.aspx""";False;Underslæb.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Tyveri fra garderobe - af garderobebevis.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/Underslæb.aspx""";False;Underslæb.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Tyveri under postforsendelse.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/underslæb.aspx""";False;underslæb.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
følgeudgifter - redningsforanstaltninger.aspx;Indbo;"href=""/Skade/hb/indbo/SitePages/Underforsikring%20-%20hvornår%20gøres%20det%20gældende.aspx""";False;Underforsikring%20-%20hvornår%20gøres%20det%20gældende.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
