Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Branche etisk regelsæt.aspx;Personskade;href="https://www.forsikringogpension.dk/";false;;;
Branche etisk regelsæt.aspx;Personskade;href="http://intranet.lb.dk/Skade/hb/Person/SiteAssets/SitePages/Branche%20etisk%20regels%c3%a6t/Forsikringsselskabernes%20behandling%20af%20personskadesager.pdf";false;Forsikringsselskabernes%20behandling%20af%20personskadesager.pdf;;
PersonskadeDFIM.aspx;Personskade;href="https://dfim.dk/dansk/Sider/default.aspx";false;default.aspx;;
Kodeks ved mistanke om forsikringssvindel.aspx;Personskade;href="https://www.forsikringogpension.dk/temaer/forsikringssvindel/";false;;;
Kodeks ved mistanke om forsikringssvindel.aspx;Personskade;href="http://intranet.lb.dk/Skade/hb/Person/Delte%20dokumenter/KodeksForsikringssvindel%20-%20maj%202016.pdf";false;KodeksForsikringssvindel%20-%20maj%202016.pdf;;
Kodeks ved mistanke om forsikringssvindel.aspx;Personskade;href="http://intranet.lb.dk/Skade/hb/Person/Delte%20dokumenter/Info%2058-16%20Forsikringssvindel%2014.04.16.pdf";false;Info%2058-16%20Forsikringssvindel%2014.04.16.pdf;;
Kodeks ved mistanke om forsikringssvindel.aspx;Personskade;href="http://intranet.lb.dk/Skade/hb/Person/Delte%20dokumenter/Finanstilsynets%20rapport%20om%20forsikringsselskabers%20efterforskning%20af%20personskadesager%202015.pdf";false;Finanstilsynets%20rapport%20om%20forsikringsselskabers%20efterforskning%20af%20personskadesager%202015.pdf;;
Sikre emailadresser.aspx;Personskade;href="http://intranet.lb.dk/Skade/hb/Person/Delte%20dokumenter/FP-Information%2072-12.doc";false;FP-Information%2072-12.doc;;
Sikre emailadresser.aspx;Personskade;href="http://intranet.lb.dk/Skade/hb/Person/Delte%20dokumenter/Sikre%20mailadresser.pdf";false;Sikre%20mailadresser.pdf;;
Brosymptomer.aspx;Personskade;href="/Skade/hb/Person/Delte%20dokumenter/25-08-2016%20-%20Østre%20Landsret.pdf";false;25-08-2016%20-%20Østre%20Landsret.pdf;;
Brosymptomer.aspx;Personskade;href="/Skade/hb/Person/Delte%20dokumenter/FED2004%202170Ø.pdf";false;FED2004%202170Ø.pdf;;
Brosymptomer.aspx;Personskade;href="/Skade/hb/Person/Delte%20dokumenter/L10-5938346-001%20-%20udtalelse%20fra%20ASK%20-%20anonym.pdf";false;L10-5938346-001%20-%20udtalelse%20fra%20ASK%20-%20anonym.pdf;;
Brosymptomer.aspx;Personskade;href="/Skade/hb/Person/Delte%20dokumenter/U2009.239.Øpdf.pdf";false;U2009.239.Øpdf.pdf;;
Brosymptomer.aspx;Personskade;href="/Skade/hb/Person/Delte%20dokumenter/U2011.2046H.pdf";false;U2011.2046H.pdf;;
Brosymptomer.aspx;Personskade;href="/Skade/hb/Person/Delte%20dokumenter/Retten%20i%20Odense%2012.02.13.pdf";false;Retten%20i%20Odense%2012.02.13.pdf;;
Anvisningskompetence (efteranvisning og reservefastsættelse).aspx;Personskade;href="/Skade/hb/GenerelSkadepolitik/Sider/Tildelingafanvisningskompetence.aspx";false;Tildelingafanvisningskompetence.aspx;;
