Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
c. Strømafbrydelser.aspx;Regres;href="https://www.sik.dk/Virksomhed/El-for-fagfolk/Love-og-regler-om-el/Staerkstroemsbekendtgoerelsen";False;Staerkstroemsbekendtgoerelsen;;
i. Lovfortegnelse med forkortelser.aspx;Regres;href="http://eur-lex.europa.eu/legal-content/DA/TXT/?uri=URISERV:l32012";False;?uri=URISERV:l32012;;
b. Rykkerprocedure og overdragelse til Medlemsjura.aspx;Regres;href="http://www.krak.dk/";False;;;
b. Rykkerprocedure og overdragelse til Medlemsjura.aspx;Regres;href="https://web.cpr.dk/cpr-online-web/login/selectMethod?nosso=true";False;selectMethod?nosso=true;;
b. Rykkerprocedure og overdragelse til Medlemsjura.aspx;Regres;href="http://datacvr.virk.dk/data/";False;;;
Regres mod motorkøretøjer.aspx;Regres;href="https://motorregister.skat.dk/dmr-front/appmanager/skat/dmr?_nfls=false&amp;_nfpb=true&amp;_pageLabel=vis_koeretoej_side";False;dmr?_nfls=false&amp;_nfpb=true&amp;_pageLabel=vis_koeretoej_side;;
c. Regres mod erhvervsdrivende udlejer.aspx;Regres;href="https://datacvr.virk.dk/data/";False;;;
b. Regres mod bygningssagkyndige (fejl i tilstandsrapport).aspx;Regres;href="http://huseftersyninfo.dk/forside/0/2";False;2;;
b. Regres mod bygningssagkyndige (fejl i tilstandsrapport).aspx;Regres;href="http://huseftersyninfo.dk/file/549941/tilstandsrapport.pdf";False;tilstandsrapport.pdf;;
b. Regres mod bygningssagkyndige (fejl i tilstandsrapport).aspx;Regres;href="http://huseftersyninfo.dk/5.04/0/31";False;31;;
b. Regres mod bygningssagkyndige (fejl i tilstandsrapport).aspx;Regres;href="http://huseftersyninfo.dk/file/553061/hoendbog.pdf";False;hoendbog.pdf;;
f. Graveskader.aspx;Regres;href="http://ler.dk/";False;;;
a. Hvad er et bevis.aspx;Regres;href="http://www.dmi.dk/vejr/arkiver/vejrarkiv/";False;;;
p. Procesbeskrivelse.aspx;Regres;href="/Skade/hb/reg/SiteAssets/SitePages/p.%20Procesbeskrivelse/Procesbeskrivelse%20-%20regressager.pptx";False;Procesbeskrivelse%20-%20regressager.pptx;;
n. Hvad gør jeg, hvis modparten er gået konkurs eller lignende.aspx;Regres;href="https://datacvr.virk.dk/data/";False;;;
m. Hvad gør jeg, hvis modparten ikke svarer på vores henvendelser.aspx;Regres;href="http://datacvr.virk.dk/data/";False;;;
d. Mod hvem rettes et regreskrav.aspx;Regres;href="https://motorregister.skat.dk/dmr-front/appmanager/skat/dmr?_nfls=false&amp;_nfpb=true&amp;_pageLabel=vis_koeretoej_side";False;dmr?_nfls=false&amp;_nfpb=true&amp;_pageLabel=vis_koeretoej_side;;
g. Procesbeskrivelse for gerningsmandssager.aspx;Regres;href="/Skade/hb/reg/SiteAssets/SitePages/g.%20Procesbeskrivelse%20for%20gerningsmandssager/procesbeskrivelse%20gerningsmænd.docx";False;procesbeskrivelse%20gerningsmænd.docx;;
