Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix;Kolonne1;Kolonne2;Kolonne3
1. Forsikringen dækker - Autocamper.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/1.%20Forsikringen%20dækker%20-%20Hvilke%20boliger%20anses%20som%20feriebolig.aspx""";false;1.%20Forsikringen%20dækker%20-%20Hvilke%20boliger%20anses%20som%20feriebolig.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
1. Forsikringen dækker - iPhones, iPads og iPods.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Iphones%20-%20Garanti%20-%20Reklamation%20-%20Reparation%20-%20Ombytning.aspx""";false;Iphones%20-%20Garanti%20-%20Reklamation%20-%20Reparation%20-%20Ombytning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
1. Forsikringen dækker - Mistet pas.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/1.%20Forsikringen%20dækker%20-%20Hvornår%20er%20det%20uforskyldt%20og%20uforudseeligt.aspx""";false;1.%20Forsikringen%20dækker%20-%20Hvornår%20er%20det%20uforskyldt%20og%20uforudseeligt.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
2. Forsikringen dækker ikke - Genstande udlånt til elever.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Genstande%20der%20anvendes%20i%20undervisning.aspx""";false;Genstande%20der%20anvendes%20i%20undervisning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
2. Forsikringen dækker ikke - Medlemmets tabsbegrænsningspligt når rejsen er færdigbetalt.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Rejser%20som%20betales%20i%20rater%20og%20som%20endnu%20ikke%20er%20færdigbetalt.aspx""";false;2.%20Forsikringen%20dækker%20ikke%20-%20Rejser%20som%20betales%20i%20rater%20og%20som%20endnu%20ikke%20er%20færdigbetalt.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
2. Forsikringen dækker ikke - Rejser som betales i rater og som endnu ikke er færdigbetalt.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Medlemmets%20tabsbegrænsningspligt%20når%20rejsen%20er%20færdigbetalt.aspx""";false;2.%20Forsikringen%20dækker%20ikke%20-%20Medlemmets%20tabsbegrænsningspligt%20når%20rejsen%20er%20færdigbetalt.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
2. Forsikrngen dækker ikke - Sikrede var under udredning.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Hvordan%20afgør%20vi%20om%20sygdommen%20var%20til%20stede%20ved%20bestilling%20af%20rejsen.aspx""";false;2.%20Forsikringen%20dækker%20ikke%20-%20Hvordan%20afgør%20vi%20om%20sygdommen%20var%20til%20stede%20ved%20bestilling%20af%20rejsen.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
3. Erstatning - Cykler.aspx;Rejse;"href=""/Skade/hb/DGS/SitePages/Cykler%20-%20Cykel+skader.aspx""";false;Cykler%20-%20Cykel+skader.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
3. Erstatning - Cykler.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Maks.%20dækning%20for%20cykler.aspx""";false;Maks.%20dækning%20for%20cykler.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
3. Erstatning - Hvordan opgøres erstatningen.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/1.%20Forsikringen%20dækker%20-%20Forsinket%20udstyr.aspx""";false;1.%20Forsikringen%20dækker%20-%20Forsinket%20udstyr.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
3. Erstatning - Hvornår og hvordan ydes der erstatning.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/Fagligt%20-%20Hvilken%20erstatning%20skal%20medlem%20have.aspx""";false;Fagligt%20-%20Hvilken%20erstatning%20skal%20medlem%20have.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
3. Erstatning - Hvornår og hvordan ydes der erstatning.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/Fagligt%20-%20Hvilken%20erstatning%20skal%20medlem%20have.aspx""";false;Fagligt%20-%20Hvilken%20erstatning%20skal%20medlem%20have.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
4. Dokumentation - Bagageidentifikation.aspx;Rejse;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/4.%20Dokumentation%20-%20Bagageidentifikation/Bagageidentifikation.doc""";false;Bagageidentifikation.doc;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
4. Dokumentation - Skema til identifikation af bagagetyper.aspx;Rejse;"href=""/Skade/hb/rejse/Documents/bagageidentifikation.doc""";false;bagageidentifikation.doc;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Arbejdsgange - Fordeling af nye øjne sager.aspx;Rejse;"href=""http://intranet.lb.dk/Skade/hb/RejseNY/SitePages/Fagligt%20-%20Klagevejledning.aspx""";false;Fagligt%20-%20Klagevejledning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Arbejdsgange - Modtagelse af effekter.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Behandling%20af%20fundne%20genstande%20og%20beskadigede%20genstande,%20som%20vi%20beder%20om%20at%20få%20indsendt.aspx""";false;Behandling%20af%20fundne%20genstande%20og%20beskadigede%20genstande,%20som%20vi%20beder%20om%20at%20få%20indsendt.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Erklæringer og brevskabeloner - Attester og samtykkeerklæring.aspx;Rejse;"href=""/Skade/tool/ErKl/Forms/AllItems.aspx?RootFolder=/Skade/tool/ErKl/Rejse&amp";FolderCTID=0x0120005FDC8E93E9D91840B6979FB36B4BF12C&amp;"View=%7bA700F245-98CE-458E-8EB6-CE0D3A01F6E8%7d""";http://intranet.lb.dk/Skade/tool/ErKl/Forms/AllItems.aspx?RootFolder=/Skade/tool/ErKl/Rejse&amp;;;View=%7bA700F245-98CE-458E-8EB6-CE0D3A01F6E8%7d;
Erklæringer og brevskabeloner - Brilleerklæring.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Brilleerklæring.pdf""";false;Brilleerklæring.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Erklæringer og brevskabeloner - Skema til beregning af rejsens pris ved ødelagte feriedage.aspx;Rejse;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/Erklæringer%20og%20brevskabeloner%20-%20Elektronisk%20skema%20til%20beregning%20af%20rejsens%20pris%20ved%20ødelagte%20feriedage/skadeopgørelsesblanket_rejse.pdf""";false;skadeopgørelsesblanket_rejse.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Erstatning - Skema til beregning af erstatningsrejse.aspx;Rejse;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/Erstatning%20-%20Skema%20til%20beregning%20af%20erstatningsrejse/Skema%20til%20beregning%20af%20feriedage.xlsx""";false;Skema%20til%20beregning%20af%20feriedage.xlsx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
F. Hvilke rejser dækker forsikringen - Erhvervsrejser.aspx;Rejse;"href=""/policehaandbog/bg3/Sider/bg3_Interne-dækningsregler---Udstationering-eller-ferie.aspx""";false;bg3_Interne-dækningsregler---Udstationering-eller-ferie.aspx;http://intranet.lb.dk/Sider/policehaandbog/bg3/Sider/;;;;
Fagligt - Sprogkyndige.aspx;Rejse;"href=""/Kompetenceforum/Sider/forside.aspx""";false;forside.aspx;http://intranet.lb.dk/Kompetenceforum/Sider/forside.aspx;;;;
Falck LGA - Forkortelser.aspx;Rejse;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/Falck%20LGA%20-%20Forkortelser/FGA%20forkortelser.pdf""";false;FGA%20forkortelser.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Falck LGA - Hvornår sendes ubetalte regninger til Falck.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/Falck%20LGA%20-%20Ubetalte%20USA%20regninger.aspx""";false;Falck%20LGA%20-%20Ubetalte%20USA%20regninger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Falck LGA - Klagesager.aspx;Rejse;"href=""http://intranet.lb.dk/Skade/Dokumenter/Forms/AllItems.aspx?RootFolder=/Skade/Dokumenter/Rejse/Klagebesvarelser""";false;Klagebesvarelse---Rejse.aspx;https://lbforsikring.sharepoint.com/sites/Skade/SitePages/;;;;
Falck LGA - Reserver.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/Forretningsgange%20og%20retningslinier%20-%20Reserver.aspx""";false;Forretningsgange%20og%20retningslinier%20-%20Reserver.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
